loc bl_ratio count
10.0 0 1
9.0 0 1
25.0 0 1
23.0 0 1
124.0 0 1
79.0 0 1
27.0 0 1
133.0 0 1
14.0 0 1
24.0 0 1
7.0 0 1
113.0 0 1
10.0 0 1
18.0 0 1
4.0 1 1
38.0 0 1
126.0 0 1
165.0 0 1
45.0 0 1
19.0 0 1
265.0 0 1
19.0 0 1
16.0 0 1
27.0 0 1
2.0 2 1
20.0 0 1
78.0 0 1
37.0 0 1
57.0 0 1
13.0 0 1
14.0 0 1
69.0 0 1
31.0 0 1
57.0 0 1
31.0 0 1
11.0 1 1
12.0 0 1
26.0 0 1
8.0 0 1
227.0 0 1
47.0 0 1
253.0 0 1
16.0 0 1
92.0 0 1
63.0 0 1
17.0 0 1
84.0 0 1
98.0 0 1
215.0 0 1
14.0 0 1
48.0 0 1
11.0 0 1
80.0 0 1
2.0 1 1
124.0 0 1
1001.0 0 1
15.0 0 1
209.0 0 1
35.0 0 1
141.0 0 1
115.0 0 1
92.0 0 1
80.0 0 1
38.0 0 1
74.0 0 1
87.0 0 1
200.0 0 1
19.0 0 1
2.0 4 1
78.0 0 1
13.0 0 1
186.0 0 1
16.0 0 1
161.0 0 1
164.0 0 1
131.0 0 1
32.0 0 1
114.0 0 1
94.0 0 1
33.0 0 1
117.0 0 1
188.0 0 1
105.0 0 1
93.0 0 1
102.0 0 1
128.0 0 1
9.0 0 1
36.0 0 1
46.0 0 1
14.0 0 1
16.0 1 1
54.0 0 1
169.0 0 1
84.0 0 1
5.0 0 1
418.0 0 1
243.0 0 1
815.0 0 1
33.0 0 1
257.0 0 1
138.0 0 1
132.0 0 1
128.0 0 1
44.0 0 1
234.0 0 1
85.0 0 1
33.0 0 1
532.0 0 1
268.0 0 1
151.0 0 1
533.0 0 1
212.0 0 1
96.0 0 1
219.0 0 1
234.0 0 1
78.0 0 1
81.0 0 1
171.0 0 1
184.0 0 1
34.0 0 1
39.0 0 1
129.0 0 1
642.0 0 1
586.0 0 1
116.0 0 1
68.0 0 1
91.0 0 1
45.0 0 1
169.0 0 1
173.0 0 1
191.0 0 1
39.0 0 1
164.0 0 1
342.0 0 1
387.0 0 1
199.0 0 1
108.0 0 1
24.0 0 1
167.0 0 1
176.0 0 1
286.0 0 1
232.0 0 1
222.0 0 1
92.0 0 1
32.0 0 1
132.0 0 1
178.0 0 1
58.0 0 1
93.0 0 1
13.0 0 1
447.0 0 1
236.0 0 1
74.0 0 1
170.0 0 1
174.0 0 1
198.0 0 1
314.0 0 1
149.0 0 1
238.0 0 1
199.0 0 1
535.0 0 1
556.0 0 1
252.0 0 1
102.0 0 1
341.0 0 1
957.0 0 1
31.0 0 1
183.0 0 1
717.0 0 1
262.0 0 1
120.0 0 1
131.0 0 1
26.0 0 1
139.0 0 1
63.0 0 1
23.0 0 1
73.0 0 1
108.0 0 1
705.0 0 1
139.0 0 1
289.0 0 1
208.0 0 1
127.0 0 1
38.0 0 1
406.0 0 1
3.0 3 1
1682.0 0 1
116.0 0 1
23.0 0 1
304.0 0 1
182.0 0 1
146.0 0 1
744.0 0 1
413.0 0 1
30.0 0 1
163.0 0 1
53.0 0 1
8.0 0 1
136.0 0 1
134.0 0 1
99.0 0 1
19.0 0 1
722.0 0 1
20.0 0 1
54.0 0 1
332.0 0 1
134.0 0 1
166.0 0 1
75.0 0 1
212.0 0 1
478.0 0 1
97.0 0 1
1459.0 0 1
271.0 0 1
119.0 0 1
214.0 0 1
116.0 0 1
31.0 0 1
178.0 0 1
26.0 0 1
61.0 0 1
172.0 0 1
48.0 0 1
244.0 0 1
429.0 0 1
296.0 0 1
155.0 0 1
207.0 0 1
566.0 0 1
15.0 0 1
122.0 0 1
430.0 0 1
