loc hse count
319.0 836166 1
189.0 593215 1
134.0 271597 1
243.0 488210 1
168.0 79345 1
128.0 138362 1
127.0 123137 1
125.0 202959 1
99.0 177868 1
157.0 333989 1
139.0 95259 1
189.0 325679 1
205.0 538943 1
178.0 374159 1
110.0 163677 1
70.0 138710 1
53.0 207921 1
76.0 169706 1
170.0 198848 1
98.0 532458 1
215.0 182239 1
67.0 207589 1
112.0 232060 1
114.0 193816 1
150.0 227108 1
65.0 324511 1
262.0 678471 1
162.0 2770 1
175.0 569339 1
141.0 253029 1
304.0 2182208 1
83.0 148188 1
440.0 893867 1
44.0 296074 1
80.0 116648 1
117.0 550303 1
97.0 171480 1
440.0 2485156 1
130.0 280003 1
63.0 168875 1
85.0 65753 1
101.0 294740 1
110.0 226067 1
39.0 484043 1
27.0 153640 1
167.0 567319 1
158.0 271892 1
8.0 59659 1
308.0 66581 1
121.0 278989 1
170.0 470555 1
129.0 473329 1
105.0 261025 1
309.0 1214425 1
187.0 348573 1
164.0 398982 1
77.0 95592 1
23.0 379639 1
111.0 166902 1
343.0 1219856 1
37.0 78179 1
136.0 393485 1
81.0 129562 1
146.0 247765 1
30.0 48409 1
156.0 591819 1
139.0 277047 1
52.0 283442 1
160.0 378456 1
219.0 500339 1
51.0 172511 1
115.0 831771 1
308.0 45143 1
171.0 408038 1
40.0 114060 1
107.0 214967 1
42.0 523094 1
107.0 158835 1
40.0 153514 1
124.0 896557 1
153.0 321137 1
71.0 150044 1
50.0 132915 1
62.0 119336 1
167.0 479108 1
49.0 141629 1
57.0 256925 1
158.0 340074 1
97.0 123690 1
76.0 136985 1
95.0 173933 1
154.0 376615 1
53.0 129792 1
150.0 416692 1
109.0 417224 1
556.0 3761258 1
86.0 205764 1
85.0 192689 1
132.0 416215 1
91.0 783758 1
175.0 454375 1
157.0 218883 1
214.0 168790 1
97.0 261982 1
60.0 112347 1
44.0 123775 1
288.0 1397511 1
93.0 401513 1
122.0 179479 1
227.0 916839 1
211.0 751920 1
201.0 314544 1
73.0 154560 1
147.0 173217 1
244.0 1107532 1
135.0 447841 1
106.0 331376 1
82.0 168658 1
241.0 522181 1
145.0 488111 1
78.0 99101 1
169.0 719318 1
52.0 311110 1
202.0 390241 1
60.0 89253 1
266.0 1065702 1
95.0 1283854 1
182.0 165344 1
807.0 5782668 1
126.0 266459 1
586.0 3527032 1
91.0 201254 1
139.0 239685 1
1958.0 5209916 1
60.0 279463 1
142.0 199837 1
166.0 347401 1
240.0 392263 1
83.0 387009 1
255.0 550204 1
101.0 139461 1
163.0 356294 1
236.0 916577 1
308.0 1512772 1
151.0 308328 1
35.0 62731 1
82.0 366778 1
169.0 699130 1
84.0 135147 1
226.0 600075 1
157.0 189038 1
232.0 772795 1
159.0 353934 1
100.0 214127 1
121.0 164702 1
232.0 1090098 1
140.0 217185 1
540.0 3407787 1
68.0 120749 1
20.0 36563 1
77.0 153862 1
153.0 400138 1
327.0 643674 1
158.0 432404 1
16.0 103697 1
109.0 221859 1
185.0 437501 1
133.0 62333 1
215.0 749006 1
252.0 895520 1
128.0 614311 1
78.0 189883 1
271.0 742617 1
112.0 161041 1
119.0 215473 1
104.0 218618 1
364.0 660446 1
88.0 117039 1
144.0 215623 1
94.0 137155 1
95.0 219511 1
100.0 638046 1
70.0 165527 1
744.0 5721940 1
145.0 78803 1
161.0 366228 1
39.0 174997 1
161.0 471865 1
68.0 73517 1
221.0 663678 1
45.0 131185 1
152.0 323852 1
562.0 3494566 1
164.0 401187 1
400.0 2418510 1
108.0 170587 1
90.0 198015 1
61.0 138284 1
156.0 89004 1
94.0 222435 1
138.0 246994 1
412.0 2814212 1
855.0 2733056 1
535.0 3406501 1
186.0 609612 1
156.0 271295 1
145.0 616577 1
58.0 73627 1
184.0 344290 1
583.0 3858860 1
306.0 304430 1
128.0 285001 1
365.0 1684008 1
325.0 1366082 1
82.0 257472 1
36.0 138061 1
310.0 1367711 1
242.0 1048198 1
137.0 534862 1
25.0 100508 1
41.0 190589 1
36.0 105913 1
74.0 113373 1
40.0 201445 1
126.0 32738 1
51.0 67006 1
248.0 272969 1
82.0 211721 1
48.0 192028 1
82.0 354718 1
157.0 256724 1
46.0 104367 1
104.0 193989 1
268.0 1049515 1
85.0 131721 1
72.0 118591 1
207.0 710368 1
177.0 539543 1
22.0 176193 1
30.0 115287 1
501.0 2494896 1
279.0 1040862 1
40.0 305564 1
236.0 675176 1
432.0 2312732 1
135.0 171823 1
170.0 467598 1
181.0 415562 1
51.0 253719 1
298.0 1147334 1
130.0 195620 1
116.0 258868 1
85.0 119577 1
146.0 404722 1
74.0 127492 1
52.0 359543 1
82.0 128307 1
957.0 8630827 1
92.0 301145 1
66.0 360497 1
116.0 175470 1
35.0 786492 1
138.0 95104 1
104.0 312601 1
142.0 201828 1
50.0 75104 1
66.0 119683 1
355.0 1503639 1
136.0 289293 1
152.0 313500 1
173.0 360582 1
124.0 269161 1
113.0 200458 1
154.0 240641 1
58.0 69280 1
103.0 118313 1
127.0 164333 1
218.0 528485 1
63.0 320721 1
108.0 296628 1
104.0 202603 1
193.0 311614 1
166.0 378818 1
120.0 245842 1
130.0 190202 1
234.0 566747 1
52.0 74135 1
117.0 204042 1
92.0 152030 1
147.0 454882 1
112.0 210288 1
114.0 54957 1
18.0 98446 1
66.0 93842 1
78.0 208638 1
214.0 731203 1
59.0 216156 1
418.0 316424 1
42.0 163334 1
75.0 170052 1
63.0 28558 1
148.0 710921 1
91.0 157009 1
228.0 822299 1
66.0 105198 1
54.0 81028 1
39.0 70434 1
194.0 209751 1
114.0 321929 1
75.0 214260 1
92.0 641572 1
93.0 200327 1
199.0 322118 1
124.0 218491 1
390.0 2238420 1
75.0 280509 1
133.0 201103 1
126.0 135909 1
137.0 210069 1
206.0 226265 1
223.0 689960 1
53.0 117620 1
137.0 552370 1
51.0 185321 1
157.0 163525 1
135.0 181692 1
66.0 112113 1
61.0 108000 1
86.0 384772 1
172.0 264802 1
148.0 378968 1
59.0 206228 1
184.0 557292 1
139.0 397937 1
1459.0 10599100 1
142.0 207379 1
140.0 546423 1
35.0 73298 1
228.0 786726 1
107.0 299598 1
481.0 2347516 1
57.0 158953 1
155.0 338525 1
415.0 2237824 1
133.0 280419 1
1402.0 15744036 1
174.0 483528 1
453.0 134904 1
65.0 396292 1
146.0 312890 1
134.0 999517 1
140.0 283720 1
51.0 133183 1
