loc nobl count
6 3 1
21 1 1
23 2 1
32 9 1
207 10 1
33 5 1
43 2 1
42 2 1
21 8 1
80 2 1
43 12 1
58 8 1
46 3 1
17 8 1
123 5 1
88 4 1
51 17 1
27 3 1
40 6 1
96 16 1
45 3 1
102 7 1
74 12 1
51 0 1
35 1 1
32 6 1
102 0 1
37 5 1
5 5 1
53 2 1
44 1 1
43 6 1
39 6 1
37 1 1
48 8 1
19 5 1
41 2 1
4 3 1
105 5 1
111 13 1
86 5 1
103 4 1
52 8 1
92 4 1
49 3 1
10 6 1
66 6 1
54 0 1
52 3 1
50 1 1
14 2 1
29 12 1
28 13 1
95 5 1
29 3 1
39 13 1
117 2 1
78 17 1
13 2 1
67 10 1
57 14 1
100 11 1
50 10 1
33 12 1
123 0 1
31 7 1
19 11 1
54 15 1
50 34 1
75 13 1
26 17 1
168 0 1
63 1 1
75 8 1
49 8 1
25 14 1
98 1 1
109 10 1
92 15 1
56 5 1
58 1 1
74 5 1
57 7 1
31 11 1
24 2 1
58 4 1
138 4 1
149 0 1
43 21 1
72 11 1
45 2 1
44 2 1
65 8 1
32 15 1
20 8 1
63 5 1
34 10 1
13 12 1
74 0 1
14 3 1
66 8 1
75 14 1
57 12 1
61 2 1
35 9 1
92 30 1
116 12 1
73 2 1
51 30 1
85 8 1
189 16 1
209 0 1
52 11 1
33 10 1
2 8 1
61 17 1
78 9 1
25 13 1
49 2 1
83 11 1
11 4 1
87 0 1
51 8 1
79 0 1
76 7 1
95 4 1
205 13 1
7 4 1
102 15 1
76 4 1
47 10 1
127 24 1
59 10 1
66 0 1
110 6 1
47 18 1
81 14 1
16 13 1
98 17 1
44 29 1
31 5 1
13 9 1
70 7 1
78 19 1
76 13 1
68 2 1
22 14 1
134 10 1
45 9 1
14 9 1
56 24 1
63 8 1
108 15 1
71 8 1
6 7 1
86 1 1
5 9 1
70 13 1
120 12 1
70 4 1
118 4 1
37 0 1
41 5 1
105 0 1
46 24 1
32 18 1
9 11 1
327 1 1
132 24 1
134 18 1
70 15 1
78 4 1
75 7 1
30 14 1
122 8 1
60 12 1
71 7 1
115 1 1
125 17 1
99 1 1
67 3 1
58 10 1
100 13 1
28 12 1
20 13 1
189 30 1
72 8 1
105 3 1
81 2 1
21 0 1
74 10 1
64 0 1
22 13 1
2 4 1
40 14 1
75 6 1
23 17 1
80 19 1
81 3 1
57 16 1
21 13 1
63 3 1
46 13 1
55 16 1
34 4 1
112 14 1
65 9 1
191 6 1
91 0 1
46 19 1
109 18 1
26 9 1
18 13 1
227 0 1
10 8 1
11 17 1
120 25 1
16 11 1
80 7 1
153 36 1
108 3 1
83 3 1
49 19 1
34 1 1
78 1 1
36 22 1
48 9 1
109 9 1
60 7 1
167 2 1
75 12 1
153 0 1
198 26 1
92 14 1
220 10 1
93 8 1
40 18 1
67 1 1
2 9 1
87 16 1
87 11 1
99 8 1
78 16 1
17 4 1
97 8 1
24 9 1
111 14 1
45 11 1
38 14 1
228 21 1
85 12 1
117 10 1
113 18 1
59 13 1
4 4 1
83 4 1
199 0 1
184 13 1
106 16 1
55 9 1
55 5 1
58 14 1
70 8 1
139 10 1
130 14 1
114 15 1
71 17 1
43 8 1
220 0 1
70 16 1
114 23 1
100 9 1
20 14 1
39 3 1
44 23 1
58 3 1
66 1 1
75 16 1
157 15 1
74 9 1
308 0 1
55 14 1
149 7 1
30 2 1
37 13 1
68 12 1
50 6 1
74 2 1
82 0 1
56 13 1
74 4 1
57 11 1
41 14 1
92 21 1
107 13 1
115 17 1
95 14 1
124 32 1
64 1 1
40 5 1
257 22 1
26 22 1
157 16 1
150 14 1
14 6 1
33 29 1
94 13 1
85 10 1
80 23 1
289 52 1
105 10 1
68 5 1
15 14 1
219 15 1
96 21 1
91 15 1
46 16 1
63 16 1
65 15 1
167 53 1
58 7 1
103 14 1
145 9 1
129 7 1
141 15 1
81 15 1
106 7 1
146 16 1
110 12 1
151 12 1
48 4 1
102 28 1
79 11 1
41 12 1
47 7 1
94 31 1
46 10 1
28 7 1
1459 7 1
