count nobl hsd
97185 0.0 3
39165 0.0 9
34096 0.0 3
21085 0.0 4
19609 0.0 5
18710 0.0 5
16976 0.0 3
13030 0.0 7
9789 0.0 13
8087 0.0 5
7523 0.0 5
7181 0.0 6
7040 0.0 4
6938 0.0 5
6894 0.0 4
6769 0.0 6
6176 0.0 6
6016 0.0 8
5995 0.0 9
5441 0.0 6
5255 0.0 7
4960 0.0 9
4920 0.0 6
4576 0.0 7
4243 0.0 5
4133 0.0 10
3906 0.0 6
3798 0.0 7
3792 0.0 5
3460 0.0 7
3195 0.0 5
3042 0.0 13
2956 0.0 6
2944 0.0 8
2896 0.0 7
2887 0.0 12
2777 0.0 5
2482 0.0 5
2450 0.0 7
2438 0.0 9
2222 0.0 8
2218 0.0 10
2215 0.0 10
2189 0.0 5
2150 0.0 8
2086 0.0 4
2072 0.0 8
2051 0.0 6
2009 0.0 7
1911 0.0 9
1842 0.0 11
1805 0.0 8
1723 0.0 10
1707 0.0 12
1619 0.0 9
1613 0.0 8
1559 0.0 6
1549 0.0 7
1512 0.0 9
1498 0.0 9
1480 0.0 11
1463 0.0 8
1448 0.0 14
1446 0.0 8
1407 0.0 9
1336 0.0 6
1311 0.0 8
1290 0.0 10
1279 0.0 10
1260 0.0 10
1239 0.0 10
1210 0.0 9
1207 1.0 3
1205 0.0 7
1159 0.0 11
1155 0.0 14
1139 0.0 6
1111 0.0 11
1073 0.0 11
1039 0.0 11
978 0.0 8
971 0.0 12
955 0.0 12
936 0.0 7
932 0.0 4
923 0.0 13
897 1.0 7
892 1.0 8
889 0.0 12
881 0.0 11
819 0.0 16
816 0.0 9
743 0.0 11
740 0.0 11
738 1.0 7
723 0.0 12
704 1.0 6
702 0.0 14
692 0.0 12
673 0.0 14
673 0.0 12
672 1.0 8
667 0.0 4
665 0.0 15
658 0.0 13
657 0.0 5
653 0.0 13
644 0.0 4
634 1.0 9
628 0.0 14
627 2.0 13
621 0.0 13
619 1.0 9
618 1.0 7
591 1.0 9
565 0.0 15
556 1.0 7
556 1.0 8
555 1.0 5
552 0.0 16
546 0.0 14
541 1.0 6
531 0.0 14
530 0.0 15
525 0.0 12
524 1.0 8
524 0.0 12
517 0.0 12
517 0.0 14
517 0.0 15
514 0.0 15
503 1.0 8
499 1.0 12
498 0.0 16
493 1.0 10
490 1.0 9
485 1.0 11
479 1.0 7
478 1.0 3
476 0.0 13
462 2.0 11
462 1.0 8
462 0.0 15
461 1.0 10
446 0.0 17
444 2.0 11
440 2.0 8
440 1.0 11
439 1.0 7
438 2.0 11
431 2.0 8
428 2.0 11
421 2.0 13
419 1.0 5
417 1.0 9
416 2.0 10
408 1.0 10
405 2.0 9
403 0.0 15
402 1.0 9
395 1.0 6
392 1.0 14
391 1.0 11
390 1.0 14
390 1.0 10
383 1.0 6
382 2.0 10
380 1.0 12
378 2.0 12
377 2.0 9
374 0.0 17
371 0.0 17
370 2.0 12
369 0.0 16
368 2.0 10
363 1.0 12
362 2.0 8
360 2.0 8
359 1.0 10
359 2.0 10
357 2.0 8
355 0.0 17
354 3.0 12
354 1.0 10
351 3.0 12
351 1.0 12
350 2.0 9
349 2.0 8
349 2.0 9
343 2.0 7
343 1.0 10
343 3.0 12
342 1.0 4
342 1.0 6
341 1.0 13
339 1.0 13
339 1.0 9
338 1.0 4
337 1.0 9
336 2.0 11
332 2.0 12
330 2.0 13
330 0.0 17
329 1.0 8
329 1.0 11
328 2.0 7
326 1.0 11
323 2.0 9
317 1.0 5
317 2.0 14
315 0.0 16
313 2.0 13
313 1.0 13
311 0.0 18
305 2.0 7
302 2.0 7
299 2.0 7
298 1.0 11
296 3.0 11
295 1.0 14
290 1.0 5
289 1.0 11
288 2.0 6
287 0.0 19
287 2.0 9
282 1.0 14
278 1.0 12
278 0.0 21
278 0.0 18
278 2.0 9
276 2.0 13
275 0.0 21
274 3.0 9
273 1.0 15
272 2.0 15
270 0.0 19
270 2.0 6
270 3.0 12
266 1.0 13
263 2.0 15
263 0.0 17
261 2.0 16
261 3.0 11
260 1.0 15
259 3.0 11
259 2.0 10
259 0.0 4
257 0.0 20
257 3.0 9
254 0.0 19
254 0.0 18
251 0.0 22
248 0.0 22
248 2.0 12
247 0.0 19
244 0.0 19
244 2.0 15
243 0.0 18
238 1.0 16
237 0.0 20
237 0.0 21
236 2.0 12
227 3.0 16
227 4.0 11
226 1.0 5
224 3.0 8
223 0.0 17
223 2.0 5
223 1.0 15
222 3.0 11
222 2.0 17
221 3.0 9
220 0.0 20
214 0.0 18
212 3.0 13
212 2.0 14
209 2.0 6
204 3.0 10
204 1.0 16
199 1.0 16
199 3.0 9
199 3.0 10
198 4.0 11
197 2.0 16
197 4.0 9
194 1.0 14
194 0.0 6
191 3.0 13
190 2.0 16
189 1.0 9
189 4.0 9
188 4.0 13
185 5.0 14
185 4.0 11
182 4.0 10
181 1.0 6
181 2.0 14
180 1.0 15
178 3.0 10
178 2.0 17
177 3.0 15
176 3.0 13
175 3.0 9
175 2.0 14
174 0.0 23
173 4.0 12
171 1.0 5
170 3.0 14
170 3.0 14
169 2.0 6
169 3.0 14
169 3.0 14
169 3.0 15
168 3.0 16
164 4.0 11
164 0.0 24
163 3.0 16
161 3.0 10
160 3.0 8
160 2.0 6
159 3.0 17
159 3.0 14
156 3.0 15
155 0.0 23
153 4.0 12
153 3.0 10
153 2.0 18
151 3.0 8
151 3.0 13
150 4.0 15
150 2.0 6
150 2.0 19
149 4.0 12
149 3.0 7
148 3.0 7
148 3.0 8
147 3.0 17
147 3.0 19
145 3.0 8
144 4.0 15
144 4.0 7
142 0.0 25
142 4.0 9
142 4.0 13
141 2.0 16
138 3.0 22
137 4.0 12
137 3.0 16
137 4.0 14
137 4.0 10
136 4.0 16
135 1.0 17
135 4.0 14
134 1.0 17
133 4.0 14
133 4.0 13
132 4.0 10
132 5.0 13
131 2.0 5
130 2.0 18
130 0.0 23
129 5.0 12
129 0.0 22
129 5.0 12
129 1.0 17
127 1.0 16
127 1.0 4
126 0.0 22
126 0.0 19
126 4.0 17
125 2.0 14
125 2.0 18
124 4.0 8
124 4.0 9
124 3.0 6
124 5.0 12
124 5.0 16
124 5.0 11
123 0.0 25
122 2.0 17
121 1.0 18
120 1.0 18
120 5.0 15
120 4.0 13
120 1.0 20
119 0.0 23
119 4.0 14
119 3.0 17
118 5.0 11
118 1.0 20
117 5.0 16
117 5.0 11
116 5.0 13
116 1.0 17
115 1.0 17
113 4.0 15
113 1.0 18
112 5.0 15
112 2.0 19
112 2.0 5
112 1.0 19
110 2.0 18
110 4.0 18
109 5.0 13
109 2.0 3
108 3.0 7
108 0.0 24
108 2.0 5
108 1.0 19
107 6.0 17
107 2.0 20
107 3.0 5
106 2.0 21
106 4.0 16
105 0.0 25
103 3.0 7
102 5.0 14
101 5.0 11
101 6.0 15
101 5.0 14
99 4.0 18
99 4.0 16
96 2.0 19
96 1.0 18
94 5.0 10
94 2.0 17
93 3.0 18
93 5.0 15
93 2.0 21
93 6.0 13
93 1.0 20
93 2.0 4
92 4.0 19
91 5.0 17
91 6.0 12
90 6.0 10
90 2.0 17
90 3.0 20
89 5.0 18
89 6.0 16
89 4.0 8
88 6.0 11
88 4.0 8
88 5.0 10
87 5.0 18
87 4.0 18
85 3.0 21
85 4.0 19
85 5.0 17
84 3.0 19
84 1.0 4
84 2.0 20
84 0.0 27
84 2.0 21
84 6.0 12
83 4.0 20
83 2.0 25
83 1.0 21
82 5.0 20
82 6.0 14
82 0.0 26
82 6.0 13
81 6.0 16
81 5.0 16
81 3.0 18
80 7.0 10
80 0.0 28
79 6.0 10
79 2.0 22
79 5.0 19
78 4.0 20
78 7.0 17
78 5.0 9
77 4.0 23
77 1.0 22
77 6.0 17
77 4.0 17
76 1.0 23
76 5.0 19
76 3.0 20
76 8.0 17
75 3.0 22
75 5.0 18
75 6.0 11
75 3.0 20
74 3.0 19
73 4.0 17
73 3.0 18
73 6.0 15
73 6.0 14
72 1.0 22
72 3.0 6
72 2.0 23
72 6.0 12
72 0.0 26
72 4.0 17
71 5.0 9
70 1.0 4
70 2.0 22
69 1.0 23
68 7.0 13
68 1.0 23
68 6.0 14
68 7.0 16
67 1.0 21
67 6.0 13
67 6.0 11
67 7.0 15
66 5.0 20
66 5.0 10
65 6.0 16
65 2.0 3
65 3.0 19
64 7.0 14
64 5.0 21
64 3.0 21
63 6.0 17
63 0.0 28
63 0.0 26
62 1.0 21
62 6.0 10
62 7.0 15
62 8.0 17
62 2.0 28
62 4.0 20
62 5.0 8
61 6.0 19
61 0.0 27
61 7.0 13
61 1.0 19
60 5.0 9
60 2.0 31
60 1.0 22
60 0.0 28
60 6.0 18
59 7.0 16
59 7.0 12
59 8.0 10
59 9.0 13
59 6.0 15
59 8.0 13
58 0.0 30
58 6.0 19
58 7.0 15
57 8.0 9
57 8.0 15
57 6.0 20
56 4.0 21
55 7.0 9
55 4.0 5
55 2.0 4
55 1.0 26
54 5.0 22
54 3.0 23
54 6.0 19
54 6.0 18
53 4.0 24
53 7.0 14
53 7.0 14
53 0.0 27
52 4.0 22
52 8.0 14
52 5.0 8
52 2.0 23
52 5.0 21
51 8.0 9
51 8.0 18
51 7.0 17
51 8.0 13
51 3.0 25
51 11.0 14
50 2.0 23
50 1.0 26
50 9.0 11
50 7.0 17
49 3.0 6
49 8.0 20
49 7.0 12
49 9.0 16
48 8.0 18
48 9.0 15
48 0.0 29
48 0.0 32
48 3.0 23
48 4.0 23
48 5.0 21
48 8.0 11
47 4.0 21
47 7.0 21
47 3.0 23
47 1.0 25
47 8.0 12
46 1.0 28
46 0.0 31
46 1.0 25
46 2.0 4
46 7.0 19
46 4.0 6
46 5.0 24
46 6.0 20
46 9.0 18
46 7.0 7
46 4.0 7
46 7.0 11
46 12.0 14
45 3.0 25
45 7.0 18
45 8.0 15
45 9.0 18
44 5.0 22
44 6.0 21
44 0.0 29
44 4.0 24
44 6.0 9
44 2.0 24
44 2.0 24
44 3.0 24
44 7.0 12
44 0.0 30
43 8.0 22
43 9.0 20
43 7.0 18
43 5.0 23
43 5.0 7
42 1.0 24
42 10.0 13
42 1.0 27
42 7.0 19
42 6.0 21
41 6.0 22
41 9.0 12
41 8.0 19
41 9.0 19
41 8.0 12
41 7.0 20
40 6.0 23
40 13.0 13
40 4.0 21
40 0.0 33
40 4.0 6
40 6.0 5
39 1.0 27
39 6.0 8
39 0.0 32
39 9.0 19
39 3.0 24
39 5.0 8
39 5.0 5
38 9.0 17
38 7.0 23
38 4.0 28
38 7.0 22
38 5.0 25
38 4.0 25
38 8.0 16
38 9.0 14
38 7.0 10
38 2.0 26
37 7.0 22
37 2.0 27
37 2.0 26
37 8.0 15
37 2.0 25
37 10.0 18
37 9.0 15
37 0.0 33
36 7.0 23
36 7.0 18
36 8.0 16
36 0.0 31
36 7.0 11
36 0.0 30
35 11.0 18
35 5.0 24
35 9.0 14
35 4.0 27
35 7.0 10
35 4.0 27
35 8.0 14
35 9.0 21
34 2.0 27
34 3.0 26
34 8.0 19
34 6.0 26
34 3.0 4
34 3.0 26
34 5.0 26
34 5.0 28
34 9.0 20
34 8.0 11
34 8.0 20
33 10.0 15
33 5.0 25
33 6.0 9
33 10.0 18
32 7.0 24
32 2.0 33
32 10.0 16
32 7.0 27
32 7.0 20
31 11.0 18
31 1.0 24
31 10.0 17
31 6.0 8
31 0.0 34
31 11.0 21
31 4.0 31
31 6.0 22
31 5.0 7
31 2.0 29
31 10.0 14
31 8.0 26
31 7.0 21
30 8.0 16
30 5.0 23
30 9.0 17
30 0.0 34
30 6.0 23
30 6.0 28
30 4.0 26
30 5.0 27
30 12.0 18
30 11.0 19
29 11.0 8
29 0.0 36
29 1.0 30
29 6.0 25
29 9.0 22
29 11.0 22
29 8.0 22
29 10.0 15
29 5.0 6
29 4.0 24
29 9.0 23
28 2.0 29
28 0.0 35
28 10.0 21
28 1.0 28
28 5.0 6
28 10.0 19
28 4.0 30
28 3.0 28
27 0.0 28
27 12.0 22
27 6.0 26
27 12.0 17
27 6.0 27
27 10.0 19
27 10.0 16
27 6.0 28
27 10.0 20
26 5.0 28
26 7.0 5
26 0.0 37
26 10.0 25
26 10.0 26
26 12.0 20
26 6.0 22
26 9.0 24
26 3.0 27
26 3.0 28
26 3.0 30
26 8.0 21
26 11.0 16
26 8.0 10
25 6.0 25
25 7.0 28
25 6.0 29
25 9.0 11
25 11.0 23
25 3.0 5
25 3.0 30
25 12.0 16
24 8.0 23
24 7.0 26
24 3.0 29
24 7.0 25
24 1.0 31
24 8.0 24
24 11.0 17
24 4.0 26
24 9.0 14
24 9.0 23
24 8.0 25
23 11.0 13
23 0.0 35
23 9.0 25
23 5.0 26
23 10.0 21
23 3.0 32
23 13.0 18
23 7.0 30
23 12.0 19
23 11.0 15
23 6.0 24
23 10.0 22
22 1.0 29
22 4.0 28
22 8.0 25
22 8.0 26
22 10.0 22
22 3.0 34
22 2.0 37
22 1.0 36
22 10.0 24
22 4.0 32
22 8.0 28
22 10.0 12
22 11.0 13
22 7.0 29
22 10.0 23
22 12.0 6
22 4.0 29
21 4.0 5
21 8.0 27
21 14.0 25
21 12.0 16
21 9.0 25
21 6.0 7
21 2.0 30
21 10.0 14
20 13.0 17
20 7.0 30
20 3.0 33
20 7.0 24
20 8.0 30
20 9.0 12
20 11.0 20
20 1.0 30
20 6.0 9
20 12.0 14
20 8.0 23
20 7.0 8
19 10.0 27
19 10.0 11
19 0.0 38
19 2.0 35
19 12.0 15
19 11.0 16
19 3.0 31
19 11.0 26
19 11.0 24
19 9.0 27
19 5.0 30
19 4.0 31
18 9.0 8
18 11.0 14
18 17.0 7
18 14.0 22
18 13.0 19
18 7.0 25
18 6.0 33
18 12.0 21
18 11.0 9
18 13.0 14
18 4.0 29
17 0.0 38
17 7.0 41
17 5.0 34
17 13.0 25
17 5.0 34
17 0.0 44
17 9.0 27
17 5.0 32
17 15.0 24
17 10.0 23
17 14.0 28
17 2.0 38
17 12.0 23
17 5.0 33
17 1.0 33
16 14.0 24
16 15.0 18
16 9.0 9
16 6.0 6
16 9.0 10
16 5.0 31
16 1.0 35
16 2.0 32
16 6.0 7
16 3.0 35
16 14.0 10
16 0.0 39
16 9.0 26
16 0.0 40
15 15.0 15
15 12.0 18
15 14.0 18
15 11.0 11
15 13.0 24
15 0.0 49
15 14.0 23
15 4.0 35
15 11.0 23
15 1.0 32
15 11.0 25
15 13.0 16
15 16.0 26
15 15.0 27
15 13.0 20
14 20.0 18
14 3.0 40
14 8.0 29
14 11.0 29
14 4.0 33
14 14.0 16
14 9.0 28
14 0.0 0
14 2.0 34
14 10.0 13
14 7.0 31
14 15.0 16
14 0.0 43
14 15.0 20
14 2.0 41
14 9.0 4
14 11.0 27
14 10.0 11
14 15.0 13
14 18.0 23
14 13.0 23
14 14.0 12
13 4.0 36
13 2.0 36
13 9.0 30
13 11.0 32
13 13.0 21
13 12.0 24
13 11.0 28
13 15.0 23
13 15.0 25
13 12.0 25
13 12.0 30
13 8.0 7
13 6.0 35
13 5.0 41
13 12.0 31
13 9.0 10
13 3.0 39
13 1.0 37
13 10.0 10
13 13.0 26
13 14.0 20
13 11.0 15
13 14.0 19
13 14.0 15
13 1.0 33
12 11.0 30
12 16.0 31
12 9.0 29
12 10.0 34
12 14.0 17
12 1.0 40
12 16.0 18
12 8.0 36
12 2.0 40
12 13.0 21
12 18.0 22
12 6.0 34
12 4.0 37
12 10.0 36
12 2.0 42
12 13.0 29
12 21.0 26
12 5.0 29
12 7.0 8
12 6.0 31
12 12.0 32
12 1.0 36
12 12.0 28
12 12.0 11
12 15.0 17
12 15.0 22
12 0.0 41
12 7.0 34
12 11.0 33
12 14.0 20
12 16.0 22
12 10.0 29
11 8.0 36
11 18.0 14
11 7.0 33
11 10.0 33
11 6.0 31
11 17.0 17
11 10.0 8
11 2.0 43
11 15.0 29
11 13.0 32
11 14.0 24
11 10.0 26
11 12.0 29
11 19.0 21
11 14.0 29
11 8.0 37
11 13.0 28
11 13.0 15
11 18.0 26
11 4.0 34
11 16.0 24
11 8.0 5
11 11.0 36
11 13.0 15
11 12.0 24
11 6.0 30
10 3.0 38
10 9.0 32
10 4.0 42
10 19.0 19
10 5.0 4
10 12.0 27
10 9.0 33
10 2.0 34
10 6.0 41
10 10.0 28
10 3.0 37
10 16.0 16
10 12.0 38
10 13.0 26
10 17.0 24
10 2.0 38
10 4.0 35
10 5.0 35
10 6.0 37
10 19.0 23
10 10.0 37
10 8.0 34
10 7.0 6
10 8.0 8
10 0.0 46
10 3.0 41
10 19.0 26
10 12.0 13
10 14.0 31
10 13.0 10
9 10.0 37
9 13.0 29
9 8.0 45
9 1.0 38
9 2.0 33
9 19.0 25
9 14.0 30
9 8.0 32
9 13.0 27
9 10.0 30
9 12.0 26
9 17.0 23
9 16.0 22
9 16.0 27
9 5.0 36
9 10.0 9
9 2.0 48
9 8.0 31
9 8.0 35
9 14.0 15
9 10.0 32
9 16.0 21
9 3.0 42
9 3.0 36
9 5.0 39
9 18.0 18
9 5.0 40
9 14.0 27
9 13.0 34
9 17.0 21
9 12.0 41
9 11.0 31
8 14.0 33
8 19.0 33
8 19.0 18
8 13.0 38
8 18.0 25
8 12.0 34
8 4.0 38
8 6.0 40
8 3.0 3
8 18.0 17
8 5.0 38
8 16.0 28
8 0.0 53
8 17.0 29
8 18.0 27
8 5.0 37
8 10.0 29
8 13.0 31
8 11.0 38
8 8.0 29
8 16.0 29
8 23.0 19
8 7.0 37
8 14.0 34
8 8.0 41
8 9.0 32
8 11.0 39
8 8.0 33
8 20.0 26
8 9.0 50
8 6.0 32
8 7.0 38
8 2.0 47
8 30.0 20
7 6.0 36
7 16.0 32
7 4.0 40
7 16.0 14
7 21.0 21
7 11.0 10
7 17.0 31
7 1.0 42
7 22.0 22
7 9.0 37
7 2.0 45
7 14.0 32
7 9.0 44
7 11.0 4
7 4.0 3
7 2.0 0
7 10.0 43
7 7.0 32
7 17.0 26
7 13.0 11
7 17.0 14
7 18.0 29
7 16.0 25
7 20.0 20
7 24.0 19
7 10.0 31
7 17.0 15
7 15.0 29
7 17.0 20
7 13.0 35
7 16.0 13
7 17.0 34
7 17.0 19
7 22.0 45
7 21.0 18
7 20.0 17
7 14.0 13
7 7.0 35
7 15.0 21
7 16.0 19
7 13.0 46
7 6.0 43
7 9.0 36
7 0.0 42
7 5.0 46
7 1.0 41
7 6.0 39
7 20.0 22
7 5.0 29
7 14.0 14
6 12.0 39
6 9.0 46
6 1.0 44
6 19.0 39
6 17.0 27
6 23.0 33
6 15.0 38
6 21.0 32
6 17.0 39
6 21.0 24
6 13.0 4
6 15.0 31
6 9.0 34
6 12.0 37
6 4.0 39
6 0.0 48
6 22.0 31
6 18.0 21
6 0.0 47
6 21.0 27
6 19.0 28
6 7.0 59
6 13.0 42
6 15.0 14
6 11.0 34
6 17.0 18
6 2.0 44
6 11.0 37
6 19.0 31
6 2.0 31
6 18.0 33
6 4.0 41
6 5.0 58
6 4.0 4
6 36.0 31
6 4.0 39
6 22.0 26
6 16.0 24
6 21.0 45
6 1.0 43
6 5.0 42
6 15.0 33
6 3.0 47
6 0.0 52
6 25.0 30
6 21.0 29
6 8.0 40
6 15.0 32
6 18.0 37
6 10.0 5
6 22.0 23
6 19.0 29
6 12.0 47
6 14.0 39
6 21.0 22
5 10.0 38
5 18.0 19
5 8.0 43
5 22.0 29
5 16.0 37
5 8.0 50
5 6.0 53
5 8.0 61
5 24.0 30
5 19.0 17
5 25.0 18
5 12.0 35
5 23.0 36
5 3.0 45
5 8.0 39
5 20.0 35
5 4.0 47
5 0.0 57
5 9.0 47
5 32.8 27
5 6.0 50
5 19.0 24
5 20.0 22
5 15.0 28
5 8.0 47
5 23.0 24
5 11.0 44
5 11.0 41
5 16.0 33
5 0.0 60
5 14.0 11
5 19.0 9
5 18.0 40
5 3.0 51
5 14.0 36
5 7.0 48
5 20.0 25
5 17.0 28
5 21.0 29
5 18.0 31
5 9.0 42
5 4.0 5
5 11.0 42
5 21.0 17
5 7.0 36
5 1.0 0
5 20.0 31
5 13.0 33
5 10.0 40
5 13.0 40
5 15.0 12
4 9.0 31
4 7.0 39
4 22.0 19
4 7.0 43
4 21.0 33
4 25.0 26
4 22.0 28
4 10.0 41
4 16.0 7
4 18.0 30
4 21.0 30
4 10.0 55
4 12.0 60
4 15.0 41
4 5.0 3
4 13.0 48
4 17.0 33
4 2.0 54
4 23.0 39
4 19.0 16
4 16.0 20
4 6.0 42
4 22.0 39
4 15.0 37
4 3.0 45
4 22.0 17
4 9.0 40
4 16.0 35
4 24.0 26
4 14.0 42
4 15.0 40
4 9.0 39
4 14.0 50
4 9.0 6
4 26.0 42
4 9.0 41
4 24.0 40
4 20.0 29
4 20.0 28
4 15.0 11
4 13.0 37
4 18.0 16
4 28.0 40
4 19.0 42
4 8.0 44
4 24.0 45
4 0.0 50
4 14.0 37
4 26.0 24
4 4.0 0
4 13.0 9
4 23.0 37
4 16.0 12
4 3.0 59
4 21.0 48
4 3.0 50
4 11.0 35
4 26.0 31
4 23.0 31
3 10.0 57
3 20.0 4
3 11.0 7
3 20.0 24
3 0.0 157
3 23.0 17
3 12.0 51
3 8.0 6
3 22.0 36
3 15.0 9
3 19.0 15
3 37.0 37
3 32.0 40
3 6.0 3
3 5.0 49
3 18.0 38
3 3.0 44
3 10.0 7
3 23.0 26
3 17.0 32
3 24.0 34
3 15.0 35
3 17.0 44
3 13.0 36
3 11.0 47
3 23.0 30
3 22.0 25
3 31.0 27
3 26.0 21
3 28.0 50
3 13.0 39
3 7.0 46
3 13.0 51
3 6.0 61
3 26.0 46
3 21.0 34
3 25.0 35
3 42.0 24
3 2.0 52
3 26.0 29
3 22.0 38
3 12.0 45
3 29.0 56
3 48.0 33
3 23.0 40
3 11.0 51
3 12.0 10
3 27.0 36
3 22.0 43
3 17.666666666666668 4
3 25.0 21
3 4.0 50
3 19.0 40
3 6.0 46
3 24.0 37
3 10.0 52
3 18.0 49
3 2.0 52
3 13.0 43
3 20.0 33
3 2.0 62
3 32.0 30
3 4.0 59
3 20.0 16
3 41.0 45
3 10.0 59
3 27.0 45
3 34.0 50
3 25.0 45
3 1.0 59
3 9.0 71
3 5.0 44
3 11.0 52
3 12.0 44
3 22.0 32
3 6.0 49
3 26.0 34
3 22.0 41
3 5.0 54
3 5.0 56
3 16.0 10
3 20.0 41
3 23.0 20
3 17.0 37
3 24.0 22
3 25.0 33
3 17.0 41
3 27.0 14
3 1.0 46
3 14.0 9
3 10.0 45
3 6.0 56
3 1.0 55
3 12.0 4
2 31.0 42
2 11.0 48
2 20.0 56
2 9.0 0
2 28.0 22
2 49.0 58
2 3.0 63
2 34.0 52
2 18.0 12
2 23.0 51
2 4.0 65
2 26.0 49
2 21.0 37
2 21.0 42
2 2.0 50
2 7.0 70
2 25.5 52
2 21.0 50
2 11.0 50
2 25.0 41
2 11.0 73
2 3.0 56
2 3.0 65
2 45.0 51
2 41.0 47
2 7.0 45
2 37.0 52
2 21.0 64
2 1.0 48
2 19.0 35
2 26.0 60
2 48.0 37
2 8.0 42
2 2.0 80
2 23.0 89
2 37.0 26
2 42.0 67
2 22.0 52
2 18.0 44
2 34.0 42
2 18.0 50
2 7.5 69
2 0.0 155
2 43.0 34
2 31.0 48
2 3.0 55
2 35.0 63
2 27.0 21
2 48.0 57
2 35.0 33
2 22.0 37
2 28.0 66
2 3.0 0
2 22.0 35
2 7.0 53
2 23.0 13
2 49.0 86
2 48.0 36
2 4.0 45
2 19.0 50
2 7.0 51
2 4.0 52
2 23.0 35
2 7.0 50
2 28.0 24
2 35.0 30
2 0.0 75
2 34.0 60
2 1.0 56
2 8.0 3
2 30.0 36
2 15.0 61
2 22.0 14
2 30.0 34
2 11.0 60
2 36.0 58
2 80.0 83
2 3.5 54
2 8.0 55
2 24.0 28
2 32.0 28
2 38.0 37
2 10.0 72
2 11.0 6
2 30.0 14
2 2.5 108
2 10.0 69
2 16.0 9
2 20.0 63
2 23.0 23
2 23.0 44
2 16.0 40
2 17.0 36
2 25.0 37
2 14.0 52
2 14.0 47
2 70.0 67
2 35.0 54
2 8.0 58
2 23.0 29
2 2.0 49
2 15.0 66
2 20.0 13
2 21.0 20
2 10.0 47
2 5.0 63
2 2.0 57
2 28.0 29
2 17.0 11
2 16.0 81
2 37.0 57
2 2.0 76
2 5.0 69
2 19.0 36
2 20.0 43
2 47.0 38
2 20.0 8
2 33.0 49
2 5.0 66
2 26.0 40
2 0.0 67
2 5.0 70
2 26.5 17
2 0.0 63
2 13.0 6
2 15.0 4
2 25.0 19
2 17.0 69
2 25.0 48
2 21.0 14
2 20.0 46
2 1.0 64
2 29.0 33
2 11.0 46
2 28.0 18
2 27.0 29
2 10.0 51
2 9.0 53
2 18.0 57
2 29.0 20
2 12.0 54
2 9.0 61
2 16.0 44
2 1.0 49
2 111.0 93
2 13.0 38
2 10.0 67
2 37.0 67
2 44.0 62
2 63.0 66
2 12.0 9
2 24.0 49
2 14.0 72
2 31.0 38
2 28.0 33
2 29.0 14
2 32.0 36
2 14.0 43
2 29.0 26
2 22.0 15
2 2.0 84
2 22.0 55
2 31.0 30
2 0.0 54
2 41.0 52
2 15.0 44
1 6.0 63
1 16.0 188
1 37.0 47
1 6.0 81
1 15.0 6
1 31.0 45
1 0.0 56
1 74.0 30
1 27.0 38
1 7.0 60
1 32.0 55
1 30.0 55
1 137.0 329
1 2.0 66
1 20.0 39
1 5.0 51
1 18.0 52
1 40.0 45
1 11.0 66
1 29.0 39
1 34.0 79
1 21.0 12
1 16.0 46
1 19.0 56
1 33.0 29
1 80.0 91
1 12.0 64
1 8.0 0
1 26.0 19
1 42.0 46
1 43.0 30
1 23.0 14
1 1.0 62
1 2.0 55
1 34.0 26
1 21.0 8
1 33.0 21
1 26.0 28
1 42.0 130
1 35.0 29
1 24.0 96
1 81.0 74
1 27.0 43
1 19.0 52
1 30.0 73
1 32.0 62
1 203.0 139
1 27.0 51
1 19.0 64
1 33.0 40
1 44.0 32
1 1.0 86
1 19.0 4
1 30.0 57
1 96.0 88
1 11.0 78
1 27.0 60
1 43.0 31
1 28.0 20
1 38.0 51
1 141.0 115
1 44.0 64
1 38.0 57
1 0.0 82
1 8.0 71
1 15.0 73
1 4.0 111
1 19.0 46
1 27.0 48
1 33.0 25
1 21.0 57
1 6.0 71
1 54.0 79
1 27.0 19
1 36.0 54
1 24.0 55
1 43.0 62
1 82.0 89
1 19.0 44
1 32.0 49
1 14.0 94
1 7.0 56
1 32.0 42
1 6.0 70
1 17.0 49
1 1.0 76
1 35.0 79
1 9.0 57
1 9.0 3
1 33.0 38
1 53.0 359
1 20.0 66
1 32.0 71
1 21.0 10
1 25.0 24
1 11.0 62
