count nobl hse
120069 0.0 116
61563 0.0 222
61313 0.0 460
45329 0.0 334
30073 0.0 640
21740 0.0 932
21258 0.0 547
19286 0.0 773
14147 0.0 1106
10399 0.0 1256
8775 0.0 1583
8759 0.0 1416
7980 0.0 1971
7515 0.0 1767
7278 0.0 2206
5323 0.0 2444
5315 0.0 2691
4471 0.0 2940
4149 0.0 3202
4018 0.0 3787
3959 0.0 3471
3772 0.0 4133
3171 0.0 4497
2918 0.0 4864
2571 0.0 5243
2299 0.0 5650
2293 1.0 138
2238 0.0 6090
2056 0.0 7023
2013 1.0 1454
2011 0.0 6530
1988 1.0 831
1938 1.0 2178
1919 1.0 1795
1856 1.0 1147
1739 1.0 505
1682 0.0 7554
1595 1.0 3847
1589 1.0 2564
1441 0.0 8063
1440 1.0 3374
1434 1.0 2942
1379 1.0 4397
1356 1.0 4932
1343 1.0 5587
1246 0.0 8568
1245 2.0 2959
1231 2.0 3471
1125 2.0 5100
1123 2.0 2512
1121 2.0 2046
1115 2.0 4515
1091 2.0 3977
1076 2.0 1534
1054 0.0 9055
1012 2.0 1006
969 0.0 9548
966 1.0 6262
852 0.0 10055
798 0.0 13464
795 0.0 10532
759 2.0 5654
737 0.0 11038
732 1.0 6909
724 2.0 7197
712 0.0 12726
686 0.0 11558
668 0.0 12129
656 2.0 6207
627 3.0 4668
618 0.0 14270
605 0.0 15085
605 2.0 6739
604 3.0 2773
602 2.0 9585
584 1.0 7516
582 3.0 9001
582 2.0 359
571 1.0 10256
566 3.0 3448
554 3.0 6616
554 1.0 8736
553 1.0 8121
550 2.0 7730
545 0.0 15976
537 3.0 7333
530 3.0 1969
530 1.0 11159
518 3.0 8089
516 3.0 4103
514 1.0 9425
506 2.0 8277
502 4.0 5374
499 2.0 8876
483 4.0 6642
481 3.0 5903
472 2.0 10287
465 0.0 16842
453 3.0 5269
449 0.0 18771
431 4.0 7791
425 3.0 9938
422 1.0 13003
421 4.0 4026
421 1.0 12038
410 0.0 17749
402 3.0 11984
401 4.0 9058
398 0.0 20940
396 4.0 10230
381 0.0 19804
375 3.0 10939
374 2.0 10975
370 2.0 11645
359 3.0 1048
342 4.0 2855
335 4.0 13718
333 1.0 16175
333 4.0 12475
332 0.0 22124
327 3.0 14035
326 1.0 17586
321 0.0 26962
319 1.0 14004
317 1.0 14973
307 2.0 12356
305 2.0 16402
300 3.0 12991
298 2.0 13833
297 2.0 13111
290 3.0 16496
288 3.0 15228
278 0.0 24378
277 4.0 11322
273 1.0 19091
264 0.0 25701
264 4.0 16264
259 0.0 23203
250 2.0 14739
244 3.0 17851
244 4.0 14971
240 5.0 13313
238 0.0 29858
233 0.0 28324
232 2.0 19784
232 2.0 18470
229 0.0 32861
226 2.0 15595
226 2.0 17402
224 5.0 9599
224 5.0 12109
222 4.0 1426
220 5.0 7435
208 5.0 10793
206 5.0 6209
205 1.0 20418
205 0.0 31437
203 6.0 12087
199 4.0 17601
196 0.0 34339
192 5.0 4969
187 2.0 21140
187 4.0 19011
186 1.0 21608
183 2.0 22439
182 0.0 35891
179 3.0 21642
173 3.0 19049
172 2.0 23940
172 6.0 7147
169 6.0 10328
168 5.0 8447
168 3.0 23086
162 4.0 25148
161 6.0 15334
160 2.0 28449
158 4.0 21810
156 4.0 23417
156 4.0 20372
156 6.0 16865
155 7.0 13655
154 6.0 13762
154 3.0 20266
150 5.0 14469
147 3.0 25932
146 5.0 19645
146 1.0 22769
145 5.0 15636
144 6.0 6078
144 6.0 8657
143 2.0 33296
143 5.0 16763
142 5.0 25706
140 5.0 3897
139 1.0 25134
136 3.0 28226
136 2.0 25406
136 5.0 18612
131 6.0 18496
129 0.0 37435
129 4.0 27071
128 1.0 28115
126 7.0 18243
126 5.0 22505
126 1.0 23922
124 2.0 26921
123 1.0 26535
122 5.0 2731
122 5.0 27647
121 8.0 16041
120 7.0 22552
119 5.0 21012
117 0.0 43152
116 5.0 32247
116 5.0 24073
116 5.0 17709
116 0.0 38877
115 6.0 24694
111 0.0 44959
110 7.0 16092
108 7.0 8961
107 7.0 11395
107 5.0 30019
106 6.0 23082
106 6.0 21515
105 4.0 31006
104 7.0 6874
104 2.0 31900
103 3.0 24553
103 1.0 34857
102 4.0 28973
99 6.0 20109
99 2.0 30123
97 7.0 20281
96 1.0 31534
95 0.0 48424
95 0.0 41586
93 7.0 30939
90 0.0 46912
90 8.0 23693
89 1.0 29868
89 3.0 40711
89 7.0 24791
88 4.0 33110
87 0.0 40152
87 6.0 33943
85 6.0 27931
85 1.0 41109
85 8.0 6666
85 7.0 2242
85 8.0 12330
85 5.0 1315
85 3.0 27119
84 6.0 29853
83 3.0 35769
83 3.0 29392
83 0.0 54586
82 1.0 33168
82 0.0 58817
81 2.0 42534
80 0.0 62742
80 3.0 34101
79 5.0 34605
79 3.0 43634
79 8.0 26756
79 0.0 50122
78 1.0 38808
78 0.0 52298
77 3.0 32442
76 0.0 79930
76 8.0 18321
75 6.0 31795
75 2.0 35369
