count robl hsd
96443 0.0 3
40178 0.0 8
34175 0.0 4
21839 0.0 4
19969 6.420207732241384e-07 5
19561 0.0 5
14118 0.0 7
10128 0.0 13
9319 0.0 5
9119 0.0 7
8078 0.0 5
7843 0.0 6
7623 0.0 5
7562 0.0 9
7299 0.0 6
7217 0.0 4
7192 2.3566674836447277e-06 6
7111 0.0 3
6982 0.0 4
6939 2.324402977095333e-06 5
6195 2.603556458121794e-06 8
5595 0.0 9
5497 0.0 6
5327 0.0 7
5247 0.0 7
5190 0.0 7
4855 0.0 11
4321 0.0 8
4091 5.092479426383117e-06 8
3951 0.0 6
3933 0.0 7
3791 0.0 5
3616 0.0 13
3460 0.0 7
3250 1.2166695093524361e-05 8
3216 0.0 12
3048 5.965163445478405e-06 10
2951 0.0 10
2881 7.713371128851865e-06 8
2789 0.0 11
2773 3.0196866146003007e-05 5
2732 0.0 9
2720 0.0 6
2670 0.0 11
2564 6.190723819428967e-06 9
2546 0.0 5
2399 8.868943620125406e-06 8
2370 0.0 13
2318 0.0 11
2290 0.0 9
2257 0.0 9
2229 0.0 6
2138 0.0 10
2081 0.0 4
1829 1.8994499946045793e-05 12
1803 0.0 12
1662 0.0 14
1564 0.0 7
1553 8.943263933605208e-06 14
1465 0.0 11
1440 3.5359202879694684e-05 12
1257 3.724531736088073e-05 14
1218 0.0 10
1168 0.0 10
1123 7.2396093506794385e-06 12
1108 2.8502425839970964e-05 16
1085 0.0 13
1075 0.0 14
1041 1.0111734668082309e-05 15
1020 3.214400514304082e-05 15
1013 1.6452780519907866e-05 15
887 1.3421377570193803e-05 9
877 4.9546614540913284e-05 16
810 0.0 16
757 7.17707875984251e-05 17
749 5.588015504002862e-05 17
736 0.00027286887906801733 17
715 0.0 13
714 0.0 14
642 8.777134945359243e-05 4
631 1.7608733932030288e-05 15
590 0.0001850504596550869 18
564 8.684741276053074e-05 18
528 2.176941832114246e-05 19
512 0.00015744696292249505 19
438 0.0 19
433 1.2219411757517992e-05 20
394 0.2003746676335509 6
393 0.2500080353555645 6
380 0.00010940599836620375 20
359 0.12592288895696344 7
356 0.2500608047965542 8
355 0.24992410651586286 10
349 0.1441616985256593 9
348 0.5 6
345 0.1452164375720245 9
343 0.00012881173691362428 22
336 0.33339619938884646 8
334 0.24999583122810354 9
327 0.16677877107497696 8
326 0.25015259885066704 9
