count robl ncl
482965 6.3709028126739555e-09 0
11944 6.862626684088589e-07 1
4367 0.24999551122163735 0
4141 0.0 2
3930 0.2000071777266656 0
3452 0.1666630536438405 0
3383 0.3333374607932261 0
2709 0.1428469862041038 0
2564 0.5 0
2376 0.1249849431902456 0
1894 0.11115384447115019 0
1830 0.10002374422070198 0
1800 3.728560775540641e-06 3
1628 0.28571862448641977 0
1504 0.39999703054772673 0
1500 0.09093126933060779 0
1323 0.22224490034896746 0
1176 1.0 0
1123 0.08333625144801099 0
1105 0.1818291624121333 0
977 0.15388298881955206 0
976 4.7316142489365886e-05 4
943 0.0716771372117247 0
932 0.07689924237633197 0
815 0.13322984076697683 0
741 0.06686376607800433 0
656 0.11776244466277988 0
638 0.30000587063381023 0
616 0.06266916347777034 0
600 0.048896338605019726 0
593 0.37490755547444043 0
569 0.23015691769383662 0
546 1.744287458573173e-05 5
529 0.05583256499468069 0
511 0.21478874903813963 0
504 0.24997682126382312 1
475 0.2000266394410233 1
471 0.05897243219507859 0
470 0.27275063536297334 0
470 0.33335752178532707 2
467 0.6666523911491792 0
451 0.03659494326401024 0
440 0.044662134469079205 0
437 0.16667307120485916 1
433 0.10544565925854142 0
413 0.052624623404958465 0
398 0.03129595039926574 0
386 0.4285380422686122 0
386 0.15913734857855397 0
383 0.3333492238193479 1
375 0.1872291233996498 0
372 0.09546525736466578 0
370 0.14284956864187534 1
359 0.13687559327376425 0
357 0.17678492420296255 0
343 0.16700984263829274 2
333 0.14903357590771482 0
328 0.2357824329120525 0
327 0.3638885773807176 0
323 0.09156633734757315 1
320 0.12509693235341507 1
304 5.715668045383827e-05 6
304 0.040909739479225674 0
304 0.11119677717091392 1
301 0.12984396654998173 0
298 0.20899770623793687 0
298 0.25005308486274186 2
295 0.09983303256028205 1
292 0.5 1
291 0.08007069686457184 0
279 0.2001040719523953 2
275 0.19155102363549711 0
262 0.08705702545750373 0
260 0.1253982625350868 2
259 0.022188763092785797 0
256 0.14303479061965796 2
249 0.026776226394572146 0
246 0.06079865222091588 1
228 0.4000059070234509 1
221 0.3073460272829255 0
220 0.03777398543918443 1
218 0.2669313980992848 0
215 0.08403184522227701 1
210 0.28542549089314323 1
207 0.04697569388283442 1
203 0.07733645501517641 1
201 1.0 1
200 0.1795444279724754 2
199 0.22240869511515815 1
195 0.05419324823463363 1
194 0.44452987284029205 0
191 0.1337387039862828 2
189 0.13252262605879317 1
189 0.11769310356206066 1
189 0.600188527402698 0
185 0.09961303103637585 2
182 0.38515532280289233 0
181 0.0648240438293447 2
181 0.08394208540504088 2
179 0.06672407504659603 1
179 0.07189570881713682 1
179 0.09175430351578678 2
178 6.851192107426693e-05 7
177 0.016467237142376634 0
177 0.11124686621907387 2
176 0.18177515811953907 1
176 0.2498225355043537 3
173 0.41573907281713574 0
172 0.07125981889644417 2
172 0.15205886410100816 2
169 0.17302110890774547 0
168 0.5000725900116144 2
165 0.12464927959526433 4
165 0.02863572391495487 1
164 0.22161990380426821 2
163 0.0648745963577802 3
158 0.2625120390055202 0
158 0.049295835514064607 2
158 0.1540344213698454 1
155 0.15943796263212734 1
155 0.0002401870554387265 8
152 0.18911672732372642 2
149 0.17540635564934381 1
148 0.21201068444986493 2
146 0.20002951660628776 3
145 0.250037890548835 4
144 0.07753146670414204 2
143 0.27808667286353406 0
139 0.35727310923721534 0
138 0.27361143681720096 1
138 0.2935024519883819 0
134 0.057501013696383795 2
134 0.10559806305688497 1
133 0.11775096349492054 2
133 0.1423663297422385 3
130 0.7504733273343696 0
129 0.29897152471110117 2
129 0.2300426306819874 1
128 0.21472913833626683 1
128 0.16792523909264928 4
127 0.12540406120638187 3
127 0.23451662985845909 3
127 0.07432376798763686 3
126 0.040507432610257896 2
125 0.2855591726042549 2
123 0.37513341267896916 1
123 0.154842316104808 4
121 0.31809585100715987 0
119 2.0 0
118 0.16676494378317572 3
114 0.5001329080276449 3
114 0.10016742194987498 3
112 0.35170225356343865 0
112 0.10517934165443185 2
112 0.33347502192359774 3
111 0.23742192088902006 1
111 0.4000121333454667 2
108 0.14323187043115276 4
107 0.11194904359188967 3
107 0.08356987654154299 3
107 0.24131660900057356 0
106 0.26336297144443005 1
106 0.2087746019513331 1
105 0.14933450169841211 1
103 0.22331817462575757 3
103 0.032850237062965935 2
103 0.2298808657257838 2
103 0.27439377284808986 3
102 0.151644688050289 3
101 0.04575294898734922 4
101 0.31243254685639765 0
100 0.057181610695430346 3
99 0.18978074918962357 3
98 0.2998966516301748 1
98 0.27399063020468284 2
97 0.1584091562253943 2
97 0.26337150662520253 2
96 0.18696127557515474 1
96 0.17554970709676523 3
95 0.13339069598246234 3
94 0.04897426493828798 3
94 0.2153503868822735 3
94 0.008141188687781777 0
93 0.20005326385636105 4
92 0.34553662073220565 0
92 0.1808105500999071 5
91 0.11296012132168957 4
89 0.47077327529216784 0
88 0.2986915318306628 3
86 0.00021520706955223482 9
85 0.1340653200407201 4
84 0.23582577232826682 4
84 0.2127020876725557 4
83 0.030180763247205818 3
83 0.08288739474942111 4
83 0.09075250213069867 3
82 0.28617801118778247 3
81 0.13726500507225073 1
80 0.5714285714285714 0
80 0.18232707516903568 3
80 0.07312778831177315 4
79 0.1399016576820012 6
79 0.0007763044734134766 10
78 0.09975005916717399 4
78 0.15772039941371147 5
78 0.05579163961031199 4
77 0.03546252090685075 4
77 0.20162771786330785 5
77 0.3155806288303681 1
76 0.09212981942768111 4
75 0.0642231354134766 4
75 0.5 5
75 0.18028116061249247 4
74 0.4285615285615285 1
74 0.36216197742513534 1
73 0.10601116474668926 3
72 0.27506617109190334 4
72 0.15301119520114898 6
72 0.3071109655286317 1
71 0.25782652953926766 0
71 0.666913763281443 1
71 0.10590823203138447 4
70 0.19183738089329724 1
70 0.26300958349875636 3
69 0.07858422404945231 5
69 0.04016997944287762 3
68 0.12411171861274482 7
68 0.17151042983315823 7
68 0.1340332877601402 5
68 0.11916872625739731 3
68 0.16836869151940098 5
67 0.23830111215002295 2
67 0.08985082599105673 5
67 0.05749243196720145 5
66 0.1591409367388688 3
66 0.09927243328363718 5
65 0.2233620107670007 4
65 0.14608707425342526 5
65 0.017624130280940595 1
64 0.024980962956631162 2
62 0.4370067788686302 0
62 0.06806017064965461 5
62 0.6660341555977228 2
62 0.4543359865940511 0
61 0.19179595619149348 5
60 0.21290282044336087 5
60 0.3760985605000053 3
60 0.19018447465121746 4
60 0.31281408388118453 3
58 0.0916615407270571 7
58 0.799722906403941 0
58 0.2502963250447576 5
58 0.09542773632760741 3
56 0.19854750791512948 6
56 0.2912170045740651 5
56 0.1259268496280726 6
55 0.1421579077663271 8
55 0.15455502517298428 7
55 0.356622942155234 3
54 0.3983146763040408 3
54 0.3749796456589055 2
54 0.10893506705147163 7
54 0.3156863647223649 2
53 0.18661207348867528 6
52 0.2085084299505901 3
52 0.16476590734398 6
51 0.11002945638296813 8
51 0.04978241936196116 9
51 0.11315144235587715 6
51 0.14105121956071032 7
50 0.1250598949316082 5
50 0.0 12
50 0.3330170987313844 4
49 0.22213076265965107 5
49 0.26385015070299855 4
49 0.38531651675949713 1
48 0.3068820763957571 2
47 0.17525529548576224 6
47 0.44398484216381584 1
47 0.4619274018539053 0
47 0.046613598309295186 5
47 0.31294287434578505 4
47 0.33207381057455276 5
46 0.10904931930823636 5
46 0.4289960087772714 9
46 0.31557007977264667 23
46 0.16050833690906482 9
46 0.022809724980873428 5
45 0.5 4
45 0.41624512712598205 1
45 0.020665729718542664 4
45 0.29355476744028813 1
45 0.29865833120952745 4
45 0.10188989154535502 6
44 0.1706453556066424 10
44 0.18494002952850577 7
44 0.035099802101419046 5
44 0.02570771253884185 7
44 1.0 2
43 0.16780314347059952 11
43 0.1252063252913743 8
42 0.1971955678000453 8
42 0.053737265534676795 6
42 0.35011705822298633 1
42 0.08428573587624062 6
42 0.09273058203919293 6
42 0.4244204100125287 3
42 0.22944901326947859 8
42 0.7494699634239661 11
42 0.18213075093423528 8
42 0.07263009709761285 7
42 0.13850754406632776 9
41 0.019634996746586943 3
41 0.04353403413224527 7
41 0.21182012311799284 6
40 0.3121142319288344 5
40 0.22512253192305426 6
40 0.2871542049132017 4
40 0.2014720219025678 9
40 0.0 11
40 0.20921353494484726 7
40 0.4290372670807453 2
40 0.06382102108448268 6
40 0.05783933845176194 7
40 0.35270370461414646 2
39 0.5566239316239316 0
39 0.07274838864000707 6
38 0.30876079957829505 6
38 0.2321907667049111 5
38 0.3976671981199712 6
38 0.12089589453144414 9
38 1.0 3
37 0.23829428965285576 6
37 0.5722752828015986 3
37 0.11711451595325208 5
37 0.5432936432936433 0
37 0.2625825960553793 6
36 0.25049856404461135 6
36 0.29617933445311423 11
36 0.2745364374513029 6
36 0.355902081212503 5
35 0.23859178707979542 32
35 0.2757910131656305 22
35 0.18042560469798408 9
35 0.380774414762282 10
35 0.5995382395382395 1
35 0.2631902234220448 5
34 1.0 25
34 0.2892873120494125 6
34 0.06868120727553988 9
34 0.15593762714749554 8
34 0.36901993433758984 24
34 0.035790628934705956 6
33 0.0885919550704853 9
33 0.27457937987496234 5
33 0.3599908322925731 13
33 0.1120561568691904 11
33 0.30434309024340356 8
33 0.22305900677103496 7
33 0.3565311400025758 7
33 0.16770917134202115 8
32 0.3680730283781554 16
32 0.23969223943909418 5
31 0.38007590132827324 12
31 0.4565748767361671 1
31 0.04519798064340421 6
31 0.17471676802287536 12
31 0.19744041659464442 7
31 0.14414844598876922 15
31 0.14075060627375002 10
31 0.0913801112925733 8
30 0.0007690631808278867 14
30 0.10215592828294978 10
30 0.2360747436723615 9
29 0.0939661469738919 11
29 0.023676956943445005 6
29 0.15565220510164413 12
29 0.2502344572053653 7
29 0.027753018142004815 9
29 0.15606496224352412 10
29 0.0 13
29 0.25198822476110877 8
28 0.2350069937188179 7
28 0.33334143395419463 6
28 1.0 15
28 0.7692307692307693 19
27 0.4073094258279443 35
27 0.06433615280285086 8
27 0.01625974789668905 2
