loc cc count
28 3 1
13 2 1
15 1 1
12 3 1
31 10 1
42 5 1
21 1 1
27 7 1
32 10 1
16 4 1
18 4 1
32 18 1
12 6 1
25 5 1
29 4 1
15 4 1
24 9 1
12 1 1
38 18 1
25 4 1
14 5 1
13 12 1
35 9 1
20 2 1
32 8 1
39 9 1
22 4 1
29 13 1
36 5 1
33 6 1
6 4 1
33 10 1
28 7 1
13 6 1
24 12 1
41 15 1
37 4 1
23 7 1
37 6 1
9 5 1
40 10 1
36 4 1
21 3 1
32 7 1
36 10 1
26 6 1
34 4 1
18 5 1
12 5 1
32 1 1
22 9 1
33 8 1
41 1 1
28 8 1
36 3 1
24 4 1
39 5 1
20 9 1
37 9 1
42 8 1
25 13 1
32 9 1
19 5 1
41 13 1
27 9 1
41 5 1
37 15 1
37 5 1
42 20 1
29 12 1
38 8 1
28 4 1
28 10 1
42 3 1
31 24 1
27 5 1
35 1 1
31 15 1
10 2 1
32 17 1
12 9 1
34 5 1
18 12 1
18 10 1
37 7 1
39 15 1
16 9 1
26 16 1
30 13 1
23 10 1
8 5 1
6 8 1
41 11 1
20 3 1
40 16 1
34 22 1
37 12 1
9 8 1
29 8 1
17 12 1
7 8 1
39 12 1
27 15 1
38 4 1
30 7 1
12 12 1
17 10 1
10 12 1
25 9 1
22 15 1
26 22 1
12 8 1
22 8 1
21 7 1
21 15 1
15 7 1
19 1 1
39 2 1
20 12 1
19 7 1
7 7 1
15 6 1
22 7 1
29 15 1
27 22 1
30 1 1
15 12 1
31 16 1
33 5 1
34 8 1
42 25 1
13 13 1
39 17 1
19 11 1
39 31 1
34 21 1
32 19 1
21 14 1
26 21 1
35 30 1
16 12 1
29 14 1
29 23 1
40 15 1
18 17 1
34 14 1
23 18 1
25 21 1
34 17 1
32 11 1
17 8 1
28 19 1
33 3 1
16 30 1
26 13 1
23 8 1
11 10 1
24 2 1
33 18 1
28 26 1
9 9 1
34 9 1
40 12 1
39 25 1
41 23 1
24 8 1
40 1 1
14 11 1
32 15 1
15 17 1
38 17 1
32 42 1
14 13 1
20 6 1
27 18 1
22 14 1
15 15 1
32 6 1
29 21 1
41 20 1
39 6 1
15 10 1
13 11 1
27 11 1
30 19 1
36 7 1
28 13 1
28 22 1
14 19 1
35 3 1
31 20 1
31 14 1
28 2 2
11 1 2
16 1 2
11 2 2
28 1 2
17 4 2
25 1 2
38 10 2
7 3 2
21 6 2
25 3 2
16 6 2
35 6 2
23 5 2
25 6 2
22 5 2
14 4 2
11 4 2
30 5 2
39 10 2
15 2 2
31 8 2
23 6 2
22 3 2
25 8 2
31 5 2
27 8 2
36 6 2
11 5 2
24 5 2
38 1 2
17 7 2
29 11 2
9 4 2
26 8 2
26 7 2
18 6 2
34 7 2
19 2 2
40 4 2
27 6 2
30 12 2
33 4 2
26 3 2
13 8 2
34 1 2
39 28 2
25 12 2
34 2 2
7 6 2
38 11 2
37 10 2
20 8 2
36 2 2
40 8 2
33 2 2
33 12 2
40 9 2
42 1 2
13 10 2
29 9 2
42 6 2
37 2 2
41 10 2
29 3 2
30 2 2
13 7 2
26 10 2
39 14 2
26 5 2
13 9 2
42 14 2
31 34 2
34 6 2
36 16 2
27 17 2
42 4 2
34 11 2
12 7 2
33 27 2
22 11 2
24 6 2
38 9 2
9 7 2
8 13 2
14 8 2
34 13 2
8 7 2
41 7 2
25 10 2
34 20 2
35 13 2
31 11 2
41 18 2
33 1 2
41 19 2
28 14 2
16 3 3
29 2 3
35 5 3
31 2 3
11 3 3
38 13 3
25 2 3
9 3 3
41 9 3
35 2 3
10 3 3
10 4 3
27 4 3
20 1 3
7 4 3
28 6 3
12 4 3
39 7 3
20 5 3
26 11 3
26 4 3
26 2 3
23 2 3
16 7 3
25 7 3
22 2 3
39 11 3
21 9 3
30 6 3
14 6 3
14 7 3
42 10 3
31 3 3
16 8 3
21 8 3
34 12 3
30 3 3
11 7 3
40 3 3
19 8 3
33 14 3
39 3 3
26 1 3
34 10 3
23 1 3
11 6 3
31 1 3
32 5 3
42 27 3
42 7 3
17 14 3
17 15 3
8 2 4
9 2 4
6 1 4
14 2 4
7 2 4
15 3 4
6 2 4
27 3 4
6 3 4
7 1 4
13 3 4
10 5 4
28 5 4
30 4 4
13 4 4
19 6 4
7 5 4
29 5 4
8 6 4
10 6 4
18 11 4
36 12 4
17 2 5
10 1 5
18 2 5
16 2 5
39 8 5
9 1 5
23 4 5
29 7 5
19 4 5
19 3 5
12 2 6
17 1 6
18 3 6
14 3 6
14 1 6
15 5 6
8 1 7
24 3 7
23 3 7
17 3 7
13 1 8
18 7 8
32 2 9
