loc hse count
37.0 137240 1
41.0 90182 1
40.0 144563 1
35.0 238666 1
23.0 51322 1
29.0 65864 1
28.0 201073 1
34.0 111774 1
30.0 115287 1
19.0 96567 1
30.0 85927 1
40.0 183423 1
40.0 201445 1
27.0 66678 1
42.0 81820 1
22.0 135544 1
24.0 95991 1
29.0 124419 1
35.0 76667 1
37.0 45217 1
36.0 138061 1
42.0 63198 1
42.0 80997 1
26.0 86598 1
26.0 82956 1
39.0 68660 1
33.0 56705 1
37.0 60198 1
38.0 101303 1
28.0 130479 1
38.0 96907 1
29.0 134875 1
41.0 74062 1
29.0 109659 1
35.0 148339 1
40.0 56370 1
33.0 122611 1
36.0 105913 1
28.0 59053 1
41.0 67180 1
26.0 56602 1
37.0 90679 1
42.0 70492 1
40.0 80127 1
40.0 56834 1
32.0 110319 1
32.0 184785 1
25.0 91329 1
40.0 160666 1
24.0 50925 1
38.0 169071 1
34.0 88823 1
33.0 122758 1
32.0 110633 1
39.0 174997 1
25.0 66527 1
34.0 185250 1
29.0 85349 1
32.0 89121 1
28.0 77424 1
29.0 87013 1
42.0 106466 1
33.0 154776 1
19.0 101175 1
30.0 93079 1
40.0 113768 1
40.0 114060 1
39.0 119166 1
27.0 60064 1
31.0 78224 1
41.0 190589 1
33.0 120335 1
33.0 75609 1
41.0 80274 1
36.0 86148 1
19.0 54081 1
42.0 73870 1
32.0 134019 1
42.0 91833 1
37.0 99957 1
25.0 98252 1
42.0 106811 1
31.0 37890 1
28.0 104988 1
42.0 114570 1
41.0 74540 1
40.0 82798 1
33.0 33802 1
14.0 84857 1
16.0 103697 1
33.0 112086 1
32.0 167674 1
37.0 112493 2
35.0 72354 2
35.0 78611 2
41.0 85022 2
17.0 83423 2
40.0 66859 2
41.0 69740 2
39.0 69360 2
39.0 165661 2
41.0 63344 2
35.0 36628 2
33.0 59954 2
42.0 51886 2
32.0 109953 2
34.0 92532 2
41.0 115013 2
36.0 149524 2
37.0 130179 2
32.0 110968 2
38.0 102853 2
28.0 66139 2
33.0 117105 2
29.0 354730 2
40.0 90439 2
33.0 68022 2
34.0 140572 2
31.0 90284 2
34.0 80577 2
34.0 77229 2
37.0 158621 2
35.0 96341 2
22.0 63831 2
33.0 111982 2
31.0 119916 2
31.0 65529 2
39.0 100730 2
41.0 62826 2
30.0 113111 2
41.0 139153 2
30.0 97557 2
39.0 111323 2
38.0 148958 2
35.0 57590 2
35.0 103985 2
34.0 87126 2
39.0 270738 2
39.0 173606 2
41.0 157895 2
41.0 197767 2
17.0 52717 2
39.0 100451 2
37.0 60767 3
28.0 65973 3
42.0 136543 3
33.0 73437 3
38.0 79155 3
37.0 99603 3
8.0 59659 3
25.0 100595 3
41.0 74990 3
41.0 61089 3
41.0 69465 3
41.0 34152 3
42.0 42579 3
40.0 505504 3
32.0 70900 3
42.0 52012 3
18.0 63461 3
37.0 74811 3
31.0 64696 3
38.0 71126 3
41.0 53456 3
28.0 56067 3
42.0 152119 3
38.0 79874 3
39.0 64511 3
35.0 106198 3
39.0 66328 3
39.0 59253 3
26.0 80790 3
30.0 105311 3
30.0 81696 3
24.0 49061 3
33.0 65269 3
22.0 71274 3
38.0 62545 3
30.0 128406 4
33.0 52124 4
28.0 67365 4
38.0 78772 4
