loc hsv count
30.0 2307 1
37.0 3711 1
32.0 2758 1
35.0 210 1
8.0 786 1
32.0 480 1
20.0 2 1
23.0 4478 1
16.0 171 1
42.0 1573 1
42.0 1294 1
18.0 100 1
27.0 4841 1
29.0 5670 1
25.0 3925 1
39.0 2514 1
42.0 4995 1
40.0 262 1
28.0 376 1
36.0 3595 1
24.0 6561 1
31.0 2639 1
34.0 2748 1
36.0 4296 1
17.0 1470 1
40.0 12075 1
18.0 3304 1
11.0 2124 1
38.0 3832 1
24.0 2430 1
8.0 768 1
28.0 2694 1
30.0 2605 1
32.0 3612 1
23.0 2852 1
21.0 2934 1
35.0 3522 1
27.0 3336 1
6.0 476 1
9.0 1099 1
23.0 6452 1
41.0 3274 1
17.0 1740 1
25.0 2811 1
33.0 3448 1
8.0 933 1
16.0 1751 1
35.0 10581 1
42.0 3626 1
14.0 1842 1
14.0 1728 1
42.0 1280 1
7.0 695 1
30.0 6479 1
32.0 2897 1
23.0 358 1
30.0 3141 1
39.0 4092 1
12.0 1503 1
37.0 3664 1
40.0 12273 1
38.0 2950 1
27.0 2377 1
22.0 1206 1
22.0 2320 1
19.0 2046 1
19.0 2085 1
21.0 2271 1
39.0 695 1
35.0 6974 1
27.0 733 2
36.0 2188 2
41.0 2863 2
24.0 2841 2
14.0 1628 2
41.0 3051 2
38.0 3242 2
42.0 2496 2
40.0 1416 2
20.0 197 2
20.0 2448 2
17.0 567 2
7.0 1081 2
42.0 2731 2
41.0 416 2
41.0 306 2
42.0 1264 2
23.0 6828 2
8.0 2 2
40.0 4063 2
37.0 371 2
36.0 3959 2
27.0 3082 2
35.0 4077 2
38.0 3202 2
37.0 3380 2
42.0 2993 2
30.0 300 2
35.0 3227 2
31.0 2494 2
30.0 4048 2
22.0 2124 2
39.0 6221 2
40.0 862 2
39.0 4272 2
39.0 4796 2
41.0 2890 2
33.0 3720 2
21.0 2505 2
25.0 2345 2
35.0 2460 2
14.0 1656 2
42.0 518 2
42.0 3136 2
36.0 5296 2
16.0 2034 2
33.0 885 2
16.0 1644 2
39.0 3780 2
38.0 3743 2
28.0 3069 2
22.0 2360 2
41.0 1495 2
9.0 851 3
41.0 1306 3
10.0 76 3
18.0 2923 3
17.0 125 3
42.0 2903 3
28.0 2961 3
35.0 505 3
36.0 3034 3
11.0 1190 3
40.0 3253 3
35.0 534 3
41.0 1253 3
12.0 1272 3
35.0 658 3
37.0 591 3
28.0 1224 3
35.0 3938 3
