loc nobl count
18 0 1
35 0 1
36 0 1
32 1 1
39 8 1
16 5 1
17 3 1
20 4 1
20 2 1
26 8 1
23 7 1
28 1 1
16 2 1
30 8 1
26 4 1
19 1 1
28 3 1
10 2 1
26 1 1
41 7 1
10 4 1
37 2 1
29 5 1
42 6 1
28 5 1
42 10 1
33 4 1
40 6 1
18 7 1
23 8 1
21 4 1
27 11 1
35 4 1
42 8 1
33 0 1
36 4 1
28 8 1
32 3 1
34 0 1
36 10 1
17 9 1
25 3 1
22 1 1
18 4 1
9 1 1
25 6 1
29 4 1
40 2 1
29 6 1
23 0 1
16 7 1
24 2 1
34 4 1
15 10 1
21 5 1
36 7 1
15 3 1
27 10 1
25 10 1
9 7 1
14 4 1
30 0 1
40 1 1
27 9 1
30 6 1
20 6 1
38 1 1
42 14 1
41 2 1
27 7 1
37 6 1
17 10 1
21 7 1
33 1 1
14 7 1
39 7 1
36 5 1
8 3 1
34 2 1
40 3 1
41 16 1
32 8 1
13 12 1
16 6 1
34 8 1
9 11 1
30 12 1
22 7 1
36 8 1
18 8 1
14 2 1
38 13 1
42 15 1
16 13 1
31 10 1
16 20 1
37 9 1
8 10 1
39 3 1
15 6 1
7 1 1
10 11 1
14 8 1
25 13 1
15 2 1
26 12 1
35 12 1
33 29 1
20 7 1
40 17 1
36 15 1
38 7 1
7 6 1
29 2 1
21 9 1
14 5 1
22 5 1
20 10 1
21 8 1
42 1 1
22 2 1
39 1 1
7 5 1
19 6 1
42 2 1
17 7 1
15 9 1
20 14 1
26 14 1
10 9 1
36 19 1
32 5 1
22 12 1
10 6 1
12 15 1
40 15 1
31 15 1
37 14 1
35 20 1
8 4 1
30 9 1
30 4 1
26 11 1
12 6 1
31 14 1
33 6 1
42 4 1
32 14 1
31 9 1
28 12 1
19 12 1
18 2 2
9 0 2
16 1 2
17 0 2
15 4 2
7 0 2
12 0 2
25 4 2
21 6 2
17 1 2
25 7 2
26 7 2
17 5 2
27 1 2
39 9 2
18 9 2
32 4 2
42 3 2
24 8 2
22 0 2
28 4 2
13 4 2
21 3 2
35 6 2
33 2 2
26 2 2
35 3 2
32 2 2
34 3 2
31 4 2
22 8 2
32 0 2
12 4 2
20 3 2
15 5 2
32 7 2
38 2 2
24 0 2
36 1 2
19 4 2
24 4 2
38 8 2
31 0 2
41 1 2
17 8 2
37 4 2
30 3 2
12 5 2
39 6 2
37 3 2
40 0 2
28 2 2
38 5 2
37 1 2
25 8 2
34 10 2
33 9 2
33 13 2
13 11 2
42 5 2
24 13 2
32 10 2
34 6 2
40 14 2
36 14 2
18 6 2
13 0 3
12 1 3
16 0 3
24 1 3
15 1 3
10 3 3
29 1 3
19 2 3
23 3 3
29 0 3
24 5 3
13 1 3
24 3 3
41 6 3
20 1 3
15 0 3
30 5 3
22 6 3
12 2 3
14 3 3
7 3 3
19 3 3
26 0 3
29 7 3
27 4 3
13 2 3
26 5 3
13 5 3
29 9 3
40 4 3
36 2 3
40 5 3
18 1 3
33 12 3
13 7 3
25 0 4
10 0 4
6 0 4
31 1 4
28 6 4
11 3 4
13 3 4
23 4 4
20 5 4
18 3 4
39 5 4
25 9 4
9 3 4
27 5 4
19 5 4
17 4 4
30 11 4
26 3 4
33 3 4
33 7 4
41 5 4
38 0 4
14 1 5
11 1 5
28 0 5
38 3 5
12 3 5
21 1 5
10 1 5
17 2 6
6 1 6
8 0 7
14 0 7
8 1 7
11 0 7
11 2 7
28 9 10
19 0 10
