nobl bl_ratio count
0.0 0.0 1
0.0552272830625677 1.0 37
0.1104545661251354 2.0 37
0.4295579698270812 9.0 34
0.33136369837540636 6.0 37
0.16568184918770312 3.0 37
0.2209091322502708 4.0 37
0.27613641531283856 5.0 37
0.3963167231522733 8.0 35
0.3865909814379741 7.0 37
0.4837213338491034 11.0 31
0.4171033020718129 10.0 30
0.5540132825988562 18.0 10
0.47673250634858866 12.0 29
0.507665626094815 14.0 22
0.4688948608731762 15.0 16
0.47567568118950443 13.0 24
0.5520027878120203 16.0 16
0.8181818181818182 27.0 1
0.6512652291405445 20.0 8
0.8787878787878788 29.0 1
0.49620136020621586 17.0 9
0.7309941520467836 10.0 3
0.7221979787769262 22.0 6
0.61192348858383 15.0 8
0.696969696969697 23.0 1
1.5454545454545454 17.0 1
0.6282009242878808 19.0 5
0.9473684210526315 36.0 1
