count nobl hsv
4419 0.0 84
3746 0.0 60
2917 0.0 124
2560 0.0 109
2413 0.0 68
2349 0.0 96
2346 0.0 120
2283 0.0 87
2245 0.0 106
2227 0.0 100
2203 0.0 103
2176 0.0 117
2169 0.0 132
2156 0.0 113
2103 0.0 78
1976 0.0 138
1948 0.0 135
1855 0.0 81
1815 0.0 146
1758 0.0 203
1742 0.0 224
1720 0.0 142
1695 0.0 207
1687 0.0 220
1676 0.0 151
1676 0.0 90
1673 0.0 154
1672 0.0 193
1651 0.0 289
1645 0.0 215
1630 0.0 171
1626 0.0 186
1614 0.0 211
1584 0.0 236
1559 0.0 166
1558 0.0 180
1546 0.0 159
1522 0.0 183
1510 0.0 253
1482 0.0 232
1438 0.0 162
1407 0.0 127
1404 0.0 62
1358 0.0 228
1341 0.0 190
1333 0.0 320
1331 0.0 262
1319 0.0 55
1313 0.0 258
1312 0.0 58
1310 0.0 240
1290 0.0 169
1283 0.0 156
1238 0.0 71
1227 0.0 280
1210 0.0 293
1207 0.0 149
1201 0.0 164
1190 0.0 75
1170 0.0 93
1160 0.0 249
1146 0.0 177
1130 0.0 297
1130 0.0 195
1113 0.0 144
1110 0.0 284
1088 0.0 129
1086 0.0 65
1069 0.0 272
1048 0.0 115
1032 0.0 198
1012 0.0 175
1008 0.0 356
995 0.0 200
976 0.0 338
955 0.0 276
950 0.0 244
888 0.0 316
876 0.0 347
857 0.0 343
855 0.0 246
826 0.0 73
823 0.0 302
821 0.0 50
795 0.0 375
790 0.0 269
783 0.0 307
775 0.0 324
771 0.0 334
771 0.0 312
740 0.0 380
736 0.0 352
720 0.0 330
714 0.0 370
709 0.0 398
705 0.0 389
673 0.0 266
668 0.0 441
666 0.0 394
659 0.0 404
659 0.0 366
659 0.0 174
607 0.0 413
588 0.0 460
581 0.0 446
572 0.0 384
566 0.0 422
560 0.0 426
558 0.0 408
556 0.0 431
549 0.0 417
515 0.0 360
508 0.0 436
507 1.0 214
493 1.0 247
491 0.0 309
487 0.0 456
482 0.0 450
481 0.0 465
457 2.0 310
437 0.0 362
436 1.0 165
434 0.0 499
