count nobl loc
42407 0.0 2
24190 0.0 3
19439 0.0 5
19102 0.0 4
14835 0.0 6
9949 0.0 7
8248 0.0 8
6847 0.0 9
5253 0.0 10
4143 0.0 11
3651 0.0 12
2881 0.0 13
2734 1.0 5
2716 1.0 4
2688 1.0 6
2491 0.0 14
2102 1.0 8
2035 1.0 7
1996 0.0 15
1867 1.0 10
1765 0.0 16
1739 1.0 9
1651 2.0 7
1614 1.0 2
1591 1.0 11
1571 1.0 3
1548 2.0 5
1536 2.0 6
1458 0.0 17
1414 2.0 8
1322 2.0 9
1260 0.0 18
1223 1.0 12
1211 2.0 10
1198 2.0 11
1079 2.0 13
1049 0.0 19
1031 2.0 12
1004 1.0 13
989 1.0 14
942 0.0 20
909 2.0 14
891 2.0 15
873 2.0 4
834 0.0 21
780 1.0 15
763 3.0 10
735 0.0 22
691 3.0 8
689 1.0 16
625 3.0 9
614 3.0 11
600 2.0 16
575 0.0 23
573 3.0 12
571 3.0 13
552 1.0 18
549 3.0 14
548 2.0 17
544 1.0 17
517 0.0 24
517 2.0 3
493 3.0 15
465 2.0 18
464 1.0 19
462 3.0 7
454 0.0 25
437 3.0 16
427 2.0 19
414 3.0 17
403 1.0 20
399 4.0 16
397 3.0 18
387 0.0 26
385 3.0 6
377 0.0 28
377 3.0 21
371 2.0 20
367 1.0 21
365 4.0 11
353 4.0 17
348 0.0 27
346 3.0 19
319 2.0 21
312 4.0 13
304 3.0 20
299 4.0 12
293 0.0 29
291 4.0 18
289 1.0 22
284 4.0 15
278 0.0 30
270 2.0 25
269 4.0 14
265 0.0 31
264 4.0 19
259 3.0 24
257 4.0 21
248 2.0 23
246 2.0 22
244 4.0 9
236 0.0 32
233 3.0 23
231 3.0 22
230 0.0 33
230 4.0 20
228 4.0 10
222 1.0 23
219 3.0 5
211 5.0 14
210 0.0 34
207 1.0 24
207 4.0 22
191 3.0 4
188 1.0 26
188 1.0 27
187 3.0 26
186 0.0 37
184 1.0 25
183 4.0 24
182 5.0 20
181 0.0 36
180 5.0 18
180 2.0 24
179 5.0 15
179 5.0 21
176 3.0 25
176 5.0 16
175 0.0 35
174 4.0 8
174 5.0 13
172 2.0 26
171 4.0 23
169 5.0 17
166 1.0 28
165 4.0 27
164 2.0 2
161 5.0 19
160 6.0 19
160 5.0 12
159 4.0 29
159 4.0 7
157 5.0 22
154 5.0 23
154 2.0 31
152 3.0 27
148 4.0 25
148 0.0 39
143 0.0 38
142 5.0 25
137 0.0 40
137 2.0 28
135 2.0 35
134 5.0 24
134 2.0 27
134 2.0 30
132 1.0 30
128 2.0 29
128 3.0 31
126 6.0 20
123 4.0 26
120 6.0 15
120 6.0 16
119 4.0 30
119 5.0 26
117 1.0 29
117 6.0 22
116 3.0 28
115 1.0 33
114 0.0 42
114 0.0 41
109 5.0 31
108 1.0 32
108 5.0 11
107 4.0 28
106 2.0 32
105 3.0 29
104 6.0 28
104 6.0 23
102 5.0 29
102 5.0 10
102 1.0 34
101 6.0 18
101 6.0 17
101 7.0 19
100 1.0 31
100 4.0 31
98 4.0 32
98 5.0 28
98 3.0 32
96 6.0 14
96 5.0 37
95 5.0 27
95 2.0 33
94 3.0 30
92 6.0 24
89 4.0 6
88 6.0 21
86 6.0 25
84 7.0 20
84 5.0 30
83 6.0 29
83 7.0 23
82 1.0 35
81 4.0 34
81 3.0 34
78 8.0 29
78 6.0 31
77 3.0 33
77 4.0 5
76 2.0 34
75 5.0 32
73 6.0 27
73 2.0 36
73 8.0 21
72 6.0 26
71 7.0 21
70 6.0 13
69 5.0 9
68 4.0 37
66 7.0 27
66 6.0 30
65 8.0 27
65 5.0 33
65 8.0 17
64 7.0 22
64 3.0 37
64 7.0 28
63 7.0 25
63 4.0 33
