robl ncl count
0.2857142857142857 53 1
1.2222222222222223 9 1
0.8125 48 1
0.8787878787878788 91 1
0.2631578947368421 39 1
0.12903225806451613 19 1
1.25 20 1
0.6363636363636364 62 1
0.4666666666666667 34 1
0.5454545454545454 33 1
1.25 50 1
0.6956521739130435 11 1
0.22857142857142856 134 1
0.038461538461538464 43 1
0.02631578947368421 27 1
0.02631578947368421 26 1
0.7777777777777778 25 1
0.5789473684210527 41 1
0.5454545454545454 82 1
0.625 15 1
0.5217391304347826 51 1
1.1428571428571428 15 1
0.8 5 2
0.5 28 2
0.75 46 2
0.65 56 2
0.56 38 2
0.6428571428571429 27 2
0.35294117647058826 49 2
0.75 47 2
0.6363636363636364 61 3
0.13636363636363635 42 3
0.0 36 3
0.5 17 3
0.0 6 4
0.8461538461538461 10 4
0.5294117647058824 9 5
1.0 0 5
0.5333333333333333 29 5
0.6666666666666666 19 5
0.21739130434782608 32 5
0.8181818181818182 73 5
0.21875 30 6
0.03125 25 6
0.47058823529411764 35 7
0.7142857142857143 1 8
0.5384615384615384 20 9
0.5172413793103449 7 9
0.125 21 10
0.4 23 11
0.5 4 12
0.29411764705882354 24 12
0.5454545454545454 3 15
0.5789473684210527 2 15
0.25 16 19
0.45161290322580644 18 22
0.23684210526315788 22 23
0.19047619047619047 13 28
0.12121212121212122 15 29
0.47058823529411764 14 30
0.5 0 32
0.0 17 32
0.125 12 47
0.21428571428571427 10 62
0.18181818181818182 11 71
0.0 9 74
0.32142857142857145 8 96
0.0 7 129
0.5 6 148
0.125 5 202
0.0 4 220
0.0 3 280
0.0 2 289
0.14285714285714285 1 391
0.0 0 539
