loc nobl count
10 2 1
19 2 1
30 5 1
12 5 1
25 7 1
10 4 1
23 7 1
26 3 1
17 4 1
23 4 1
22 7 1
30 8 1
6 3 1
19 6 1
15 2 1
33 4 1
29 5 1
29 7 1
32 4 1
39 9 1
25 2 1
32 2 1
37 4 1
31 4 1
27 7 1
34 3 1
23 5 1
30 9 1
18 7 1
15 4 1
29 4 1
37 3 1
42 10 1
28 10 1
13 6 1
9 5 1
41 10 1
28 3 1
32 9 1
28 8 1
36 6 1
34 7 1
20 9 1
29 12 1
34 4 1
24 8 1
11 6 1
26 15 1
11 4 1
22 8 1
28 11 1
33 13 1
12 10 1
42 3 1
41 9 1
42 9 1
32 6 1
13 12 1
40 7 1
31 5 1
42 7 1
17 10 1
27 8 1
42 14 1
7 5 1
31 6 1
39 13 1
24 9 1
34 10 1
24 10 1
34 8 1
28 13 1
38 4 1
40 12 1
36 8 1
36 4 1
38 10 1
16 8 1
31 3 1
8 5 1
35 2 1
26 10 1
42 4 1
33 11 1
21 4 1
38 18 1
30 10 1
31 8 1
27 5 1
38 2 1
31 2 1
37 6 1
42 15 1
32 18 1
16 12 1
19 7 1
39 4 1
11 9 1
20 7 1
40 9 1
37 2 1
40 18 1
16 18 1
36 9 1
19 8 1
41 20 1
13 11 1
38 9 1
41 3 1
37 17 1
6 5 1
36 22 1
16 5 2
12 3 2
17 5 2
11 2 2
26 4 2
21 3 2
6 2 2
25 9 2
26 7 2
38 3 2
30 11 2
33 3 2
33 7 2
28 4 2
22 4 2
14 4 2
26 5 2
14 2 2
32 3 2
16 4 2
20 2 2
9 2 2
38 6 2
33 5 2
36 3 2
30 4 2
14 8 2
31 10 2
25 10 2
18 6 2
27 10 2
27 4 2
17 8 2
8 3 2
38 8 2
41 2 2
40 8 2
27 3 2
15 6 2
10 11 2
13 7 2
24 4 2
32 5 2
38 15 2
31 7 2
22 2 2
8 2 2
21 10 2
19 11 2
17 12 2
40 5 2
34 13 2
16 10 2
26 14 2
38 14 2
37 10 2
38 13 2
10 6 2
18 5 2
23 16 2
18 2 3
20 4 3
17 3 3
26 8 3
25 4 3
15 5 3
19 3 3
9 3 3
29 3 3
29 9 3
22 6 3
40 6 3
23 2 3
36 2 3
14 5 3
14 10 3
17 7 3
16 3 3
41 7 3
34 11 3
30 7 3
15 10 3
35 8 3
22 3 3
34 2 3
36 5 3
41 16 3
42 8 3
17 2 4
28 6 4
35 6 4
24 5 4
39 5 4
13 3 4
13 2 4
31 9 4
12 2 4
18 3 4
18 9 4
26 6 4
21 5 4
32 8 4
27 2 4
19 4 4
21 2 4
24 2 4
30 2 4
37 9 4
24 3 5
20 5 5
7 2 5
12 4 5
14 3 5
20 3 5
30 3 5
28 9 6
16 2 6
23 3 6
15 3 6
27 6 6
25 3 6
10 3 7
41 6 7
39 8 7
11 3 8
7 3 8
