count nobl hsv
340 2.0 310
318 2.0 370
220 2.0 211
216 2.0 170
213 2.0 456
209 2.0 593
187 2.0 267
186 2.0 411
183 2.0 181
182 2.0 315
181 2.0 417
180 2.0 272
173 2.0 257
171 2.0 423
170 2.0 233
169 2.0 293
166 2.0 244
160 2.0 162
160 2.0 325
155 2.0 251
153 2.0 298
153 2.0 329
151 2.0 532
151 2.0 430
149 2.0 398
148 2.0 239
147 2.0 343
147 2.0 356
145 2.0 304
144 2.0 404
144 2.0 394
142 2.0 361
142 3.0 557
141 2.0 375
139 2.0 366
134 2.0 215
134 2.0 130
133 2.0 224
133 2.0 288
132 2.0 525
132 2.0 320
130 2.0 710
129 2.0 568
128 2.0 284
127 2.0 262
127 2.0 561
127 2.0 519
126 2.0 446
125 2.0 352
124 2.0 470
124 2.0 441
123 2.0 543
121 3.0 478
121 2.0 942
119 2.0 280
119 2.0 484
118 2.0 726
118 2.0 380
117 3.0 374
117 2.0 549
117 3.0 326
116 2.0 347
116 2.0 539
116 2.0 504
116 3.0 443
115 2.0 389
114 3.0 678
114 2.0 465
114 2.0 514
113 2.0 385
112 2.0 338
112 3.0 390
112 2.0 450
111 2.0 554
111 2.0 494
111 2.0 678
111 2.0 149
110 2.0 634
109 2.0 763
109 2.0 509
109 2.0 609
109 2.0 749
109 3.0 305
109 2.0 480
108 2.0 499
108 3.0 335
107 2.0 334
107 2.0 435
107 2.0 220
106 2.0 187
105 2.0 176
105 2.0 475
105 2.0 811
104 2.0 460
104 2.0 640
103 2.0 784
103 3.0 436
103 2.0 203
102 2.0 154
102 2.0 686
102 2.0 489
101 2.0 578
100 2.0 207
99 2.0 276
99 2.0 229
98 2.0 650
97 2.0 756
97 2.0 615
96 2.0 195
96 2.0 777
96 3.0 240
95 3.0 576
95 2.0 630
94 2.0 598
93 2.0 121
93 2.0 697
92 2.0 665
91 2.0 660
91 3.0 493
90 2.0 138
90 3.0 295
90 3.0 511
89 3.0 471
89 2.0 719
89 3.0 218
89 2.0 604
89 3.0 663
88 2.0 892
87 3.0 543
87 3.0 592
87 3.0 611
86 2.0 770
86 3.0 402
85 3.0 564
85 3.0 485
85 2.0 838
84 3.0 1259
84 2.0 691
83 2.0 733
83 3.0 757
83 2.0 1718
82 2.0 739
82 2.0 703
82 2.0 574
81 2.0 959
81 3.0 415
81 3.0 350
81 2.0 655
80 2.0 645
80 3.0 342
80 3.0 643
79 3.0 459
79 2.0 672
78 3.0 314
78 3.0 385
78 3.0 396
78 3.0 408
