count nobl loc
1651 2.0 7
1548 2.0 5
1536 2.0 6
1414 2.0 8
1322 2.0 9
1211 2.0 10
1198 2.0 11
1079 2.0 13
1031 2.0 12
909 2.0 14
891 2.0 15
873 2.0 4
763 3.0 10
691 3.0 8
625 3.0 9
614 3.0 11
600 2.0 16
573 3.0 12
571 3.0 13
549 3.0 14
548 2.0 17
517 2.0 3
493 3.0 15
465 2.0 18
462 3.0 7
437 3.0 16
427 2.0 19
414 3.0 17
399 4.0 16
397 3.0 18
385 3.0 6
377 3.0 21
371 2.0 20
365 4.0 11
353 4.0 17
346 3.0 19
319 2.0 21
312 4.0 13
304 3.0 20
299 4.0 12
291 4.0 18
284 4.0 15
270 2.0 25
269 4.0 14
264 4.0 19
259 3.0 24
257 4.0 21
248 2.0 23
246 2.0 22
244 4.0 9
233 3.0 23
231 3.0 22
230 4.0 20
228 4.0 10
219 3.0 5
211 5.0 14
207 4.0 22
191 3.0 4
187 3.0 26
183 4.0 24
182 5.0 20
180 2.0 24
180 5.0 18
179 5.0 21
179 5.0 15
176 5.0 16
176 3.0 25
174 5.0 13
174 4.0 8
172 2.0 26
171 4.0 23
169 5.0 17
165 4.0 27
164 2.0 2
161 5.0 19
160 5.0 12
160 6.0 19
159 4.0 7
159 4.0 29
157 5.0 22
154 5.0 23
154 2.0 31
152 3.0 27
148 4.0 25
142 5.0 25
137 2.0 28
135 2.0 35
134 2.0 27
134 2.0 30
134 5.0 24
128 3.0 31
128 2.0 29
126 6.0 20
123 4.0 26
120 6.0 16
120 6.0 15
119 4.0 30
119 5.0 26
117 6.0 22
116 3.0 28
109 5.0 31
108 5.0 11
107 4.0 28
106 2.0 32
105 3.0 29
104 6.0 28
104 6.0 23
102 5.0 29
102 5.0 10
101 6.0 17
101 6.0 18
101 7.0 19
100 4.0 31
98 4.0 32
98 5.0 28
98 3.0 32
96 6.0 14
96 5.0 37
95 2.0 33
95 5.0 27
94 3.0 30
92 6.0 24
89 4.0 6
88 6.0 21
86 6.0 25
84 5.0 30
84 7.0 20
83 7.0 23
83 6.0 29
81 4.0 34
81 3.0 34
78 8.0 29
78 6.0 31
77 4.0 5
77 3.0 33
76 2.0 34
75 5.0 32
73 8.0 21
73 2.0 36
73 6.0 27
72 6.0 26
71 7.0 21
70 6.0 13
69 5.0 9
68 4.0 37
66 6.0 30
66 7.0 27
65 8.0 17
65 8.0 27
65 5.0 33
64 7.0 28
64 3.0 37
64 7.0 22
63 4.0 33
63 7.0 25
62 7.0 18
62 3.0 35
62 4.0 38
60 4.0 36
60 7.0 24
60 7.0 31
59 7.0 29
59 4.0 35
59 7.0 30
59 6.0 37
58 5.0 34
58 5.0 36
58 7.0 17
58 5.0 35
57 5.0 38
57 6.0 39
57 2.0 37
56 5.0 39
56 6.0 11
56 6.0 34
55 5.0 8
54 7.0 16
54 3.0 36
53 8.0 23
52 6.0 32
52 6.0 41
51 2.0 38
51 7.0 37
50 6.0 42
50 6.0 33
50 7.0 39
50 9.0 25
50 6.0 36
49 7.0 38
49 2.0 40
48 2.0 39
48 7.0 34
48 7.0 26
48 5.0 7
47 8.0 35
47 3.0 38
47 2.0 41
46 7.0 14
46 6.0 35
46 8.0 24
45 3.0 39
45 6.0 38
45 4.0 39
45 8.0 30
44 6.0 12
44 4.0 41
43 3.0 3
43 8.0 26
43 7.0 35
43 9.0 30
43 3.0 40
40 7.0 33
40 5.0 40
39 9.0 26
39 8.0 33
39 4.0 42
38 8.0 31
37 8.0 20
37 11.0 29
37 8.0 37
36 8.0 19
36 9.0 35
36 7.0 7
36 7.0 36
36 8.0 16
36 4.0 40
36 5.0 5
36 7.0 32
35 8.0 22
35 8.0 28
35 8.0 34
34 9.0 27
34 7.0 40
34 7.0 15
34 6.0 40
34 11.0 27
34 9.0 38
34 9.0 21
33 10.0 13
33 8.0 36
33 3.0 42
32 8.0 32
32 6.0 10
32 9.0 31
31 7.0 42
31 12.0 32
31 2.0 42
31 8.0 39
31 3.0 41
31 5.0 41
31 9.0 36
30 10.0 23
30 10.0 32
30 9.0 29
29 7.0 41
29 8.0 38
29 8.0 40
29 5.0 42
29 8.0 25
28 8.0 18
28 9.0 33
27 9.0 37
27 9.0 32
27 6.0 7
26 3.0 2
26 9.0 41
26 9.0 23
25 5.0 6
25 8.0 42
25 9.0 40
25 12.0 14
24 9.0 28
24 10.0 39
24 8.0 15
23 6.0 9
22 4.0 4
21 9.0 34
21 11.0 32
21 10.0 31
21 8.0 41
21 10.0 40
20 10.0 42
20 10.0 38
20 7.0 13
20 9.0 19
20 6.0 8
19 9.0 22
19 11.0 33
19 9.0 39
19 10.0 25
19 10.0 29
19 9.0 42
18 9.0 18
18 7.0 10
17 7.0 12
16 10.0 30
16 10.0 33
16 11.0 25
16 10.0 27
16 10.0 34
16 11.0 37
15 10.0 26
15 10.0 35
15 14.0 28
15 10.0 36
15 17.0 42
15 12.0 41
15 10.0 28
15 8.0 13
14 10.0 22
14 9.0 16
14 7.0 11
14 12.0 42
13 10.0 24
13 11.0 38
13 10.0 37
13 11.0 42
13 10.0 20
13 11.0 40
13 12.0 37
13 11.0 28
12 9.0 15
12 11.0 31
12 9.0 20
12 10.0 21
12 14.0 20
12 12.0 35
12 9.0 12
11 10.0 41
11 11.0 41
11 11.0 30
11 8.0 12
11 9.0 17
11 8.0 14
11 12.0 33
11 12.0 27
11 15.0 34
11 11.0 35
10 11.0 26
10 11.0 15
10 11.0 36
10 18.0 31
10 13.0 41
9 12.0 40
9 11.0 23
9 11.0 34
9 12.0 38
8 4.0 3
8 9.0 24
8 12.0 31
8 12.0 34
8 10.0 19
7 11.0 19
7 13.0 29
7 13.0 33
7 10.0 17
7 12.0 39
7 11.0 17
7 12.0 28
7 13.0 40
7 16.0 35
6 13.0 38
6 11.0 21
6 5.0 4
6 12.0 30
6 10.0 18
6 14.0 41
6 8.0 10
6 8.0 11
6 13.0 22
6 13.0 31
6 13.0 37
6 8.0 9
6 5.0 3
6 11.0 39
6 13.0 34
6 14.0 42
5 11.0 20
5 9.0 13
5 11.0 18
5 14.0 39
5 14.0 34
5 12.0 20
5 13.0 36
5 7.0 8
5 10.0 12
5 11.0 24
5 12.0 21
5 14.0 37
5 12.0 29
5 13.0 35
5 13.0 39
4 5.0 2
4 14.0 25
4 12.0 24
4 15.0 36
4 16.0 42
4 13.0 18
4 14.0 23
4 15.0 41
4 15.0 40
4 15.0 39
4 14.0 36
4 13.0 23
4 13.0 30
4 14.0 38
4 15.0 37
4 10.0 11
4 15.0 38
4 14.0 29
3 14.0 40
3 13.0 42
3 7.0 9
3 15.0 42
3 13.0 32
3 9.0 8
3 16.0 39
3 9.0 11
3 13.0 19
3 15.0 33
3 14.0 24
3 12.0 15
3 11.0 13
3 14.0 27
3 12.0 36
3 17.0 38
3 12.0 23
3 9.0 14
3 6.0 6
3 16.0 21
3 19.0 35
3 18.0 39
3 11.0 16
3 9.0 6
3 27.0 31
3 13.0 21
3 6.0 5
3 9.0 9
3 14.0 30
3 15.0 30
2 15.0 32
2 12.0 22
2 17.0 36
2 17.0 39
2 15.0 20
2 12.0 25
2 19.0 41
2 15.0 24
2 13.0 16
2 14.0 32
2 11.0 22
2 10.0 14
2 17.0 37
2 18.0 34
2 15.0 35
2 14.0 18
2 14.0 26
2 12.0 18
2 11.0 14
2 16.0 36
2 12.0 26
2 8.0 8
2 20.0 37
2 16.0 25
2 10.0 10
2 7.0 5
2 13.0 26
2 13.0 14
2 20.0 33
2 22.0 24
2 13.0 17
2 12.0 16
2 11.0 11
2 17.0 40
2 16.0 12
1 14.0 17
1 12.0 17
1 7.0 6
1 6.0 4
1 18.0 30
1 10.0 6
1 16.0 34
1 15.0 29
1 16.0 33
1 16.0 22
1 22.0 34
1 16.0 41
1 12.0 13
1 8.0 6
1 20.0 40
1 10.0 15
1 18.0 40
1 11.0 8
1 17.0 35
1 20.0 28
1 14.0 21
1 16.0 27
1 13.0 24
1 22.0 36
1 18.0 32
1 16.0 37
1 7.0 4
1 20.0 34
1 14.0 19
1 19.0 34
1 15.0 31
1 16.0 40
1 4.0 2
1 17.0 41
1 18.0 36
1 13.0 20
1 14.0 35
1 9.0 10
1 16.0 38
1 20.0 14
1 8.0 7
1 16.0 32
1 18.0 14
1 16.0 3
1 22.0 35
1 22.0 22
1 23.0 42
1 17.0 24
1 16.0 17
1 20.0 27
1 29.0 42
1 15.0 27
1 15.0 10
1 11.0 7
1 19.0 24
1 9.0 3
1 18.0 35
1 21.0 41
1 22.0 26
1 36.0 36
1 18.0 38
1 17.0 33
1 6.0 3
1 13.0 28
1 17.0 21
1 12.0 11
1 15.0 18
1 19.0 33
1 18.0 42
1 20.0 42
1 17.0 9
1 14.0 13
1 20.0 39
1 12.0 19
1 23.0 31
1 16.0 28
1 29.0 31
1 19.0 21
1 20.0 41
