nobl ncl count
2 0 15235
3 0 6671
4 0 3556
2 1 2198
5 0 1876
2 2 1471
3 1 1312
6 0 1099
3 2 1042
4 1 826
2 3 785
3 3 642
7 0 618
4 2 610
5 1 568
4 3 520
3 4 479
5 2 418
8 0 410
6 1 363
2 4 349
4 4 321
5 3 319
6 2 245
5 4 238
9 0 224
6 3 200
2 5 196
4 5 189
7 1 176
10 0 175
3 5 173
6 4 161
7 2 155
7 3 154
5 5 144
6 5 144
2 6 133
8 1 128
4 6 127
7 5 124
3 6 122
5 6 112
6 6 111
7 4 105
8 3 98
5 7 94
8 5 92
11 0 90
2 7 87
4 7 87
8 2 84
6 7 82
9 1 77
3 7 73
3 9 70
7 6 70
7 25 65
5 8 63
9 2 59
4 8 58
8 4 57
9 5 56
12 0 56
3 12 55
7 8 53
6 8 52
9 3 49
8 10 47
7 7 47
8 7 45
9 4 44
2 9 44
3 8 44
6 23 44
9 13 41
5 9 39
8 11 39
8 6 39
11 1 38
2 8 35
10 1 35
4 10 35
13 0 35
5 32 35
4 9 34
11 12 33
10 4 33
7 16 32
6 9 32
10 19 31
8 23 31
3 15 31
10 2 31
5 16 30
9 6 29
9 8 29
8 8 27
12 49 27
10 3 26
11 36 26
9 9 26
4 11 26
7 9 24
10 6 24
11 2 23
9 7 22
2 10 22
10 5 21
5 10 21
8 9 21
3 10 20
6 10 19
5 11 19
12 46 18
14 0 18
11 3 18
4 12 17
12 5 17
13 1 16
2 11 16
11 4 15
11 5 15
7 11 15
3 11 14
10 8 14
10 10 14
7 12 14
5 12 14
6 12 14
17 28 13
8 21 13
2 12 13
2 14 13
12 6 13
12 4 12
14 31 12
7 10 12
12 3 12
9 17 12
10 11 12
12 1 12
10 7 12
11 9 11
5 22 11
9 16 11
9 12 11
2 13 11
11 7 11
14 61 11
12 8 11
9 10 11
9 11 11
11 14 10
2 16 10
11 8 10
14 1 10
12 2 10
8 14 10
7 13 10
10 16 10
13 2 10
12 10 9
3 14 9
5 13 9
9 18 9
10 9 9
4 13 9
4 14 9
3 13 9
11 10 9
16 0 8
15 0 8
6 13 8
18 73 8
11 6 8
15 35 8
15 8 7
4 15 7
13 5 7
5 15 7
5 14 7
7 17 6
6 16 6
14 2 6
8 13 6
8 12 6
6 11 6
3 16 6
3 18 6
15 4 6
12 9 6
13 3 6
11 11 5
4 17 5
8 15 5
9 27 5
8 17 5
4 22 5
15 7 5
16 13 5
10 12 5
13 8 5
6 14 5
2 15 5
11 13 5
14 6 5
18 0 5
9 22 5
6 18 5
2 20 5
5 19 4
14 3 4
13 56 4
7 14 4
3 17 4
8 18 4
10 13 4
13 6 4
7 15 4
14 4 4
14 10 4
12 15 4
5 18 4
15 12 4
19 0 4
9 15 4
9 19 4
9 14 4
16 2 4
13 9 3
2 17 3
15 2 3
5 24 3
8 16 3
15 5 3
13 11 3
4 21 3
5 17 3
11 22 3
2 18 3
22 0 3
9 20 3
17 3 3
6 15 3
20 0 3
7 20 3
4 18 3
14 20 3
10 17 3
4 16 3
17 15 3
16 7 3
17 0 3
12 14 3
10 14 3
3 21 3
2 19 3
6 30 3
11 21 3
27 73 3
18 5 2
7 21 2
10 21 2
6 17 2
8 35 2
4 19 2
9 28 2
6 21 2
4 23 2
14 38 2
7 18 2
8 20 2
17 8 2
8 19 2
3 23 2
4 25 2
23 0 2
11 15 2
5 21 2
8 25 2
16 15 2
13 4 2
10 20 2
6 22 2
12 13 2
15 1 2
15 13 2
2 25 2
16 3 2
16 8 2
2 23 2
12 12 2
14 16 2
14 13 2
14 12 2
14 9 2
12 7 2
14 7 2
14 5 2
13 48 2
13 14 2
13 13 2
13 12 2
13 10 2
15 9 2
15 10 2
12 47 2
3 33 1
5 132 1
5 39 1
5 29 1
5 28 1
5 25 1
12 16 1
10 22 1
10 25 1
12 48 1
12 20 1
12 17 1
12 19 1
7 39 1
7 47 1
6 35 1
7 30 1
5 23 1
3 42 1
10 18 1
8 40 1
8 22 1
14 29 1
7 23 1
12 36 1
6 34 1
6 29 1
6 28 1
6 26 1
6 24 1
6 20 1
6 19 1
7 27 1
12 33 1
13 28 1
12 40 1
11 19 1
3 26 1
3 24 1
3 22 1
3 19 1
11 17 1
11 18 1
11 20 1
2 22 1
11 23 1
11 28 1
11 55 1
11 75 1
2 38 1
3 140 1
3 32 1
10 59 1
10 41 1
10 35 1
2 32 1
2 26 1
6 44 1
12 11 1
14 18 1
14 8 1
13 27 1
13 26 1
13 24 1
13 20 1
13 19 1
10 33 1
12 51 1
3 43 1
16 30 1
4 20 1
16 16 1
29 91 1
19 26 1
16 14 1
19 21 1
19 14 1
16 10 1
16 22 1
14 62 1
16 56 1
16 4 1
17 4 1
17 5 1
17 6 1
17 12 1
29 30 1
22 41 1
9 37 1
20 17 1
20 10 1
15 6 1
20 1 1
15 3 1
20 3 1
20 50 1
20 18 1
22 23 1
20 20 1
20 21 1
20 37 1
21 2 1
22 1 1
22 9 1
16 1 1
17 13 1
14 57 1
4 31 1
14 34 1
9 23 1
8 41 1
8 134 1
5 20 1
4 33 1
4 30 1
17 18 1
4 26 1
4 24 1
9 24 1
8 29 1
9 25 1
9 34 1
6 53 1
18 19 1
19 4 1
19 2 1
18 82 1
16 11 1
18 12 1
18 9 1
18 7 1
18 4 1
18 3 1
15 11 1
18 1 1
15 14 1
15 20 1
17 35 1
17 19 1
36 35 1
