loc cc count
3 2 1
38 13 1
11 4 1
12 3 1
23 2 1
14 4 1
19 8 1
31 15 1
61 13 1
46 5 1
13 12 1
41 8 1
46 3 1
42 8 1
54 4 1
31 1 1
8 7 1
66 27 1
23 1 1
52 1 1
30 11 1
41 1 1
40 6 1
75 9 1
47 1 1
32 1 1
49 18 1
55 29 1
105 14 1
41 3 1
66 14 1
35 11 1
27 4 1
95 33 1
95 21 1
50 14 1
51 14 1
25 12 1
10 10 1
34 10 1
46 10 1
131 36 1
17 10 1
53 8 1
86 8 1
38 3 1
53 18 1
39 6 1
52 6 1
121 20 1
54 16 1
36 11 1
13 9 1
33 3 1
86 29 1
94 15 1
84 39 1
43 1 1
37 8 1
28 10 1
62 22 1
41 14 1
52 10 1
67 2 1
54 8 1
14 10 1
82 31 1
45 13 1
55 10 1
189 43 1
60 15 1
89 23 1
129 56 1
152 23 1
29 3 1
63 25 1
318 67 1
42 10 1
17 8 1
23 12 1
21 12 1
92 16 1
79 11 1
46 21 1
72 16 1
43 12 1
37 11 1
126 3 1
72 9 1
57 5 1
51 6 1
176 80 1
93 26 1
15 9 1
68 7 1
50 18 1
25 7 1
19 9 1
46 13 1
46 16 1
39 1 1
57 20 1
50 3 1
38 4 1
26 8 1
25 15 1
51 5 1
72 14 1
23 15 1
60 10 1
65 10 1
25 11 1
24 10 1
75 8 1
28 16 1
74 10 1
145 17 1
48 4 1
262 1 1
100 8 1
68 16 1
36 10 1
13 13 1
40 15 1
31 6 1
131 25 1
84 3 1
52 5 1
33 2 1
87 4 1
69 12 1
15 16 1
66 20 1
48 13 1
65 21 1
131 29 1
91 42 1
52 17 1
140 20 1
74 35 1
68 11 1
56 1 1
32 3 1
113 31 1
50 16 1
99 3 1
55 43 1
53 1 1
127 30 1
59 12 1
53 2 1
10 12 1
150 36 1
111 25 1
62 14 1
73 13 1
73 17 1
69 20 1
43 22 1
67 28 1
79 25 1
149 42 1
24 6 1
42 27 1
35 14 1
56 23 1
70 14 1
112 39 1
46 1 1
59 9 1
128 26 1
59 10 1
57 13 1
29 15 1
19 7 1
56 14 1
53 42 1
26 6 1
94 16 1
143 45 1
39 14 1
37 33 1
48 1 1
84 13 1
17 9 1
116 11 1
364 95 1
9 6 1
23 18 1
92 22 1
64 1 1
68 26 1
71 21 1
19 18 1
108 28 1
124 28 1
17 15 1
42 2 1
53 13 1
65 6 1
72 20 1
58 2 1
68 34 1
107 16 1
33 12 1
58 26 1
108 2 1
8 5 1
122 44 1
65 14 1
46 4 1
33 24 1
80 25 1
47 2 1
15 11 1
15 14 1
25 20 1
24 11 1
192 37 1
107 21 1
41 13 1
57 2 1
85 15 1
27 15 1
62 9 1
54 7 1
32 29 1
59 6 1
38 25 1
32 21 1
5 9 1
97 17 1
112 28 1
65 22 1
60 4 1
111 18 1
60 11 1
116 25 1
161 52 1
62 27 1
118 16 1
81 4 1
63 13 1
186 64 1
67 26 1
51 17 1
67 24 1
161 46 1
81 22 1
153 54 1
56 7 1
150 29 1
66 9 1
44 11 1
21 11 1
81 11 1
132 20 1
31 3 1
27 13 1
66 24 1
64 17 1
45 28 1
77 19 1
97 25 1
65 17 1
61 18 1
35 26 1
133 65 1
120 31 1
440 153 1
53 12 1
44 20 1
108 20 1
153 28 1
47 3 1
72 8 1
42 13 1
472 133 1
80 27 1
9 5 1
70 25 1
84 14 1
3 8 1
234 64 1
87 11 1
93 41 1
57 21 1
65 4 1
16 30 1
99 22 1
72 23 1
29 9 1
134 31 1
48 28 1
90 12 1
101 2 1
63 1 1
7 7 1
28 13 1
47 9 1
63 27 1
43 9 1
32 16 1
140 17 1
138 37 1
48 5 1
18 10 1
72 19 1
91 19 1
40 17 1
45 3 1
42 21 1
57 19 1
58 40 1
27 21 1
72 12 1
4 6 1
212 25 1
1459 672 1
60 12 1
77 1 1
187 56 1
66 11 1
43 33 1
453 64 1
29 24 1
132 25 1
41 25 1
45 4 1
79 20 1
91 13 1
84 11 1
134 28 1
63 15 1
20 3 1
