loc cl_ratio count
7.0 0 1
7.0 0 1
18.0 0 1
14.0 0 1
10.0 0 1
13.0 0 1
11.0 0 1
102.0 0 1
13.0 1 1
21.0 0 1
10.0 0 1
16.0 0 1
6.0 0 1
105.0 0 1
17.0 1 1
8.0 2 1
16.0 0 1
9.0 2 1
10.0 2 1
32.0 0 1
39.0 0 1
2.0 9 1
16.0 3 1
13.0 0 1
25.0 1 1
88.0 0 1
51.0 0 1
21.0 1 1
72.0 0 1
69.0 0 1
102.0 0 1
161.0 0 1
18.0 1 1
80.0 0 1
62.0 0 1
238.0 0 1
44.0 0 1
10.0 0 1
27.0 1 1
17.0 0 1
10.0 1 1
138.0 0 1
97.0 0 1
19.0 0 1
15.0 0 1
13.0 0 1
9.0 2 1
12.0 1 1
44.0 0 1
202.0 0 1
14.0 1 1
94.0 0 1
117.0 0 1
47.0 0 1
40.0 0 1
32.0 0 1
143.0 0 1
32.0 0 1
6.0 1 1
19.0 0 1
109.0 0 1
56.0 0 1
6.0 1 1
48.0 0 1
6.0 1 1
62.0 0 1
20.0 1 1
17.0 2 1
82.0 0 1
95.0 0 1
14.0 1 1
13.0 0 1
38.0 0 1
115.0 0 1
153.0 0 1
47.0 0 1
19.0 1 1
149.0 0 1
130.0 0 1
13.0 0 1
22.0 0 1
140.0 0 1
215.0 0 1
186.0 0 1
132.0 0 1
56.0 0 1
151.0 0 1
8.0 1 1
9.0 1 1
144.0 0 1
185.0 0 1
35.0 0 1
17.0 0 1
25.0 0 1
108.0 0 1
52.0 0 1
230.0 0 1
184.0 0 1
30.0 0 1
7.0 1 1
45.0 0 1
21.0 0 1
205.0 0 1
203.0 0 1
505.0 0 1
148.0 0 1
60.0 0 1
101.0 0 1
171.0 0 1
41.0 0 1
80.0 0 1
102.0 0 1
8.0 2 1
71.0 0 1
51.0 1 1
255.0 0 1
152.0 0 1
84.0 0 1
45.0 0 1
16.0 0 1
95.0 0 1
14.0 4 1
276.0 0 1
56.0 0 1
8.0 0 1
99.0 0 1
139.0 0 1
79.0 0 1
63.0 0 1
3.0 4 1
