loc midx count
63.0 84 1
35.0 99 1
33.0 94 1
39.0 95 1
47.0 91 1
49.0 91 1
23.0 95 1
80.0 78 1
64.0 88 1
35.0 99 1
74.0 70 1
23.0 98 1
38.0 93 1
38.0 92 1
134.0 72 1
44.0 93 1
46.0 92 1
37.0 96 1
95.0 80 1
42.0 96 1
63.0 86 1
37.0 95 1
51.0 90 1
36.0 91 1
33.0 98 1
35.0 96 1
76.0 87 1
86.0 82 1
46.0 92 1
41.0 96 1
36.0 91 1
78.0 83 1
31.0 98 1
24.0 99 1
40.0 95 1
30.0 97 1
41.0 90 1
49.0 92 1
33.0 97 1
24.0 94 1
48.0 91 1
45.0 92 1
60.0 90 1
33.0 99 1
57.0 91 1
41.0 95 1
51.0 87 1
52.0 91 1
51.0 94 1
49.0 92 1
40.0 97 1
125.0 70 1
32.0 99 1
26.0 98 1
48.0 95 1
67.0 88 1
65.0 87 1
41.0 91 1
69.0 87 1
40.0 92 1
47.0 0 1
39.0 95 1
42.0 93 1
50.0 94 1
81.0 80 1
49.0 90 1
109.0 80 1
46.0 89 1
49.0 94 1
76.0 82 1
33.0 96 1
31.0 98 1
32.0 98 1
27.0 99 1
34.0 98 1
56.0 89 1
36.0 95 1
42.0 96 1
101.0 78 1
61.0 95 1
81.0 82 1
44.0 94 1
53.0 89 1
31.0 97 1
127.0 74 1
38.0 94 1
48.0 94 1
40.0 94 1
40.0 94 1
82.0 84 1
51.0 90 1
48.0 88 1
64.0 87 1
63.0 86 1
50.0 92 1
17.0 99 1
25.0 96 1
35.0 95 1
126.0 79 1
47.0 92 1
44.0 92 1
47.0 94 1
36.0 99 1
35.0 98 1
31.0 99 1
44.0 92 1
66.0 86 1
75.0 83 1
125.0 75 1
65.0 87 1
51.0 87 1
95.0 89 1
42.0 92 1
35.0 91 1
34.0 96 1
51.0 90 1
54.0 85 1
176.0 70 1
80.0 81 1
27.0 98 1
134.0 69 1
39.0 95 1
93.0 75 1
59.0 93 1
43.0 93 1
72.0 87 1
59.0 90 1
47.0 92 1
40.0 99 1
59.0 87 1
26.0 99 1
68.0 94 1
95.0 80 1
53.0 88 1
54.0 86 1
53.0 94 1
48.0 94 1
40.0 90 1
63.0 84 1
43.0 90 1
185.0 61 1
48.0 98 1
111.0 75 1
82.0 85 1
57.0 89 1
42.0 94 1
162.0 66 1
38.0 98 1
36.0 94 1
34.0 94 1
34.0 98 1
36.0 94 1
62.0 89 1
40.0 96 1
64.0 87 1
111.0 76 1
57.0 88 1
122.0 71 1
81.0 83 1
60.0 85 1
35.0 98 1
51.0 91 1
57.0 87 1
41.0 95 1
131.0 69 1
68.0 85 1
44.0 97 1
32.0 99 1
58.0 84 1
46.0 95 1
60.0 89 1
68.0 89 1
83.0 86 1
34.0 99 1
43.0 91 1
57.0 84 1
86.0 73 1
80.0 81 1
98.0 76 1
37.0 95 1
73.0 83 1
86.0 80 1
139.0 69 1
57.0 86 1
66.0 86 1
68.0 81 1
