nobl cc count
0 1 405071
0 2 59095
0 3 21622
1 1 12062
0 4 10697
1 2 7689
2 1 7062
0 5 5848
1 3 5205
2 2 3783
2 3 3437
0 6 3341
1 4 2986
3 1 2485
0 7 2294
2 4 2217
1 5 1777
3 3 1727
3 2 1688
2 5 1566
3 4 1452
4 1 1424
0 8 1388
3 5 1170
1 6 1096
4 3 909
0 9 908
4 5 887
2 6 828
5 1 808
4 4 781
1 7 765
4 2 728
3 6 724
0 10 682
2 7 607
4 6 570
2 8 555
1 8 535
0 11 530
6 1 497
3 7 487
5 4 487
5 5 484
5 3 478
5 2 458
5 6 429
4 7 395
0 12 382
7 1 355
5 7 346
3 8 344
2 10 336
0 13 335
8 1 329
1 9 318
6 2 315
6 3 303
3 9 291
4 8 288
6 6 283
6 5 279
6 7 268
2 9 266
6 4 265
1 10 252
5 8 249
4 9 243
0 14 224
0 16 217
5 9 212
2 11 201
7 6 197
7 2 193
9 1 191
4 10 190
0 15 188
6 8 188
3 10 182
7 4 180
6 9 180
1 11 174
0 17 172
7 3 163
1 12 149
7 5 149
0 19 144
7 7 141
8 2 139
7 8 136
2 12 132
0 20 128
0 18 126
3 11 125
6 11 123
8 3 123
4 11 121
10 1 120
5 10 117
8 5 115
5 11 113
2 14 113
8 4 111
6 10 110
0 23 110
3 17 110
11 1 107
1 13 103
7 9 103
8 8 103
8 9 101
8 6 99
9 3 97
7 11 94
3 12 92
7 10 90
8 7 88
0 21 81
1 14 81
9 4 79
3 18 79
4 12 79
0 24 79
8 10 78
7 12 78
2 13 77
9 10 76
9 7 76
0 22 74
9 8 72
1 15 72
12 1 71
3 13 68
5 12 68
9 2 67
3 15 67
2 27 66
9 5 66
9 9 63
10 5 62
2 20 61
8 11 61
5 13 60
9 6 59
4 14 59
2 17 58
8 15 56
10 11 55
7 13 55
6 13 54
3 14 54
11 3 54
10 3 54
0 27 53
4 13 53
0 26 53
7 14 52
6 12 52
10 6 51
1 16 51
9 13 50
9 11 50
12 2 49
4 15 48
10 8 48
13 1 48
8 13 47
10 7 46
0 31 46
14 1 46
13 6 45
4 24 45
11 9 44
5 14 44
10 2 44
11 10 44
0 32 43
5 15 43
1 17 43
10 4 42
10 10 42
8 12 42
2 15 41
0 29 41
1 18 40
0 25 39
0 36 39
10 9 39
10 13 38
8 14 38
3 16 37
7 15 37
11 6 37
7 16 36
11 4 36
0 30 35
1 20 35
6 15 35
6 14 34
0 28 34
9 14 34
0 34 34
11 12 33
11 7 32
11 8 32
2 16 32
9 12 32
1 58 32
0 35 32
15 1 31
4 16 31
5 16 30
12 7 30
2 23 30
11 5 29
2 18 29
11 2 29
12 11 28
0 33 28
5 31 28
10 12 28
14 7 28
0 58 27
9 16 27
11 13 27
5 18 27
11 11 27
12 13 26
10 16 26
10 15 26
8 16 26
9 15 26
6 17 26
11 18 25
12 3 25
6 38 25
6 16 24
12 9 24
12 8 24
1 19 23
10 14 23
13 7 23
4 17 23
8 17 23
4 18 23
4 22 23
12 5 22
5 17 22
0 37 22
12 4 22
6 19 22
12 6 21
13 3 21
11 14 21
0 41 21
6 18 20
3 21 20
7 19 20
17 2 20
10 19 20
13 11 19
12 18 19
13 14 19
12 10 19
18 1 19
7 45 19
9 18 19
14 2 18
12 12 18
7 18 18
3 19 17
13 2 17
11 15 17
14 9 17
1 22 17
15 11 17
11 17 17
1 21 17
7 17 17
10 17 17
0 40 17
11 19 16
11 16 16
3 20 16
13 5 16
13 18 16
20 1 16
9 17 15
4 23 15
0 39 15
2 29 15
13 15 15
5 19 15
8 19 15
0 44 15
8 52 14
2 26 14
3 22 14
2 19 14
15 4 14
12 17 14
5 21 14
10 18 14
14 18 14
10 20 14
13 4 14
8 18 14
15 3 14
14 5 14
13 10 14
14 11 14
22 1 13
14 19 13
14 17 13
8 20 13
13 8 13
1 24 13
14 4 13
7 41 13
5 22 13
20 3 12
11 20 12
15 16 12
9 20 12
13 23 12
16 3 12
18 4 12
15 2 12
2 22 12
10 21 12
13 12 12
1 23 12
12 19 12
13 13 12
15 22 12
12 16 12
13 9 12
13 19 11
16 13 11
14 10 11
2 21 11
9 21 11
21 3 11
16 1 11
12 14 11
17 3 11
6 23 11
6 20 11
4 19 11
22 3 11
18 3 11
4 21 11
12 20 11
8 24 10
12 15 10
14 21 10
1 26 10
16 15 10
6 21 10
6 22 10
12 21 10
21 2 10
0 45 10
5 29 10
2 25 10
15 18 10
19 3 10
5 20 10
14 20 10
12 25 10
5 23 9
19 6 9
16 2 9
5 25 9
4 20 9
18 19 9
16 5 9
15 9 9
9 19 9
6 25 9
0 43 9
11 21 9
21 1 9
10 24 9
7 20 9
8 22 9
13 16 9
14 14 9
19 9 9
14 6 9
15 6 8
14 12 8
5 24 8
16 14 8
15 7 8
16 7 8
0 46 8
0 48 8
11 23 8
15 14 8
15 8 8
18 11 8
15 13 8
7 25 8
10 25 8
14 13 8
24 2 8
16 12 8
19 7 8
14 3 8
19 13 8
20 2 8
13 17 8
19 1 8
23 3 8
2 24 8
17 1 8
14 23 8
23 2 8
10 33 8
2 35 8
16 11 8
8 21 8
0 80 8
7 43 7
16 4 7
5 27 7
7 23 7
0 42 7
11 22 7
15 20 7
12 24 7
3 23 7
0 38 7
2 32 7
13 27 7
15 23 7
0 56 7
30 4 7
3 25 7
17 12 7
15 5 7
14 8 7
16 17 7
9 23 7
11 27 7
2 41 7
24 1 7
9 25 7
1 27 7
0 72 7
13 25 7
9 24 7
15 10 7
4 25 7
0 53 7
0 99 6
3 28 6
0 47 6
3 27 6
11 24 6
14 15 6
9 59 6
18 16 6
0 70 6
8 25 6
12 23 6
8 23 6
0 101 6
0 103 6
14 16 6
7 24 6
18 17 6
12 22 6
14 24 6
0 69 6
15 15 6
3 24 6
16 6 6
15 21 6
21 4 6
18 10 6
1 34 6
8 50 6
16 8 6
26 3 6
1 33 6
1 30 6
1 29 6
9 22 6
0 79 6
0 116 6
18 15 6
16 32 6
27 4 6
6 28 6
6 30 6
41 1 6
6 36 6
4 28 6
8 29 5
16 23 5
8 27 5
6 29 5
2 30 5
17 7 5
23 1 5
17 9 5
17 8 5
15 19 5
16 21 5
9 26 5
16 16 5
15 12 5
3 46 5
5 30 5
17 19 5
17 18 5
9 31 5
0 54 5
23 25 5
16 24 5
0 50 5
17 16 5
18 14 5
17 25 5
7 21 5
13 32 5
17 24 5
13 26 5
18 9 5
1 39 5
10 22 5
10 23 5
10 28 5
17 23 5
20 6 5
12 80 5
19 17 5
19 16 5
17 20 5
12 30 5
18 21 5
20 21 5
16 9 5
1 25 5
17 10 5
20 10 4
17 13 4
15 34 4
13 22 4
21 5 4
20 22 4
9 27 4
20 14 4
20 16 4
4 37 4
20 25 4
22 4 4
1 37 4
25 2 4
17 11 4
24 3 4
8 48 4
8 46 4
16 10 4
2 46 4
10 26 4
0 51 4
17 6 4
0 65 4
15 28 4
2 36 4
2 31 4
0 52 4
22 2 4
4 27 4
15 26 4
17 30 4
22 16 4
22 15 4
19 22 4
17 21 4
4 30 4
14 28 4
10 64 4
22 18 4
19 20 4
21 21 4
14 27 4
25 1 4
7 30 4
6 37 4
16 25 4
11 25 4
3 34 4
23 19 4
7 28 4
23 4 4
18 6 4
7 34 4
6 24 4
11 73 4
31 7 3
24 6 3
81 6 3
6 45 3
31 5 3
23 34 3
7 35 3
3 30 3
3 29 3
7 26 3
23 6 3
23 5 3
6 27 3
6 31 3
1 42 3
30 3 3
24 21 3
4 26 3
4 31 3
25 3 3
4 34 3
5 36 3
28 3 3
5 28 3
6 32 3
35 6 3
22 20 3
2 40 3
1 31 3
1 43 3
7 36 3
19 4 3
10 40 3
10 27 3
0 104 3
19 34 3
19 29 3
0 102 3
0 98 3
10 66 3
19 25 3
19 11 3
19 10 3
0 120 3
0 117 3
0 114 3
0 109 3
0 130 3
20 15 3
19 8 3
11 30 3
0 131 3
11 34 3
11 35 3
19 2 3
11 46 3
53 1 3
37 6 3
19 18 3
10 58 3
19 21 3
18 23 3
18 20 3
20 7 3
45 1 3
9 55 3
14 31 3
14 26 3
17 27 3
0 66 3
0 62 3
0 60 3
0 49 3
0 57 3
0 55 3
13 20 3
17 14 3
13 21 3
17 15 3
13 24 3
17 17 3
13 29 3
48 35 3
12 33 3
13 36 3
12 26 3
15 29 3
16 20 3
48 41 3
16 19 3
15 17 3
0 71 3
18 13 3
18 12 3
16 22 3
20 20 3
14 29 3
12 28 3
14 38 3
8 26 3
20 34 3
17 36 3
34 3 3
9 29 3
9 28 3
2 53 3
21 16 3
2 33 3
21 24 3
21 26 3
21 27 3
21 31 3
0 78 3
8 30 3
21 7 3
2 34 3
16 26 3
18 2 3
40 7 3
2 37 3
14 52 3
16 33 3
14 94 3
18 7 3
17 35 3
14 34 3
0 77 3
21 19 3
2 38 3
13 51 2
11 75 2
13 49 2
11 43 2
2 56 2
4 32 2
10 32 2
11 40 2
11 47 2
1 28 2
12 32 2
11 52 2
1 32 2
49 3 2
17 45 2
12 31 2
1 35 2
1 36 2
12 38 2
1 38 2
3 40 2
48 5 2
9 41 2
10 34 2
13 34 2
4 35 2
6 42 2
21 73 2
19 15 2
21 52 2
33 1 2
33 3 2
21 33 2
27 1 2
2 62 2
6 53 2
13 31 2
9 69 2
80 16 2
10 37 2
10 39 2
62 1 2
9 50 2
0 59 2
13 28 2
13 30 2
12 40 2
3 32 2
12 47 2
9 33 2
15 55 2
8 42 2
3 31 2
8 31 2
8 28 2
10 50 2
13 87 2
14 22 2
14 25 2
14 33 2
7 22 2
9 32 2
14 49 2
3 33 2
6 26 2
9 30 2
11 38 2
5 33 2
14 37 2
1 47 2
8 43 2
15 42 2
12 49 2
8 32 2
10 30 2
10 31 2
1 44 2
2 52 2
5 52 2
2 47 2
11 37 2
14 51 2
7 33 2
14 90 2
7 29 2
8 34 2
11 32 2
11 29 2
10 60 2
15 27 2
8 68 2
15 35 2
51 5 2
8 53 2
17 37 2
19 28 2
17 47 2
25 31 2
18 32 2
29 4 2
28 62 2
25 14 2
24 52 2
25 20 2
25 27 2
40 16 2
18 35 2
28 28 2
29 1 2
18 48 2
18 57 2
18 62 2
24 5 2
30 5 2
30 20 2
16 36 2
39 3 2
16 41 2
18 26 2
30 43 2
21 25 2
16 35 2
38 1 2
26 21 2
26 22 2
26 4 2
23 28 2
27 7 2
31 14 2
31 16 2
23 20 2
26 20 2
25 6 2
23 10 2
28 23 2
28 1 2
16 28 2
16 29 2
23 7 2
26 13 2
25 5 2
31 1 2
16 44 2
26 5 2
33 30 2
22 28 2
33 22 2
21 37 2
22 6 2
22 54 2
16 47 2
19 129 2
22 42 2
22 32 2
22 29 2
22 24 2
20 4 2
22 19 2
22 17 2
22 11 2
17 4 2
21 42 2
22 5 2
19 12 2
19 23 2
21 143 2
17 33 2
17 5 2
19 44 2
20 35 2
35 13 2
21 18 2
21 15 2
19 26 2
21 6 2
17 26 2
36 1 2
20 52 2
34 5 2
21 9 2
20 30 2
19 36 2
19 41 2
19 33 2
20 11 2
20 13 2
21 17 2
20 17 2
20 19 2
17 22 2
1 62 1
7 42 1
5 59 1
5 61 1
5 69 1
4 36 1
4 33 1
7 39 1
7 40 1
1 54 1
5 57 1
8 64 1
8 76 1
1 61 1
1 211 1
1 112 1
1 68 1
2 28 1
4 43 1
5 46 1
5 39 1
7 32 1
2 85 1
7 37 1
7 38 1
3 60 1
3 65 1
9 68 1
5 35 1
4 54 1
4 44 1
4 41 1
4 38 1
5 26 1
5 32 1
5 34 1
5 37 1
3 72 1
1 50 1
2 50 1
9 34 1
9 35 1
2 43 1
2 39 1
8 33 1
8 35 1
8 36 1
8 37 1
15 69 1
16 30 1
26 62 1
23 52 1
23 26 1
23 27 1
23 29 1
23 35 1
23 39 1
23 40 1
7 27 1
2 45 1
2 59 1
2 74 1
8 40 1
9 36 1
9 39 1
9 42 1
9 43 1
9 53 1
9 58 1
8 45 1
8 39 1
7 672 1
8 38 1
7 48 1
7 51 1
7 57 1
7 64 1
7 67 1
7 77 1
7 31 1
15 31 1
2 86 1
15 53 1
12 62 1
16 18 1
14 118 1
14 47 1
14 48 1
14 50 1
14 63 1
14 74 1
14 88 1
14 108 1
14 116 1
15 24 1
14 32 1
15 25 1
23 49 1
15 38 1
15 39 1
12 56 1
0 128 1
0 157 1
10 48 1
10 55 1
1 45 1
1 41 1
1 40 1
10 29 1
10 36 1
10 45 1
10 54 1
0 210 1
10 56 1
0 125 1
10 59 1
10 87 1
0 564 1
0 284 1
0 215 1
15 44 1
15 58 1
3 38 1
15 62 1
13 72 1
13 83 1
1 46 1
9 124 1
9 77 1
3 45 1
3 48 1
6 34 1
3 47 1
6 40 1
6 44 1
6 46 1
6 49 1
6 65 1
3 41 1
3 61 1
3 39 1
13 61 1
13 60 1
13 59 1
0 68 1
14 36 1
14 30 1
12 63 1
13 44 1
12 69 1
12 86 1
12 90 1
0 67 1
13 58 1
0 64 1
13 35 1
13 42 1
13 47 1
13 110 1
13 56 1
13 57 1
23 45 1
26 28 1
23 56 1
16 38 1
16 56 1
16 69 1
16 75 1
16 80 1
16 94 1
17 31 1
18 22 1
17 50 1
17 69 1
17 82 1
17 111 1
17 115 1
17 147 1
17 868 1
18 8 1
19 19 1
19 27 1
16 42 1
16 37 1
23 21 1
16 108 1
18 39 1
18 40 1
18 41 1
18 47 1
18 52 1
18 27 1
18 54 1
18 64 1
18 69 1
18 72 1
18 103 1
18 120 1
18 142 1
19 5 1
18 28 1
18 24 1
21 67 1
19 32 1
21 32 1
20 69 1
20 134 1
19 39 1
19 43 1
19 48 1
19 49 1
19 54 1
19 61 1
19 68 1
19 69 1
20 5 1
20 8 1
20 9 1
20 12 1
20 18 1
20 26 1
20 36 1
20 37 1
20 39 1
20 40 1
20 51 1
20 59 1
19 37 1
21 8 1
21 10 1
21 14 1
21 20 1
21 22 1
21 29 1
21 34 1
21 36 1
20 63 1
21 41 1
21 43 1
21 44 1
21 48 1
21 53 1
21 56 1
21 65 1
18 38 1
4 87 1
18 31 1
26 8 1
22 37 1
23 15 1
22 47 1
22 53 1
22 76 1
22 146 1
23 8 1
23 9 1
23 13 1
23 14 1
24 24 1
24 27 1
16 34 1
26 16 1
25 100 1
25 171 1
26 1 1
22 33 1
22 22 1
22 21 1
24 20 1
23 68 1
23 155 1
24 4 1
24 10 1
24 11 1
24 12 1
24 19 1
23 24 1
22 13 1
23 16 1
24 25 1
22 35 1
22 8 1
22 9 1
22 10 1
22 12 1
26 7 1
26 10 1
18 29 1
26 12 1
24 109 1
25 7 1
25 8 1
25 15 1
25 43 1
25 16 1
25 17 1
25 22 1
25 26 1
25 28 1
25 29 1
25 33 1
25 37 1
22 7 1
21 135 1
21 69 1
18 50 1
24 68 1
24 61 1
24 34 1
26 52 1
26 15 1
26 17 1
25 54 1
0 118 1
26 29 1
26 33 1
26 41 1
26 54 1
24 32 1
26 58 1
26 59 1
25 74 1
25 49 1
24 29 1
25 10 1
24 30 1
12 57 1
36 42 1
11 33 1
111 6 1
30 16 1
30 17 1
95 2 1
30 36 1
30 81 1
69 11 1
93 3 1
97 7 1
90 6 1
31 8 1
31 12 1
90 4 1
89 261 1
31 19 1
31 25 1
31 32 1
97 5 1
30 7 1
96 13 1
94 6 1
141 8 1
27 11 1
27 13 1
27 20 1
27 24 1
144 12 1
132 8 1
143 7 1
27 29 1
29 3 1
27 32 1
27 46 1
137 1 1
27 68 1
132 9 1
112 10 1
111 9 1
99 9 1
29 21 1
27 8 1
110 102 1
45 20 1
47 55 1
37 138 1
37 143 1
37 566 1
47 41 1
38 3 1
38 5 1
38 7 1
47 34 1
47 12 1
47 8 1
47 3 1
47 1 1
46 85 1
38 24 1
46 12 1
69 3 1
34 15 1
33 23 1
29 22 1
108 9 1
106 153 1
29 5 1
29 12 1
106 13 1
29 14 1
29 20 1
100 7 1
101 133 1
29 23 1
29 25 1
29 31 1
102 9 1
29 54 1
29 193 1
30 1 1
27 9 1
203 8 1
47 69 1
32 26 1
32 89 1
32 105 1
71 6 1
72 1 1
33 5 1
71 5 1
33 8 1
33 18 1
70 6 1
70 5 1
70 3 1
71 75 1
72 11 1
80 5 1
74 65 1
79 6 1
79 3 1
32 72 1
32 65 1
32 56 1
82 3 1
80 68 1
32 20 1
32 8 1
31 101 1
32 6 1
32 5 1
83 7 1
31 116 1
32 52 1
80 12 1
82 4 1
32 3 1
41 17 1
80 6 1
32 123 1
71 8 1
32 22 1
77 5 1
27 6 1
76 80 1
28 20 1
124 8 1
