count nobl coco
403086 0.0 0
55012 0.0 1
19353 0.0 2
14646 0.0 3
12035 1.0 0
7137 2.0 0
6795 1.0 1
6750 0.0 4
4393 1.0 2
3509 0.0 5
3371 2.0 1
2926 1.0 3
2907 0.0 6
2701 2.0 2
2511 3.0 0
2046 0.0 7
1873 2.0 3
1871 1.0 4
1514 3.0 1
1456 4.0 0
1382 2.0 4
1359 3.0 2
1330 0.0 8
1117 1.0 5
1106 3.0 3
1054 0.0 9
1012 2.0 5
925 3.0 4
871 1.0 6
822 5.0 0
809 0.0 10
694 0.0 11
682 3.0 5
676 2.0 6
664 4.0 1
663 1.0 7
649 4.0 2
612 4.0 3
606 4.0 4
524 3.0 6
523 2.0 7
517 1.0 8
505 6.0 0
489 0.0 12
472 4.0 6
461 5.0 1
453 4.0 5
443 3.0 7
401 2.0 9
395 2.0 8
373 0.0 13
370 1.0 9
363 7.0 0
354 5.0 4
336 5.0 3
332 3.0 8
330 5.0 2
328 8.0 0
316 2.0 11
308 1.0 10
306 4.0 7
306 6.0 1
299 0.0 15
290 5.0 5
280 0.0 14
277 2.0 10
268 3.0 10
268 5.0 6
256 1.0 11
249 5.0 7
241 4.0 8
239 6.0 2
236 0.0 16
236 3.0 9
226 2.0 13
214 5.0 8
208 1.0 12
208 7.0 1
199 6.0 3
196 6.0 6
194 0.0 17
194 9.0 0
191 4.0 10
190 6.0 4
182 6.0 5
178 2.0 12
175 4.0 9
169 3.0 11
159 0.0 19
153 5.0 9
152 8.0 1
150 3.0 12
149 0.0 18
146 5.0 10
145 1.0 13
137 6.0 9
135 6.0 7
129 1.0 14
128 7.0 4
125 3.0 13
124 4.0 12
123 4.0 14
122 6.0 8
121 10.0 0
121 3.0 20
120 7.0 2
119 2.0 25
119 1.0 15
117 6.0 10
116 3.0 17
115 4.0 13
115 4.0 11
114 2.0 17
114 7.0 3
112 5.0 11
111 2.0 14
108 11.0 0
107 7.0 8
105 8.0 2
103 0.0 20
102 7.0 6
100 7.0 7
100 2.0 16
97 1.0 18
96 3.0 14
96 0.0 25
93 0.0 22
90 2.0 15
86 1.0 16
86 5.0 12
86 0.0 23
86 4.0 16
85 1.0 17
84 7.0 10
82 3.0 15
81 0.0 21
81 7.0 5
81 5.0 14
80 6.0 11
76 9.0 1
76 7.0 12
74 6.0 12
74 5.0 13
74 7.0 9
73 8.0 3
73 3.0 16
71 6.0 13
71 12.0 0
70 8.0 6
70 1.0 21
69 8.0 7
68 6.0 14
68 3.0 18
67 6.0 15
67 9.0 2
66 8.0 5
64 0.0 24
63 9.0 5
63 8.0 4
62 8.0 8
62 2.0 21
61 4.0 15
59 2.0 18
59 7.0 11
59 5.0 15
58 9.0 3
58 0.0 26
57 7.0 13
57 1.0 19
56 1.0 20
54 5.0 16
53 8.0 9
53 8.0 11
53 7.0 17
52 12.0 1
52 8.0 10
52 9.0 4
51 5.0 18
51 6.0 20
50 11.0 3
50 13.0 0
49 8.0 12
48 4.0 17
48 9.0 11
47 2.0 19
47 3.0 19
47 14.0 0
46 10.0 10
46 6.0 16
46 9.0 6
46 10.0 1
46 4.0 21
45 0.0 27
44 4.0 19
43 2.0 22
43 5.0 19
43 4.0 29
43 4.0 18
42 7.0 15
42 7.0 14
42 0.0 28
41 8.0 14
41 0.0 29
40 10.0 5
40 3.0 21
40 2.0 20
39 4.0 22
39 6.0 17
38 5.0 17
37 0.0 31
37 1.0 23
37 5.0 20
37 1.0 25
36 2.0 23
35 9.0 8
35 9.0 9
35 0.0 30
35 7.0 18
35 6.0 18
34 10.0 4
34 1.0 22
34 13.0 10
34 2.0 29
34 10.0 9
33 10.0 8
33 9.0 13
33 8.0 20
33 9.0 7
33 0.0 32
33 10.0 2
33 11.0 1
32 8.0 13
32 8.0 16
32 5.0 38
32 7.0 19
32 1.0 28
32 10.0 3
31 15.0 0
31 9.0 10
31 1.0 24
30 6.0 19
30 4.0 27
30 1.0 27
30 10.0 11
30 8.0 15
29 9.0 15
29 5.0 21
29 5.0 22
28 1.0 26
28 5.0 23
28 0.0 37
28 8.0 18
28 9.0 24
28 7.0 16
27 11.0 7
27 9.0 12
27 6.0 25
27 6.0 47
27 2.0 24
27 9.0 16
26 9.0 14
26 10.0 7
26 7.0 24
26 10.0 6
25 11.0 4
25 1.0 29
25 8.0 21
25 3.0 23
25 7.0 20
25 10.0 15
25 8.0 17
24 9.0 17
24 11.0 2
24 2.0 33
24 15.0 1
24 2.0 27
23 0.0 36
23 2.0 26
23 4.0 28
23 11.0 8
23 4.0 20
23 10.0 17
22 12.0 15
22 10.0 14
22 7.0 22
22 5.0 26
22 3.0 25
22 11.0 9
22 3.0 22
21 11.0 12
21 11.0 10
21 10.0 16
21 8.0 22
21 3.0 24
21 7.0 21
20 4.0 25
20 0.0 38
20 17.0 1
20 7.0 23
20 3.0 30
20 7.0 56
19 6.0 21
19 7.0 29
19 11.0 11
19 11.0 17
19 18.0 0
19 12.0 3
19 9.0 18
19 6.0 30
19 9.0 20
19 11.0 22
19 12.0 18
19 10.0 12
19 10.0 13
18 11.0 15
18 13.0 3
18 14.0 8
18 4.0 24
18 6.0 22
18 8.0 65
18 12.0 11
18 13.0 1
18 2.0 37
18 3.0 27
18 1.0 31
18 9.0 21
18 0.0 33
18 14.0 1
18 11.0 13
18 12.0 10
17 5.0 34
17 2.0 28
17 7.0 51
17 10.0 20
17 4.0 23
17 3.0 26
17 20.0 0
17 9.0 22
17 12.0 2
17 8.0 24
17 0.0 43
17 8.0 23
16 5.0 25
16 18.0 3
16 0.0 35
16 10.0 22
16 2.0 30
16 6.0 26
16 13.0 14
16 6.0 24
16 2.0 31
16 9.0 19
16 1.0 32
16 12.0 9
16 13.0 5
16 5.0 36
15 13.0 4
15 5.0 28
15 11.0 14
15 3.0 29
15 8.0 28
15 0.0 34
15 8.0 19
15 6.0 23
15 16.0 4
15 11.0 5
14 12.0 8
14 4.0 26
14 11.0 24
14 10.0 23
14 0.0 50
14 16.0 0
14 13.0 11
14 13.0 15
14 11.0 19
14 5.0 24
14 12.0 13
14 1.0 33
14 3.0 32
14 10.0 24
14 5.0 32
14 3.0 28
14 4.0 31
13 7.0 28
13 7.0 27
13 10.0 26
13 22.0 0
13 11.0 6
13 14.0 5
13 12.0 7
13 4.0 34
13 1.0 34
13 12.0 22
12 8.0 33
12 4.0 32
12 12.0 5
12 2.0 34
12 8.0 32
12 14.0 4
12 10.0 18
12 3.0 39
12 2.0 41
12 21.0 3
12 10.0 19
12 10.0 29
12 10.0 21
12 1.0 35
12 4.0 33
12 5.0 29
12 12.0 14
12 9.0 23
12 3.0 31
11 0.0 39
11 2.0 52
11 7.0 25
11 14.0 16
11 12.0 17
11 11.0 39
11 13.0 2
11 9.0 26
11 9.0 29
11 4.0 30
11 12.0 4
11 7.0 26
11 9.0 30
11 11.0 16
11 15.0 30
11 1.0 30
10 6.0 29
10 12.0 25
10 22.0 3
10 11.0 20
10 0.0 42
10 6.0 28
10 17.0 0
10 11.0 25
10 3.0 35
10 12.0 6
10 6.0 40
10 11.0 18
10 1.0 36
10 12.0 12
10 9.0 74
10 8.0 29
10 0.0 44
10 0.0 40
10 13.0 49
10 6.0 31
9 1.0 38
9 5.0 27
9 0.0 46
9 13.0 24
9 13.0 6
9 7.0 54
9 30.0 3
9 13.0 12
9 14.0 17
9 20.0 1
9 10.0 27
9 21.0 1
9 13.0 26
9 4.0 36
9 8.0 26
9 19.0 3
9 14.0 6
9 12.0 19
9 9.0 27
9 15.0 4
9 21.0 0
9 7.0 30
9 10.0 31
9 11.0 21
8 12.0 21
8 0.0 75
8 5.0 33
8 16.0 23
8 2.0 53
8 5.0 37
8 11.0 46
8 14.0 47
8 0.0 57
8 8.0 30
8 6.0 27
8 15.0 10
8 5.0 31
8 3.0 37
8 8.0 25
8 11.0 28
8 19.0 0
8 24.0 0
8 13.0 19
8 13.0 9
8 2.0 32
8 15.0 16
8 11.0 47
8 9.0 33
8 10.0 35
