count nobl midx
509889 0.0 99
31803 1.0 99
19662 2.0 99
9681 3.0 99
5438 4.0 99
3046 5.0 99
1749 6.0 99
975 7.0 99
638 8.0 99
304 9.0 99
190 10.0 99
105 0.0 99
104 0.0 99
97 3.0 98
95 11.0 99
88 2.0 95
87 0.0 97
85 0.0 98
76 0.0 99
75 0.0 95
73 0.0 99
70 0.0 95
68 2.0 98
67 0.0 95
67 0.0 96
66 0.0 99
66 0.0 98
65 5.0 99
65 0.0 98
64 0.0 97
64 0.0 99
63 0.0 96
63 0.0 94
61 0.0 93
60 2.0 94
60 0.0 97
58 0.0 94
58 0.0 98
58 0.0 94
56 1.0 97
56 12.0 100
56 0.0 94
55 0.0 98
55 0.0 97
55 0.0 93
54 0.0 93
54 0.0 97
54 6.0 95
53 1.0 96
52 0.0 96
52 0.0 96
52 3.0 98
52 0.0 97
51 2.0 98
51 1.0 99
51 0.0 99
51 0.0 96
51 0.0 98
51 0.0 94
51 1.0 97
50 1.0 98
50 0.0 96
50 4.0 99
49 0.0 95
49 2.0 98
49 0.0 96
49 0.0 97
49 1.0 99
48 1.0 99
48 2.0 99
48 5.0 98
47 0.0 92
47 0.0 92
47 2.0 99
47 3.0 99
46 1.0 98
46 0.0 93
46 6.0 99
46 2.0 98
46 0.0 95
46 5.0 98
45 4.0 97
45 3.0 99
45 3.0 99
45 7.0 99
44 0.0 90
44 5.0 98
44 6.0 99
44 3.0 98
43 0.0 91
43 1.0 96
43 5.0 99
43 2.0 97
43 0.0 91
43 3.0 97
42 1.0 96
42 0.0 90
42 2.0 96
42 4.0 97
41 4.0 98
41 0.0 92
41 4.0 97
41 2.0 99
41 11.0 98
40 6.0 95
40 1.0 96
40 1.0 98
40 2.0 96
40 2.0 88
40 1.0 99
39 5.0 97
39 0.0 89
39 1.0 97
39 2.0 96
39 2.0 90
38 6.0 99
38 0.0 91
38 4.0 99
38 5.0 97
38 0.0 91
38 2.0 97
38 1.0 98
37 2.0 91
37 1.0 98
37 3.0 96
37 0.0 95
37 7.0 92
37 4.0 99
