count robl loc
322643 0.0 1
42407 0.0 2
24190 0.0 3
19439 0.0 5
19102 0.0 4
14835 0.0 6
9949 0.0 7
8248 0.0 8
6847 0.0 9
5253 0.0 10
4143 0.0 11
3651 0.0 12
2881 0.0 13
2734 0.2 5
2716 0.25 4
2688 0.16666666666666666 6
2491 0.0 14
2102 0.125 8
2035 0.14285714285714285 7
1996 0.0 15
1867 0.1 10
1765 0.0 16
1739 0.1111111111111111 9
1651 0.2857142857142857 7
1614 0.5 2
1591 0.09090909090909093 11
1571 0.3333333333333333 3
1548 0.4 5
1536 0.3333333333333333 6
1458 0.0 17
1414 0.25 8
1322 0.2222222222222222 9
1260 0.0 18
1249 1.0 1
1223 0.08333333333333333 12
1211 0.2 10
1198 0.18181818181818182 11
1079 0.15384615384615385 13
1049 0.0 19
1031 0.16666666666666666 12
1004 0.07692307692307693 13
989 0.07142857142857142 14
942 0.0 20
909 0.14285714285714285 14
891 0.13333333333333333 15
873 0.5 4
834 0.0 21
780 0.06666666666666667 15
763 0.3 10
735 0.0 22
691 0.375 8
689 0.0625 16
625 0.3333333333333333 9
614 0.2727272727272727 11
600 0.125 16
575 0.0 23
573 0.25 12
571 0.23076923076923078 13
552 0.05555555555555555 18
549 0.21428571428571427 14
548 0.11764705882352941 17
544 0.058823529411764705 17
517 0.6666666666666666 3
517 0.0 24
493 0.2 15
465 0.1111111111111111 18
464 0.05263157894736842 19
462 0.42857142857142855 7
454 0.0 25
437 0.1875 16
427 0.10526315789473684 19
414 0.17647058823529413 17
403 0.05 20
399 0.25 16
397 0.16666666666666663 18
387 0.0 26
385 0.5 6
377 0.0 28
377 0.14285714285714285 21
371 0.1 20
367 0.047619047619047616 21
365 0.3636363636363636 11
353 0.23529411764705882 17
348 0.0 27
346 0.15789473684210525 19
319 0.09523809523809523 21
312 0.3076923076923077 13
304 0.15 20
299 0.3333333333333333 12
293 0.0 29
291 0.22222222222222218 18
289 0.045454545454545456 22
284 0.26666666666666666 15
278 0.0 30
270 0.08 25
269 0.2857142857142857 14
265 0.0 31
264 0.21052631578947367 19
259 0.125 24
257 0.19047619047619047 21
251 0.0 40
248 0.08695652173913043 23
246 0.09090909090909091 22
244 0.4444444444444444 9
236 0.0 32
233 0.13043478260869565 23
231 0.13636363636363635 22
230 0.2 20
230 0.0 33
228 0.4 10
222 0.043478260869565216 23
219 0.6 5
211 0.35714285714285715 14
210 0.0 34
207 0.18181818181818182 22
207 0.041666666666666664 24
191 0.75 4
188 0.037037037037037035 27
188 0.038461538461538464 26
187 0.11538461538461538 26
186 0.0 37
184 0.04 25
183 0.16666666666666666 24
182 0.25 20
181 0.05425882410470953 36
181 0.0 36
180 0.08333333333333333 24
180 0.2777777777777778 18
179 0.23809523809523805 21
179 0.3333333333333333 15
176 0.3125 16
176 0.11999999999999998 25
175 0.0 35
174 0.5 8
174 0.3846153846153846 13
172 0.07692307692307693 26
171 0.17391304347826086 23
169 0.29411764705882354 17
166 0.03571428571428571 28
165 0.14814814814814814 27
164 1.0 2
161 0.2631578947368421 19
160 0.3157894736842105 19
160 0.4166666666666667 12
159 0.13793103448275862 29
159 0.5714285714285714 7
157 0.22727272727272727 22
154 0.06451612903225806 31
154 0.2173913043478261 23
154 0.13654888654888656 36
152 0.11111111111111112 27
148 0.0 39
148 0.16 25
144 0.050029315196998124 39
143 0.0 38
142 0.2 25
137 0.07142857142857142 28
135 0.05714285714285714 35
134 0.07407407407407407 27
134 0.20833333333333334 24
134 0.06666666666666667 30
132 0.03333333333333333 30
132 2.0 1
128 0.0967741935483871 31
128 0.06896551724137931 29
126 0.3 20
123 0.15384615384615385 26
121 0.0 54
120 0.4 15
120 0.375 16
120 0.02742117117117117 36
119 0.13333333333333333 30
119 0.0 58
119 0.19230769230769232 26
117 0.2727272727272727 22
117 0.034482758620689655 29
116 0.10714285714285712 28
116 0.08460591133004927 35
115 0.030303030303030304 33
114 0.0 42
113 0.12990696619015202 38
113 0.0 49
111 0.08017761716196994 37
111 0.0 66
109 0.16129032258064518 31
108 0.03125 32
108 0.45454545454545453 11
107 0.14285714285714285 28
106 0.0625 32
105 0.13142915877420966 45
105 0.025917357496304864 38
105 0.10344827586206898 29
105 0.024738675958188155 40
105 0.04468494468494469 44
105 0.023482571323102882 42
104 0.21428571428571427 28
104 0.2608695652173913 23
103 0.0 47
102 0.5 10
102 0.029411764705882353 34
102 0.1724137931034483 29
101 0.3333333333333333 18
101 0.0713547612763059 42
101 0.35294117647058826 17
101 0.3684210526315789 19
100 0.03225806451612903 31
100 0.12903225806451613 31
98 0.17857142857142858 28
98 0.125 32
98 0.09375 32
98 0.0 52
96 0.42857142857142855 14
95 0.06060606060606061 33
95 0.18518518518518517 27
94 0.1 30
94 0.0 43
93 0.020924962297891016 47
93 0.11117368165054 44
92 0.0 64
92 0.25 24
89 0.6666666666666666 6
88 0.2857142857142857 21
88 0.07598339160839161 39
87 0.06675147274847425 44
87 0.15244848025159996 45
87 0.19136377757067413 36
86 0.1477878615995462 40
86 0.24000000000000002 25
85 0.47131670005463483 17
84 0.16666666666666666 30
84 0.35 20
83 0.30434782608695654 23
83 0.20689655172413793 29
83 0.16290107576182106 42
82 0.028571428571428574 35
81 0.10142450142450142 39
81 0.08823529411764706 34
81 0.11764705882352941 34
81 0.0 48
81 0.022204329933798533 45
81 0.0 44
80 0.04266689793401172 46
78 0.27586206896551724 29
78 0.1935483870967742 31
78 0.0 46
77 0.09090909090909091 33
77 0.8 5
76 0.06279281029321022 47
76 0.1777731548898597 45
76 0.058823529411764705 34
75 0.15625 32
73 0.38095238095238093 21
73 0.2222222222222222 27
73 0.0 45
72 0.23076923076923078 26
71 0.04016908171719392 49
71 0.13756960366852275 43
71 0.3333333333333333 21
71 0.12366884232222605 40
71 0.11740988567061282 42
70 0.21904761904761905 36
70 0.22452760653980167 40
70 0.4615384615384615 13
69 0.13150831991411702 53
69 0.04700916429935641 42
69 0.5555555555555556 9
68 0.10810810810810811 37
66 0.2 30
66 0.25925925925925924 27
66 0.13078598937932623 61
66 0.0834358566121484 47
65 0.15151515151515152 33
65 0.018533569854324573 53
65 0.2962962962962963 27
64 0.25 28
64 0.12272161989795918 48
64 0.3181818181818182 22
63 0.28 25
63 0.12121212121212122 33
63 0.1730352303523035 40
62 0.10526315789473684 38
62 0.3888888888888889 18
61 0.019605865044630712 51
61 1.0 4
61 0.23967539584450714 37
61 0.0918795272588639 43
60 0.1111111111111111 36
60 0.2916666666666667 24
60 0.22580645161290322 31
60 0.0033144700012169895 166
60 0.20773729194781826 38
59 0.23333333333333334 30
59 0.11428571428571428 35
59 0.0581379229510308 51
59 0.08793908130680422 45
59 0.2413793103448276 29
59 0.16216216216216217 37
58 0.4117647058823529 17
58 0.14705882352941177 34
58 0.14285714285714285 35
57 0.15384615384615385 39
57 0.25992923485183544 34
56 0.17647058823529413 34
56 0.5454545454545454 11
55 0.625 8
54 0.0 61
54 0.4375 16
54 0.0710978508619162 56
54 0.07901234567901234 50
53 0.0751400413201766 53
53 0.34782608695652173 23
53 0.1542220196126757 51
52 0.1875 32
52 0.14272435897435898 49
52 0.23708754848856947 42
51 0.0 51
51 0.0007739938080495355 77
50 0.1898365538765095 52
50 0.18181818181818182 33
50 0.09654941802555567 51
50 0.16666666666666663 36
50 0.1794871794871795 39
50 0.19795121951219513 40
50 0.14285714285714285 42
50 0.36 25
49 0.18421052631578946 38
49 0.0 60
49 0.016630469915112474 60
48 0.3764128352490421 29
48 0.03647586980920314 54
48 0.2692307692307692 26
48 0.7142857142857143 7
48 0.2058823529411765 34
47 0.22857142857142856 35
47 0.2509627600538409 51
46 0.2860492022896115 34
46 0.17142857142857143 35
46 0.18845394578458277 42
46 0.3333333333333333 24
46 0.30920619235836627 32
46 0.5 14
46 0.10493755781683625 47
45 1.0 7
45 0.15789473684210525 38
45 0.030801282051282054 64
45 0.26666666666666666 30
45 0.09881938531312462 60
45 0.2534188034188034 39
44 0.0975609756097561 41
44 0.5 12
43 0.3 30
43 0.0 79
43 0.3076923076923077 26
43 1.0 3
43 0.2115042880321409 42
43 0.19999999999999998 35
42 0.37202380952380953 32
42 0.16810199257007769 47
42 0.061313569948964405 65
41 0.18544673967147837 48
41 0.12524117944528726 55
41 0.10573584929523135 56
41 0.02801424013656064 74
41 0.18057897876240595 70
41 0.14542638932882834 55
40 0.08191322933192315 61
40 0.0 72
40 0.19409111933395004 46
40 0.2121212121212121 33
39 0.09523809523809523 42
39 0.24242424242424243 33
39 0.10120355834641549 49
39 0.34615384615384615 26
39 0.12783979630953443 76
39 0.09273621677467832 64
38 0.02985319672395131 67
38 0.05453216374269005 55
38 0.17525254834601045 62
38 0.25806451612903225 31
38 0.161890440386681 49
37 0.26840490316100074 41
37 0.4 20
37 0.11158293799803233 53
37 0.20457345100202243 48
37 0.08066173335160677 78
37 0.2119170737372735 51
36 0.08832846003898635 56
36 0.2018939393939394 44
36 0.24945449325294286 44
36 0.17631975867269983 51
36 0.21875 32
36 0.23508486226744785 46
36 0.5 16
36 0.42105263157894735 19
35 0.12954028886508676 69
35 0.7701726844583987 13
35 0.261761155896216 45
35 0.1006332373939552 82
35 0.13574660633484162 51
35 0.2352941176470588 34
35 0.36363636363636365 22
35 0.2857142857142857 28
35 0.12792508398837024 93
35 0.280459075807913 42
34 0.42857142857142855 21
34 0.03807734995304363 52
34 0.4666666666666667 15
34 0.13492248925560363 81
34 0.4074074074074074 27
34 0.3333333333333333 27
33 0.3477822580645161 31
33 0.11511492503031372 60
33 0.0006966213862765587 86
33 0.16669785331877957 54
33 0.15485555978513726 72
33 0.26595973964395014 37
33 0.302004802004802 37
33 0.03393903972512973 58
33 0.138175877325036 57
32 0.2903225806451613 31
32 0.0 69
32 0.06593442174797659 60
32 0.09175084175084175 54
32 0.25 32
32 0.10646884188845798 78
32 0.16223136641400787 61
32 0.03086511217060819 70
32 0.6 10
31 0.5 18
31 1.5 2
31 0.453396871945259 21
31 0.15855963601997208 56
31 0.25 36
31 0.0013234425795592597 97
31 0.021621212233995157 95
30 0.1401517232767233 64
30 0.10680417196160863 86
30 0.43478260869565216 23
30 0.0007575757575757576 88
30 0.11644042232277527 51
30 0.3103448275862069 29
29 0.026720782332969293 79
29 0.22553117380703586 44
29 0.2320404560159798 62
29 0.31999999999999995 25
29 0.4431712348953728 25
28 0.08537196292894714 58
28 0.18526029584133705 76
28 0.2727272727272727 33
28 0.44444444444444436 18
28 0.19543901006807066 66
28 0.10867812742812744 64
28 0.0008710801393728223 82
28 0.07029370449704095 71
28 0.8559654631083202 13
28 0.0159195902823495 62
28 0.01761369248243762 56
27 0.8571428571428571 7
27 0.04691018857685524 63
27 0.08156788367314684 74
27 0.28125 32
26 0.14548953228954756 67
26 0.1542200309811646 76
26 0.27246128238529455 48
26 0.32270868558758753 44
