loc hsd count
8.0 13 1
26.0 4 1
18.0 59 1
6.0 16 1
31.0 39 1
14.0 29 1
8.0 4 1
10.0 40 1
26.0 28 1
13.0 34 1
35.0 32 1
24.0 36 1
40.0 41 1
42.0 10 1
31.0 24 1
15.0 24 1
42.0 7 1
33.0 31 1
16.0 29 1
17.0 76 1
38.0 48 1
34.0 46 1
37.0 58 1
31.0 34 1
21.0 38 1
41.0 13 1
11.0 30 1
22.0 8 1
10.0 52 1
25.0 46 1
42.0 23 1
23.0 36 1
23.0 55 1
37.0 12 1
22.0 40 1
25.0 39 1
35.0 35 1
15.0 36 1
40.0 6 1
26.0 6 1
34.0 37 1
34.0 27 1
26.0 42 1
15.0 38 1
34.0 5 1
30.0 0 1
16.0 34 1
20.0 29 1
16.0 49 1
39.0 7 1
35.0 3 1
34.0 38 1
10.0 31 1
10.0 22 1
22.0 29 1
9.0 17 1
38.0 24 1
30.0 30 1
37.0 33 1
9.0 29 1
32.0 27 1
31.0 21 1
42.0 31 1
29.0 6 1
25.0 45 1
19.0 75 1
33.0 34 1
32.0 38 1
19.0 29 1
23.0 5 1
12.0 28 1
39.0 4 1
10.0 34 1
18.0 28 1
35.0 42 1
17.0 27 1
26.0 38 1
29.0 62 1
42.0 32 1
19.0 43 1
39.0 15 1
41.0 49 1
34.0 35 1
16.0 41 1
42.0 10 1
17.0 33 1
27.0 31 1
34.0 22 1
42.0 42 1
39.0 50 1
13.0 29 1
37.0 0 1
11.0 38 1
13.0 37 1
34.0 59 1
42.0 39 1
15.0 34 1
40.0 56 1
38.0 5 1
20.0 21 1
40.0 8 1
20.0 0 1
8.0 3 1
34.0 36 1
41.0 39 1
13.0 4 1
36.0 20 1
39.0 40 1
30.0 28 1
11.0 35 1
8.0 34 1
17.0 25 1
41.0 45 1
10.0 26 1
7.0 23 1
39.0 34 1
27.0 5 1
41.0 34 1
30.0 41 1
35.0 27 1
37.0 29 1
42.0 46 1
41.0 37 1
8.0 14 1
30.0 48 1
24.0 16 1
6.0 26 1
24.0 37 1
41.0 29 1
27.0 13 1
