loc midx count
10.0 100 1
36.0 94 1
35.0 96 1
39.0 100 1
31.0 96 1
34.0 96 1
22.0 99 1
40.0 97 1
38.0 91 1
37.0 98 1
36.0 98 1
38.0 96 1
34.0 92 1
38.0 95 1
38.0 94 1
36.0 95 1
26.0 97 1
37.0 91 1
41.0 93 1
30.0 97 1
17.0 99 1
34.0 98 1
36.0 95 1
23.0 97 1
36.0 94 1
29.0 99 1
34.0 97 1
42.0 96 1
38.0 93 1
36.0 93 1
34.0 94 1
35.0 96 1
41.0 94 1
37.0 95 1
30.0 97 1
24.0 99 1
39.0 96 1
37.0 96 1
35.0 97 1
28.0 97 1
42.0 92 1
40.0 97 1
41.0 95 1
41.0 98 1
40.0 99 1
30.0 96 1
37.0 93 1
37.0 93 1
38.0 93 1
39.0 95 1
29.0 95 1
35.0 93 1
28.0 99 1
40.0 90 1
39.0 93 1
35.0 97 1
29.0 97 1
42.0 94 1
31.0 99 1
30.0 0 1
28.0 96 1
34.0 99 1
35.0 91 1
11.0 0 1
37.0 96 1
34.0 96 1
25.0 99 1
39.0 96 1
34.0 96 1
39.0 99 1
32.0 99 1
42.0 96 1
26.0 98 1
39.0 99 1
25.0 99 1
41.0 91 1
40.0 95 1
31.0 95 1
28.0 91 1
35.0 96 1
34.0 94 1
36.0 92 1
36.0 98 1
38.0 91 1
30.0 98 1
38.0 98 1
40.0 96 1
40.0 88 1
31.0 96 1
41.0 98 1
30.0 95 1
31.0 95 1
42.0 93 1
40.0 96 1
30.0 97 1
41.0 94 1
30.0 97 1
40.0 94 1
34.0 99 1
28.0 99 1
42.0 88 1
29.0 95 1
40.0 97 1
37.0 95 1
39.0 91 1
36.0 97 1
37.0 97 1
34.0 99 1
34.0 95 1
28.0 97 1
38.0 92 1
35.0 96 1
31.0 99 1
28.0 98 1
35.0 96 1
40.0 93 1
30.0 95 1
27.0 98 1
36.0 99 1
25.0 96 1
20.0 0 1
31.0 97 1
24.0 98 1
29.0 96 1
35.0 90 1
42.0 89 1
7.0 0 1
36.0 99 1
32.0 95 1
41.0 92 1
42.0 91 1
42.0 93 1
37.0 96 1
30.0 97 1
24.0 94 1
30.0 96 1
38.0 97 1
34.0 93 1
31.0 96 1
40.0 96 1
34.0 99 1
40.0 92 1
23.0 99 1
27.0 98 1
36.0 91 1
29.0 97 1
38.0 94 1
40.0 96 1
40.0 98 1
40.0 92 1
38.0 97 1
28.0 97 1
42.0 91 1
41.0 96 1
35.0 92 1
36.0 96 1
29.0 96 1
40.0 95 1
27.0 99 1
37.0 98 1
34.0 93 1
35.0 83 1
39.0 97 1
34.0 96 1
39.0 86 1
41.0 94 1
29.0 99 1
33.0 95 1
26.0 98 1
32.0 96 1
26.0 99 1
22.0 99 1
31.0 97 1
37.0 99 1
38.0 92 1
35.0 98 1
35.0 98 1
34.0 89 1
35.0 99 1
30.0 94 1
35.0 98 1
42.0 93 1
32.0 92 1
25.0 97 1
29.0 88 1
27.0 98 1
25.0 96 1
26.0 98 1
31.0 95 1
38.0 93 1
41.0 97 1
28.0 98 1
38.0 96 1
34.0 95 1
40.0 91 1
24.0 94 1
37.0 97 1
42.0 92 1
34.0 95 1
32.0 92 1
38.0 99 1
27.0 98 1
42.0 97 1
42.0 92 1
39.0 99 1
32.0 96 1
33.0 93 1
38.0 92 1
41.0 90 1
26.0 98 1
37.0 94 1
27.0 97 1
39.0 95 1
33.0 97 1
37.0 97 1
36.0 95 1
37.0 97 1
30.0 96 1
34.0 98 1
41.0 99 1
42.0 91 1
36.0 99 1
29.0 99 1
37.0 93 1
35.0 94 1
30.0 95 1
38.0 92 1
30.0 97 1
39.0 97 1
31.0 98 1
39.0 98 1
38.0 99 1
29.0 95 1
36.0 95 1
32.0 95 1
40.0 95 1
33.0 96 1
29.0 97 1
30.0 98 1
41.0 92 1
38.0 91 1
41.0 91 1
40.0 96 1
39.0 92 1
30.0 87 1
24.0 98 1
23.0 98 1
8.0 0 1
42.0 91 1
31.0 99 1
36.0 95 1
41.0 93 1
42.0 95 1
33.0 93 1
42.0 98 1
33.0 96 1
23.0 99 1
36.0 97 1
31.0 96 1
34.0 93 1
40.0 96 1
35.0 95 1
39.0 98 1
34.0 96 1
27.0 99 1
28.0 94 1
40.0 90 1
29.0 96 1
37.0 98 1
33.0 95 1
42.0 91 1
36.0 99 1
34.0 90 1
31.0 98 1
34.0 94 1
42.0 92 1
32.0 92 1
41.0 93 1
37.0 98 1
39.0 92 1
35.0 99 1
27.0 98 1
37.0 93 1
35.0 98 1
37.0 97 1
33.0 96 1
31.0 95 1
35.0 91 1
30.0 94 1
34.0 97 1
41.0 90 1
42.0 96 1
42.0 94 1
33.0 94 1
28.0 97 1
33.0 94 1
35.0 95 1
28.0 96 1
34.0 91 1
36.0 93 1
33.0 99 1
40.0 93 1
9.0 0 1
32.0 99 1
26.0 99 1
25.0 98 1
39.0 97 1
27.0 98 1
34.0 99 1
30.0 96 1
38.0 97 1
40.0 88 1
38.0 95 1
40.0 86 1
37.0 94 1
25.0 99 1
33.0 96 1
36.0 98 1
35.0 97 1
39.0 94 1
42.0 96 1
27.0 95 1
42.0 97 1
38.0 99 1
26.0 99 1
25.0 99 1
38.0 91 1
39.0 92 1
26.0 98 1
35.0 98 1
36.0 99 1
38.0 98 1
35.0 97 1
36.0 94 1
36.0 97 1
42.0 93 1
29.0 98 1
41.0 98 1
42.0 90 1
33.0 98 1
34.0 98 1
37.0 98 1
35.0 97 1
39.0 93 1
40.0 97 1
42.0 95 1
32.0 97 1
32.0 94 1
41.0 93 1
35.0 97 1
26.0 97 1
35.0 98 1
38.0 96 1
37.0 94 1
37.0 94 1
38.0 95 1
38.0 99 1
39.0 97 1
37.0 99 1
40.0 87 1
24.0 98 1
39.0 99 1
26.0 97 1
32.0 94 1
34.0 96 1
40.0 93 1
35.0 96 1
34.0 95 1
27.0 95 1
37.0 92 1
37.0 93 1
26.0 99 1
39.0 93 1
30.0 98 1
24.0 99 1
37.0 96 1
39.0 96 1
31.0 96 1
41.0 98 1
34.0 94 1
41.0 91 1
40.0 91 1
33.0 97 1
29.0 96 1
40.0 96 1
34.0 94 1
27.0 96 1
39.0 96 1
38.0 99 1
40.0 91 1
25.0 98 1
39.0 89 1
40.0 93 1
38.0 88 1
25.0 98 1
40.0 95 1
37.0 97 1
42.0 94 1
37.0 92 1
36.0 94 1
34.0 97 1
33.0 94 1
30.0 96 1
38.0 91 1
35.0 99 1
36.0 99 1
36.0 96 1
42.0 89 1
41.0 94 1
38.0 92 1
27.0 99 1
35.0 99 1
34.0 94 1
38.0 92 1
37.0 97 1
28.0 96 1
40.0 91 1
37.0 93 1
37.0 91 1
37.0 98 1
35.0 95 1
31.0 96 1
39.0 90 1
33.0 93 1
41.0 95 1
39.0 95 1
42.0 91 1
35.0 91 1
26.0 98 1
37.0 96 1
37.0 93 1
41.0 95 1
33.0 97 1
37.0 95 1
22.0 97 1
23.0 99 1
30.0 98 1
40.0 93 1
37.0 98 1
31.0 98 1
38.0 96 1
32.0 95 1
30.0 97 1
36.0 99 1
38.0 97 1
41.0 94 1
41.0 98 1
30.0 95 1
33.0 95 1
41.0 93 1
31.0 99 1
32.0 98 1
42.0 94 1
36.0 95 1
24.0 99 1
38.0 95 1
37.0 95 1
37.0 99 1
42.0 100 1
32.0 97 1
32.0 95 1
27.0 98 1
30.0 93 1
37.0 94 1
42.0 91 1
41.0 97 1
29.0 98 1
40.0 97 1
35.0 96 1
34.0 94 1
39.0 93 1
39.0 91 1
39.0 98 1
40.0 93 1
41.0 92 1
38.0 94 1
41.0 86 1
36.0 93 1
41.0 92 1
41.0 97 1
28.0 99 1
39.0 99 1
26.0 99 1
35.0 94 1
41.0 96 1
39.0 92 1
34.0 95 1
34.0 96 1
40.0 92 1
29.0 97 1
29.0 97 1
38.0 95 1
23.0 95 1
32.0 96 1
40.0 94 1
40.0 95 1
30.0 97 1
42.0 98 1
39.0 97 1
30.0 96 1
40.0 94 1
40.0 96 1
36.0 94 1
32.0 95 1
30.0 97 1
42.0 92 1
40.0 97 1
35.0 95 1
35.0 93 1
