count nobl hsd
10004 0.0 7
4869 0.0 8
4858 0.0 10
4530 0.0 5
3269 0.0 8
3092 0.0 6
2611 0.0 6
2550 0.0 13
2548 0.0 4
2421 0.0 7
2350 0.0 8
2290 0.0 4
2250 0.0 7
2225 0.0 11
2088 0.0 10
1870 0.0 9
1827 0.0 5
1800 0.0 5
1666 0.0 9
1583 0.0 6
1544 0.0 7
1509 0.0 7
1501 0.0 6
1500 0.0 8
1471 0.0 6
1468 0.0 5
1437 0.0 7
1386 0.0 4
1384 0.0 10
1337 0.0 7
1272 0.0 13
1257 0.0 7
1244 0.0 7
1162 0.0 6
1159 0.0 6
1134 0.0 15
1085 0.0 7
1076 0.0 11
1048 0.0 5
1039 0.0 11
1011 0.0 8
1011 0.0 10
986 0.0 7
982 0.0 14
981 0.0 8
977 0.0 5
972 0.0 8
959 0.0 9
947 0.0 5
943 0.0 6
934 0.0 5
930 0.0 4
915 0.0 9
907 0.0 7
904 0.0 5
899 0.0 9
853 0.0 8
849 0.0 8
839 0.0 5
824 0.0 8
822 0.0 7
807 0.0 5
805 0.0 9
799 0.0 8
799 0.0 10
790 0.0 10
782 0.0 8
779 0.0 8
778 0.0 9
757 0.0 11
757 0.0 10
742 1.0 7
737 0.0 4
733 0.0 10
717 0.0 7
713 0.0 6
707 0.0 7
705 0.0 7
697 0.0 8
673 0.0 11
669 0.0 10
664 0.0 9
661 0.0 9
644 0.0 9
642 0.0 10
640 0.0 12
636 0.0 10
632 0.0 9
626 0.0 8
624 0.0 3
623 0.0 8
618 0.0 9
612 0.0 8
600 0.0 5
599 0.0 13
574 0.0 10
573 0.0 6
571 0.0 7
569 0.0 11
564 0.0 7
551 0.0 6
550 0.0 9
543 0.0 9
533 0.0 11
532 1.0 9
530 0.0 11
527 1.0 9
526 0.0 10
524 0.0 11
523 0.0 7
513 0.0 6
510 0.0 11
508 0.0 9
507 0.0 12
500 0.0 11
498 0.0 9
496 0.0 8
494 0.0 12
494 0.0 8
490 0.0 12
481 0.0 13
476 0.0 10
474 0.0 6
469 1.0 8
465 0.0 6
454 1.0 6
454 1.0 6
452 0.0 4
450 0.0 12
450 0.0 12
446 0.0 11
444 0.0 12
441 0.0 12
438 0.0 11
432 0.0 10
421 0.0 11
415 0.0 16
408 1.0 7
406 0.0 13
397 1.0 6
394 0.0 15
393 0.0 11
391 0.0 13
388 0.0 10
386 0.0 12
381 0.0 16
375 0.0 11
374 2.0 14
373 0.0 14
371 0.0 11
370 0.0 5
370 1.0 8
364 1.0 10
364 0.0 4
358 1.0 8
357 1.0 8
356 0.0 15
356 0.0 13
354 1.0 12
352 1.0 8
349 0.0 13
349 0.0 5
348 0.0 7
346 2.0 8
344 0.0 10
338 0.0 10
337 1.0 9
334 0.0 14
332 2.0 9
329 0.0 15
327 0.0 11
324 0.0 9
321 1.0 9
318 0.0 14
316 2.0 9
314 1.0 13
314 0.0 16
313 0.0 6
311 0.0 14
310 0.0 12
310 2.0 11
310 0.0 12
308 0.0 6
308 1.0 11
306 0.0 12
305 0.0 13
305 0.0 14
303 1.0 8
297 0.0 14
297 1.0 10
295 0.0 13
294 0.0 12
293 0.0 7
291 1.0 9
290 0.0 14
289 1.0 7
288 0.0 13
288 1.0 9
286 0.0 13
285 0.0 12
285 1.0 7
284 2.0 12
283 1.0 9
281 1.0 11
280 0.0 17
279 0.0 14
278 1.0 9
278 1.0 6
277 1.0 11
276 0.0 6
275 0.0 9
274 1.0 8
274 1.0 8
272 0.0 17
268 1.0 8
267 0.0 15
267 1.0 10
264 1.0 8
264 0.0 16
263 0.0 12
263 0.0 12
263 0.0 14
263 0.0 5
262 1.0 9
262 0.0 13
260 0.0 10
259 0.0 13
254 1.0 8
252 0.0 16
250 1.0 5
250 1.0 10
249 2.0 8
248 1.0 9
247 1.0 13
246 2.0 10
245 1.0 6
245 0.0 16
244 2.0 7
244 2.0 11
243 0.0 15
242 1.0 11
242 0.0 14
242 0.0 13
241 2.0 11
240 0.0 12
237 1.0 6
236 0.0 15
235 2.0 9
235 2.0 14
234 1.0 4
233 2.0 11
233 1.0 10
231 0.0 11
229 0.0 19
229 2.0 10
229 0.0 17
228 2.0 9
228 1.0 7
228 1.0 4
228 1.0 11
226 1.0 6
226 1.0 10
226 2.0 9
225 1.0 11
225 1.0 6
224 2.0 9
224 2.0 9
223 1.0 7
222 2.0 9
218 1.0 14
216 2.0 11
216 2.0 12
216 2.0 10
215 0.0 13
212 2.0 8
211 1.0 7
210 2.0 8
210 1.0 15
209 2.0 8
208 0.0 14
208 1.0 7
207 1.0 12
207 0.0 17
204 2.0 9
203 2.0 9
200 0.0 14
200 2.0 8
199 0.0 17
199 2.0 7
199 2.0 13
199 0.0 15
198 1.0 12
197 0.0 14
197 2.0 7
196 0.0 15
194 2.0 10
194 0.0 15
194 1.0 7
193 1.0 13
193 1.0 12
193 0.0 15
193 2.0 11
192 2.0 12
190 0.0 20
190 2.0 10
189 2.0 11
189 0.0 16
188 1.0 11
188 2.0 5
187 0.0 15
187 0.0 16
185 1.0 10
185 2.0 13
184 1.0 10
184 0.0 17
184 1.0 13
184 0.0 8
183 3.0 11
182 2.0 8
181 2.0 8
179 0.0 16
179 2.0 6
179 0.0 18
178 0.0 17
177 1.0 10
177 1.0 12
177 2.0 8
175 1.0 7
173 1.0 5
173 1.0 11
173 2.0 7
172 0.0 18
172 1.0 14
171 1.0 12
171 1.0 12
171 2.0 10
171 2.0 11
170 1.0 9
170 0.0 16
169 2.0 17
168 1.0 10
168 1.0 6
164 1.0 5
164 1.0 9
164 2.0 10
164 2.0 13
164 2.0 6
164 1.0 8
163 2.0 7
163 0.0 19
162 2.0 14
161 0.0 17
161 3.0 12
160 0.0 18
159 0.0 18
158 2.0 6
158 2.0 14
158 2.0 11
157 1.0 10
155 1.0 13
155 3.0 12
153 2.0 12
153 1.0 13
152 1.0 6
152 0.0 15
152 1.0 7
152 1.0 14
152 1.0 7
151 1.0 11
151 3.0 12
151 2.0 10
151 2.0 6
149 0.0 18
149 2.0 6
148 0.0 15
148 0.0 14
148 2.0 12
147 2.0 10
146 1.0 12
145 2.0 13
145 0.0 10
145 2.0 13
145 2.0 6
145 2.0 12
145 1.0 5
144 2.0 7
143 2.0 6
143 1.0 12
143 0.0 18
141 0.0 20
141 0.0 6
140 3.0 12
139 2.0 10
139 1.0 9
138 3.0 14
137 3.0 9
137 2.0 13
137 1.0 13
137 0.0 21
135 3.0 10
135 2.0 13
135 3.0 10
135 3.0 9
135 3.0 9
134 0.0 16
134 1.0 15
134 3.0 10
133 1.0 8
132 2.0 12
132 3.0 9
132 2.0 14
132 1.0 10
131 0.0 19
131 2.0 8
131 1.0 15
131 3.0 16
130 2.0 6
129 1.0 15
129 0.0 18
129 2.0 17
128 3.0 12
128 2.0 13
128 2.0 16
127 2.0 12
126 1.0 14
126 3.0 11
126 1.0 16
126 1.0 11
125 0.0 17
125 0.0 17
125 2.0 12
124 0.0 20
123 2.0 7
122 1.0 15
122 0.0 16
122 0.0 19
122 2.0 14
122 1.0 10
120 2.0 8
120 3.0 12
119 0.0 19
119 3.0 9
118 3.0 13
118 3.0 10
118 1.0 15
117 4.0 13
117 4.0 13
117 1.0 15
117 2.0 11
117 3.0 10
116 2.0 7
116 2.0 13
116 0.0 22
116 3.0 11
116 2.0 16
115 0.0 19
115 1.0 7
115 0.0 4
114 3.0 12
114 4.0 13
114 3.0 13
114 3.0 12
114 2.0 16
114 0.0 18
113 3.0 14
113 2.0 19
113 0.0 4
113 2.0 13
113 0.0 18
112 1.0 14
112 2.0 14
111 2.0 7
110 1.0 16
110 3.0 12
110 0.0 20
109 2.0 16
109 1.0 14
109 1.0 16
109 2.0 14
109 1.0 13
108 3.0 8
108 4.0 13
107 3.0 10
107 0.0 21
106 3.0 8
106 4.0 13
106 2.0 15
106 1.0 17
106 3.0 11
106 3.0 19
106 3.0 7
105 3.0 8
105 2.0 12
104 1.0 15
104 2.0 7
104 4.0 11
104 3.0 15
104 2.0 15
103 1.0 12
103 1.0 7
103 2.0 15
102 2.0 14
102 2.0 15
102 3.0 11
102 4.0 12
102 1.0 5
102 3.0 10
101 1.0 16
101 3.0 10
100 4.0 9
99 1.0 14
99 4.0 9
99 3.0 11
99 5.0 14
99 2.0 15
99 3.0 10
98 3.0 9
98 1.0 6
98 0.0 24
98 3.0 7
97 1.0 13
97 3.0 15
97 3.0 7
96 4.0 11
96 0.0 21
96 1.0 5
95 4.0 12
95 3.0 8
94 5.0 12
94 4.0 10
94 3.0 7
94 3.0 13
93 3.0 8
93 2.0 15
93 1.0 16
92 3.0 10
92 3.0 14
92 1.0 13
92 4.0 11
92 3.0 15
91 3.0 15
91 1.0 17
91 2.0 18
91 0.0 22
91 2.0 16
89 3.0 11
89 3.0 15
88 1.0 17
88 4.0 10
88 3.0 14
88 1.0 18
88 0.0 20
87 2.0 18
87 1.0 14
87 1.0 16
86 4.0 9
86 4.0 13
86 4.0 12
86 3.0 16
86 1.0 15
85 3.0 16
84 3.0 9
83 1.0 7
83 0.0 21
83 1.0 5
83 1.0 5
83 3.0 13
83 3.0 8
82 3.0 22
82 4.0 15
82 0.0 22
82 2.0 17
82 3.0 11
81 3.0 9
81 4.0 8
81 3.0 11
81 4.0 14
81 3.0 13
81 3.0 13
80 1.0 14
80 4.0 12
80 4.0 11
80 2.0 15
80 0.0 21
79 1.0 10
79 3.0 13
79 4.0 11
79 3.0 14
78 5.0 12
78 4.0 15
78 5.0 13
77 2.0 4
77 3.0 17
77 3.0 14
77 5.0 10
77 0.0 18
77 1.0 18
77 4.0 14
76 0.0 21
76 0.0 23
76 2.0 16
76 2.0 18
75 5.0 12
75 3.0 15
74 2.0 17
74 2.0 17
74 3.0 5
74 0.0 22
74 1.0 4
73 4.0 16
73 0.0 25
73 5.0 16
73 4.0 11
72 3.0 8
72 3.0 14
72 1.0 19
72 5.0 14
71 4.0 16
71 0.0 23
71 4.0 17
71 3.0 15
71 4.0 10
71 2.0 21
70 3.0 13
70 3.0 18
70 1.0 20
70 1.0 18
70 4.0 14
69 4.0 11
69 1.0 17
69 3.0 14
69 3.0 9
69 0.0 22
69 3.0 16
68 3.0 7
68 4.0 12
68 4.0 9
67 6.0 9
67 4.0 9
67 1.0 18
67 3.0 6
67 3.0 16
66 0.0 19
66 4.0 11
66 1.0 5
66 2.0 16
66 5.0 16
65 0.0 20
65 1.0 18
65 5.0 11
65 5.0 11
65 0.0 21
64 4.0 15
64 3.0 17
64 2.0 5
64 2.0 5
64 4.0 10
64 3.0 8
64 2.0 5
64 0.0 21
64 0.0 23
64 4.0 9
63 6.0 13
63 1.0 16
63 5.0 15
63 2.0 18
63 4.0 7
63 5.0 12
62 0.0 22
62 0.0 20
62 3.0 13
62 5.0 12
61 4.0 10
61 2.0 19
60 4.0 15
60 2.0 21
60 4.0 16
60 6.0 10
60 3.0 6
60 3.0 18
59 4.0 10
59 5.0 11
59 2.0 18
59 0.0 26
59 5.0 16
58 4.0 14
58 0.0 24
58 5.0 13
58 3.0 14
58 2.0 5
58 0.0 25
58 5.0 16
58 4.0 12
57 1.0 19
57 5.0 13
57 5.0 17
57 4.0 14
56 5.0 13
56 2.0 20
56 2.0 19
56 4.0 5
56 0.0 23
56 4.0 10
55 4.0 15
55 1.0 14
55 2.0 17
55 5.0 18
55 5.0 14
55 3.0 22
54 4.0 17
54 3.0 6
54 5.0 17
54 5.0 13
54 5.0 15
54 2.0 20
54 1.0 20
54 8.0 10
53 6.0 12
53 4.0 14
53 8.0 9
53 4.0 15
53 2.0 17
53 4.0 8
52 5.0 10
52 1.0 20
52 3.0 16
52 3.0 17
52 3.0 20
52 5.0 15
52 4.0 17
52 2.0 5
52 1.0 20
52 3.0 6
52 0.0 23
51 4.0 9
51 5.0 19
51 1.0 18
51 5.0 12
51 4.0 16
51 5.0 15
51 0.0 22
51 3.0 18
50 8.0 17
50 3.0 17
50 5.0 18
50 1.0 20
50 8.0 9
50 6.0 12
50 0.0 24
50 1.0 17
50 7.0 10
50 1.0 17
50 4.0 9
50 5.0 11
50 3.0 16
49 5.0 15
49 5.0 17
49 1.0 19
49 2.0 20
49 1.0 19
49 3.0 17
49 1.0 17
49 2.0 21
49 1.0 5
49 6.0 12
48 3.0 18
48 5.0 11
48 2.0 19
48 6.0 13
48 6.0 14
48 4.0 14
48 5.0 9
48 7.0 13
48 3.0 18
47 1.0 21
47 6.0 11
47 4.0 16
47 2.0 5
47 6.0 13
47 3.0 18
47 6.0 17
46 4.0 19
46 7.0 7
46 6.0 16
46 4.0 17
46 5.0 9
46 1.0 18
46 5.0 18
46 6.0 13
46 1.0 4
46 4.0 17
46 5.0 16
46 4.0 14
46 0.0 26
46 2.0 4
46 6.0 17
45 0.0 23
45 6.0 11
45 4.0 7
45 3.0 20
45 0.0 25
45 6.0 10
44 4.0 9
44 4.0 7
44 1.0 19
44 4.0 10
44 4.0 19
44 0.0 20
44 5.0 13
44 4.0 19
44 4.0 19
44 3.0 7
43 9.0 11
43 7.0 13
43 0.0 27
43 6.0 16
43 2.0 21
43 3.0 19
43 5.0 19
43 6.0 17
43 7.0 16
42 2.0 19
42 7.0 13
42 2.0 18
42 0.0 25
42 2.0 22
42 6.0 11
42 5.0 9
42 4.0 12
42 4.0 18
41 5.0 16
41 6.0 12
41 6.0 14
41 6.0 14
41 0.0 24
40 5.0 8
40 4.0 18
40 6.0 5
40 3.0 20
40 1.0 20
40 7.0 15
40 5.0 10
40 6.0 11
40 4.0 8
40 3.0 19
40 3.0 7
40 2.0 19
39 2.0 18
39 5.0 14
39 0.0 25
39 3.0 21
39 3.0 19
39 6.0 15
38 6.0 14
38 3.0 22
38 6.0 14
38 1.0 4
38 3.0 21
38 2.0 20
38 4.0 8
38 5.0 10
38 5.0 14
38 3.0 21
38 11.0 15
38 5.0 5
38 6.0 14
38 2.0 23
37 7.0 14
37 1.0 21
37 4.0 17
