count nobl midx
176055 0.0 99
29053 1.0 99
19368 2.0 99
9624 3.0 99
5426 4.0 99
3026 5.0 99
1729 6.0 99
957 7.0 99
627 8.0 99
301 9.0 100
182 10.0 100
91 11.0 100
72 2.0 95
68 3.0 98
56 12.0 100
49 2.0 98
37 0.0 99
36 0.0 95
33 11.0 98
32 0.0 97
31 13.0 99
31 3.0 99
30 0.0 97
29 5.0 98
27 12.0 96
26 0.0 97
26 11.0 99
26 4.0 97
25 0.0 98
24 0.0 95
24 0.0 95
24 0.0 98
24 0.0 97
23 0.0 97
23 0.0 99
23 14.0 99
22 1.0 97
22 0.0 99
22 0.0 99
22 0.0 96
22 7.0 98
21 0.0 98
21 0.0 99
21 1.0 96
21 0.0 99
21 3.0 99
21 0.0 98
21 5.0 99
21 2.0 99
20 0.0 99
20 0.0 95
20 7.0 99
20 0.0 99
20 4.0 99
20 0.0 99
20 0.0 97
20 1.0 99
20 0.0 97
20 0.0 95
20 0.0 98
20 0.0 99
19 0.0 97
19 0.0 96
19 0.0 99
19 0.0 99
19 0.0 97
19 0.0 94
19 2.0 98
19 0.0 99
19 0.0 97
18 2.0 99
18 0.0 99
18 0.0 98
18 0.0 99
18 0.0 99
18 1.0 97
18 0.0 93
18 1.0 99
18 0.0 98
18 0.0 98
18 3.0 98
18 0.0 97
18 5.0 99
18 0.0 98
18 0.0 95
18 0.0 96
18 0.0 98
17 2.0 99
17 2.0 99
17 0.0 99
17 1.0 98
17 2.0 98
17 0.0 97
17 0.0 96
17 5.0 99
17 4.0 99
17 6.0 99
17 0.0 97
17 0.0 99
17 0.0 96
17 0.0 99
16 0.0 99
16 0.0 95
16 5.0 98
16 1.0 97
16 0.0 96
16 0.0 97
16 1.0 96
16 4.0 98
16 0.0 99
16 0.0 98
16 0.0 98
16 0.0 99
16 3.0 99
16 0.0 94
16 1.0 99
16 0.0 97
15 0.0 99
15 1.0 98
15 0.0 97
15 4.0 99
15 0.0 93
15 6.0 94
15 0.0 97
15 1.0 99
15 4.0 98
15 0.0 96
15 0.0 98
15 0.0 90
15 0.0 98
15 2.0 98
14 0.0 97
14 0.0 94
14 2.0 96
14 0.0 99
14 0.0 98
14 1.0 97
14 0.0 96
14 0.0 98
14 7.0 98
14 2.0 99
14 1.0 98
14 5.0 99
14 0.0 94
14 2.0 97
14 3.0 98
14 2.0 99
14 1.0 97
14 0.0 90
