count robl cc
79446 0.0 1
51482 0.0 2
21086 0.0 3
10575 0.0 4
5819 0.0 5
3306 0.0 6
2615 0.49999533647344124 1
2441 0.3333333333333333 1
2254 0.0 7
1934 0.25 1
1801 0.19999729147763437 2
1742 0.25 2
1498 0.19999023087694165 1
1395 0.16666958067430138 2
1350 0.0 8
1243 0.16666666666666666 1
1054 0.3333333333333333 2
1001 0.14282939282939283 1
932 0.14284436950745963 2
897 0.12504310849601605 3
856 0.0 9
835 0.25 3
811 0.1666716790472467 3
795 0.4 1
724 0.40008517687712225 2
721 0.2 3
712 0.2857197011543552 1
691 0.1111111111111111 3
678 0.1250815138589033 1
656 0.1428268970189702 3
642 0.1250251231032057 2
595 0.0 10
555 0.6666666666666666 1
552 0.2857142857142857 2
543 0.1 3
534 0.10001440507058484 1
497 0.11113666123726486 1
496 0.28571448005870753 3
495 0.33329829829829827 3
477 0.22223218070586062 1
462 0.09089172859226335 3
446 0.0 11
445 0.10001152405646789 4
440 0.09106726884968865 2
432 0.11112580834803057 2
429 0.09997281461301313 2
427 0.22225443411984924 3
419 0.090864421272957 1
418 0.16670556657719685 4
412 0.5 2
411 0.25 4
383 0.2 4
362 0.1111111111111111 4
358 0.12501790574416272 4
358 0.1818242768698517 1
341 0.08366892511352539 1
331 0.22224421758762952 2
329 0.08355861383481311 3
323 0.14285714285714285 4
320 0.13300891495041953 5
314 0.08366926882573517 4
314 0.0 12
300 0.18188613530718795 2
300 0.18180264180264183 3
298 1.0 1
292 0.25 5
288 0.4286730127762736 1
287 0.07710265344411686 3
284 0.4 3
272 0.07722471124077161 4
264 0.0 13
255 0.09083569256579638 4
255 0.08379388888340294 5
255 0.1818280446763419 4
253 0.1538651565825479 1
252 0.3333333333333333 4
247 0.13342954135023474 1
241 0.07155280108422503 3
237 0.3 3
236 0.0715256315194306 4
235 0.30002578981302386 1
233 0.37494039103481164 3
229 0.2221649004153797 4
221 0.14285714285714285 5
220 0.16666666666666666 5
219 0.15389039233217316 3
218 0.12519208004188767 5
218 0.29999999999999993 2
218 0.07708455595587417 1
216 0.37501564064064064 1
213 0.2 5
208 0.15380132687824996 4
200 0.13364441499022892 3
198 0.08346257041909215 2
190 0.13278978060786423 4
188 0.375 2
186 0.75 1
182 0.07726765137696312 5
180 0.06679438058748403 3
180 0.272726248976249 3
178 0.11111111111111109 5
173 0.07720214832323137 2
172 0.42860754008377866 2
171 0.27269853585643056 1
171 0.16673798316930538 6
166 0.0716672341709074 1
165 0.23010928465473923 1
164 0.06683487524530417 4
164 0.1538341612655637 2
164 0.6 1
164 0.11786774440289505 1
164 0.23048151035955916 3
163 0.10001573069057733 5
162 0.07159705194935546 2
162 0.06682276145877679 5
161 0.06256261270286516 4
160 0.21478774970622797 4
158 0.09080755432207406 5
158 0.0 14
157 0.5 3
156 0.15387178681080504 10
154 0.22228987001066075 5
152 0.21494449254746736 1
149 0.08061990637758917 8
149 0.06255412426932236 3
148 0.07168448936741618 6
148 0.2727272727272727 2
146 0.0 16
146 0.07175472928897586 5
144 0.17588479482247674 4
143 0.06674704605739089 2
142 0.1891907541044297 1
141 0.25 6
141 0.04873353596757852 5
141 0.17583016778755267 5
137 0.23043914722746842 2
135 0.15384615384615385 5
132 0.06407420984033886 7
130 0.21497527149701062 3
129 0.11727073655938225 5
128 0.057175564482549776 2
127 0.18185730556223717 5
127 0.2857142857142857 4
127 0.052665180721542096 4
125 0.05888057040998217 4
124 0.06256503642039542 5
124 0.05035067507478373 3
123 0.058982942770604174 5
122 0.03653032843253307 6
119 0.04593695185584115 4
119 0.2 6
117 0.3000287000287 4
117 0.23076923076923078 4
116 0.06690447879508522 1
116 0.27270609167160886 4
116 0.045908863749943206 7
116 0.054131036662797095 1
115 0.0 15
114 0.17470133809914065 1
114 0.11764705882352941 4
113 0.44385700196058486 1
113 0.13347944374194173 2
112 0.21444999589409527 2
111 0.36396540080750606 3
110 0.3748508898508898 5
110 0.0418102766798419 6
109 0.3333333333333333 5
109 0.3636945648021952 1
108 0.1893937052427196 2
108 0.0 19
108 0.22991915491915493 5
107 0.12518118800886066 6
106 0.0 17
105 0.5713694173321502 1
104 0.10530963156870597 1
104 0.21481918492788057 5
104 0.181177754431803 6
103 0.18719569083646756 4
102 0.05560224089635854 5
102 0.0297430823571791 9
102 0.046579237755708346 6
102 0.23589972624756816 1
102 0.029162279301658725 7
102 0.10550690085226222 4
99 0.10550949162564406 5
99 0.15909280479738883 1
98 0.30680499624599006 4
98 0.051119893005093814 7
97 0.14285714285714285 6
97 0.11775167625986305 2
96 0.1111111111111111 6
96 0.1310954612589661 7
95 0.10008097165991903 6
95 0.05573934837092732 6
95 0.0611060545533231 8
95 0.30761811112951337 3
94 0.3073522470313437 1
93 0.17596174804980272 3
92 0.1054875237142656 6
92 0.1513460975417497 7
92 0.3573465072726685 1
92 0.15837559589836384 4
92 0.04022017837235228 7
91 0.13187527022324394 6
91 0.09550498768774592 5
91 0.06694454970317039 6
91 0.050784557315189716 2
90 0.07766576698155646 6
90 0.1172333548804137 3
90 0.0626568100358423 1
89 0.38269672605429383 1
88 0.1430631868131868 17
88 0.035771898918450645 8
87 0.1747513305068706 6
87 0.1433954574260318 7
86 0.2945653742664105 1
86 0.19999999999999998 7
85 0.0 20
85 0.0 18
85 0.23525648030109877 4
85 0.18734911381970207 5
85 0.05557422969187675 4
85 0.1494105485041429 5
84 0.15765977443609022 5
84 0.20946339855475649 5
84 0.05050665346144899 9
83 0.11847628865346795 6
83 0.149104110309621 6
83 0.1593412497325603 6
83 0.05884500569121405 3
83 0.06274290711232025 6
83 0.05903829220625819 6
82 0.23675792302900442 3
82 0.044418201099007036 5
81 0.37482853223593965 4
81 0.4438521533803038 2
81 0.03031264676320548 8
81 0.07110669081512928 7
80 0.05691283720695485 11
80 0.14937837243791333 1
80 0.20896092443329417 6
79 0.09090909090909091 6
79 0.06255568135417053 2
79 0.23887306981024709 5
79 0.18743347778157904 3
78 0.4289510006901311 3
78 0.08176934019039282 7
78 0.055682055682055684 7
78 0.05261614775784816 5
77 0.19172913682298867 5
77 0.0349972907894408 5
77 0.22189754689754687 6
77 0.04890196911102834 1
77 0.3154307812456116 5
77 0.10565160617014388 7
76 0.18730408039618565 6
76 0.035564125831820934 7
76 0.15679466844923462 8
76 0.18474696759842188 7
74 0.10536982932381961 3
73 0.05570776255707762 8
73 0.2360906294745728 6
73 0.1185898817808568 7
73 0.08314821670986054 6
73 0.050001713399641906 4
72 0.16666666666666666 7
72 0.25 7
72 0.04306443053725662 8
72 0.1007865496181033 9
72 0.2097114570141553 4
71 0.26695557963163596 1
71 0.08870226707840627 8
70 0.27706636562671044 1
70 0.2147704653915834 6
70 0.2352484151555359 5
70 0.31444972738435645 3
70 0.11217687074829931 8
70 0.05885626978063952 1
70 0.44342460317460314 3
69 0.10022296544035675 8
69 0.09532393742340549 4
69 0.095499795974217 6
69 0.31621749486590406 2
68 0.13685595746954773 5
68 0.09532222113865214 1
68 0.36371079213184476 5
68 0.6666666666666666 2
67 0.052716502834334725 6
67 0.1056434851299006 8
67 0.09551190671907406 8
66 0.3000508773236046 5
66 0.0499095078363371 6
66 0.132350583512867 10
66 0.17568235076503003 2
65 0.26688246896391693 5
65 0.04028599605522683 5
65 0.15421597633136094 6
64 0.030847440813752187 10
64 0.22842711723760112 6
64 0.12530048076923078 8
63 0.1490985554113244 3
63 0.04890216249101267 8
63 0.13700007665524908 6
63 0.2857142857142857 5
62 0.1491181776575399 8
62 0.03991521918941274 4
62 0.20873762248294322 7
62 0.0951601988286495 7
62 0.04395905053338433 3
62 0.06451612903225806 27
62 0.1309830682909355 9
62 0.17571868362897186 8
61 0.10033627574611181 7
61 0.26676062606631556 3
61 0.0686344181539207 8
61 0.1917164009972048 6
61 0.07586287422352996 7
61 0.14907540251873105 4
60 0.12489837398373985 7
60 0.12489958439661325 18
60 0.3333333333333333 6
60 0.0 23
60 0.5565138888888889 1
59 0.4169121735354015 1
59 0.15899420355004365 3
59 0.03773422564188198 9
59 0.09090909090909093 7
59 0.7996166263115416 1
58 0.1917853197764481 7
58 0.5 4
57 0.043738298314957354 1
57 0.21560621589225706 7
57 0.055583402951824 3
57 0.02782589869039631 11
57 0.23684463479061535 2
56 0.19137330283643647 4
56 0.1369236315357005 7
56 0.2612290381260053 5
56 0.2096280534347685 3
56 0.11111111111111109 7
56 0.21058327637275004 1
55 0.09169502511748501 9
55 0.2727272727272727 5
55 0.2667708761826409 4
54 0.05805204236576786 9
54 0.16654447097079833 10
54 0.40025291495198906 4
54 0.38610082986349153 3
54 0.14285714285714285 8
54 0.4712292175221671 2
54 0.26260421110557963 1
53 0.035681410567552405 4
53 0.1447567112952457 9
53 0.02942910726322003 6
52 0.35715349166962074 3
52 0.2615022582709155 4
52 0.11915313763233419 8
52 0.30749935683046054 2
52 0.1912353396534538 3
51 0.45415075120957477 1
51 0.6001705029838021 2
51 0.0758607299496826 8
50 0.025867476484934766 8
50 0.27810670498084294 4
50 0.1604052310374891 5
50 0.07112259201409747 9
50 0.240260151816754 7
50 0.3853471804804203 6
50 0.08693459992692729 6
50 0.4 5
49 0.2723704866562009 6
49 0.1316009418456982 8
49 0.07743782533256217 9
49 0.025877044628845734 10
49 0.5715169184556939 2
49 0.08449723014940407 9
49 0.1729210147823763 7
49 0.2655072812180071 6
49 0.27598895357516046 7
48 0.16637597963817477 8
48 0.286086625333495 7
48 0.18209732518943045 9
48 0.26691804927099044 2
48 0.2934677581839333 6
48 0.4004963482828066 7
48 0.3641818403331561 4
47 0.18497969617790447 8
47 0.2936729828055679 4
47 0.4162988823748984 2
47 0.3180074234101933 6
47 0.4083827007403352 1
47 0.1604978369982163 9
47 0.277950497269096 5
47 0.3854964030727213 2
46 0.2392474524408557 4
46 0.19179747940480674 8
46 0.856426182513139 1
46 0.3635814668423364 2
45 0.04940736770005062 10
45 0.36843404808317093 1
45 0.2857142857142857 6
45 0.31356307435254804 1
45 0.36366188197767146 7
44 0.0 24
44 0.09543987311862016 3
44 0.11811459485256277 9
44 0.3559445772443875 5
44 0.2 8
43 0.027392530162236056 12
43 0.03188358143150023 1
43 0.2778121937093469 3
43 0.0 21
43 0.11049305119072561 9
43 0.2939213152961443 3
42 0.2932699065289198 5
42 0.15258144633144632 9
42 0.061154031505075146 10
42 0.0870817892374341 7
42 0.3076593571346195 5
42 0.36845088912758084 2
42 0.0502611153567149 12
42 0.7150415721844293 1
42 0.037901523611704235 11
41 0.06527668502491477 9
41 0.2618211650512925 2
41 0.26038351641301105 8
41 0.13685590935380676 4
41 0.0371869973467955 3
41 0.17423101614375602 9
41 0.26150168863360695 3
40 0.15895360895700456 2
40 0.38635534372543917 4
40 0.12267385967690844 10
40 0.0 22
40 0.3797208538587849 3
39 0.09779576136775193 10
39 0.35748285902132054 4
39 0.11518737672583826 6
39 0.4705299067074159 1
39 0.03081072213756127 3
39 0.31697216216037477 7
38 0.25 8
38 0.1773409768765806 7
38 0.028095602031360547 5
38 0.15763504155124652 7
38 0.20709073452080817 1
37 0.03811756811756812 1
37 0.10552580777478997 10
37 0.3000088540629081 6
37 0.12442320369149637 9
37 0.036637148706114224 10
37 0.10545178593444644 2
36 0.41573435594333424 4
36 0.19016848771553072 9
36 0.05430066658136833 10
36 0.026670810889163666 13
36 0.3478253912791167 1
36 0.13793103448275862 24
36 0.2965415060365642 7
36 0.03814520870076425 2
36 0.13700168297869447 8
35 0.3497337907288079 4
35 0.20855079140282515 8
35 0.22897765828641406 7
35 0.16059085813924523 7
35 0.41582732416510576 3
35 0.08367588351439283 10
35 0.6251020408163266 1
35 0.12360810617953474 11
35 0.17995407665590155 10
35 0.3124173117522871 4
35 0.259492817637478 7
35 0.24036139145769403 8
34 0.22700935212794796 4
34 0.22230989956958394 7
34 0.0490355425282491 11
34 0.1336412276274039 11
34 0.0435848252344416 2
34 0.3333333333333333 7
34 0.35737833101154903 9
34 0.13704122248746997 9
34 0.2782247295469912 2
34 0.14906844772023267 2
33 0.12025065351007701 5
33 0.2162295966312403 8
33 0.05930967428293632 7
33 0.3512464970000908 3
32 0.11514423076923078 7
32 0.23240074876104289 8
32 0.05303392967866652 8
32 0.0907733121657754 10
32 0.07604343243584258 10
32 0.11390100912159735 10
32 0.31730643473984294 4
31 0.3066224332002733 6
31 0.7695458663200598 1
31 0.04312252964426878 10
31 0.2350011651519691 7
31 0.2155071969280227 9
31 0.14183749139255256 10
31 0.22416227835062383 8
31 0.2665391263014353 7
31 0.059727897244730196 12
31 0.03642599563838216 12
31 0.2 9
30 0.428021978021978 4
30 0.2781361749680716 6
30 0.4437581699346405 4
30 0.4126038286979064 8
30 0.04379117259552042 9
30 0.11401996696114343 11
30 0.12033365008974764 4
30 1.5 1
30 0.09699270509410164 11
30 0.24082144840765532 6
30 0.07348322603789383 11
29 0.0 27
29 0.20834231777040907 10
29 0.2593899749483248 6
29 0.19058530513679295 11
29 0.2709421985284054 8
29 0.34913479440006745 6
28 0.3010691238952109 8
28 0.34791533663113494 5
28 0.26192767779693266 10
28 0.16852868986114208 11
28 0.31234605911330054 2
28 0.06978653530377668 10
28 0.5 6
28 0.45422077922077925 2
28 0.20898039342778854 2
28 0.41621827677907364 5
28 0.31978133042073137 1
27 0.349406598052486 2
27 0.21832192575682619 10
27 0.49951820092305405 7
