count robl coco
79474 0.0 0
45084 0.0 1
18970 0.0 2
14024 0.0 3
6730 0.0 4
3477 0.0 5
2881 0.0 6
2584 0.5000002420243302 0
2450 0.3333333333333333 0
2034 0.0 7
1930 0.25 0
1677 0.20000038974047182 1
1673 0.2500081010840126 1
1513 0.19999032772878955 0
1288 0.0 8
1260 0.16666666666666666 0
1122 0.1666518997360854 1
1069 0.33330730719714374 1
1021 0.0 9
1007 0.14284411094509417 0
796 0.39996121528123646 0
775 0.0 10
756 0.14291818805209527 1
750 0.25 2
743 0.40009969592742134 1
733 0.28564499913336705 0
727 0.16661789314024067 2
699 0.12508365024970178 0
681 0.12505086059157394 2
671 0.19999209329477222 2
664 0.0 11
600 0.14301363996366387 2
587 0.2856962784289404 1
554 0.6666666666666666 0
546 0.09997114689059251 0
546 0.10034320130356861 2
505 0.11113625648279113 0
504 0.12501600102406554 1
489 0.09140142857663608 0
484 0.2222246312455793 0
469 0.12506701691824465 3
464 0.0 12
460 0.11109805457631544 3
459 0.16666666666666666 3
438 0.5 1
431 0.3333333333333333 2
420 0.09109581332533014 3
412 0.11106805487873449 2
402 0.25001776830135036 3
375 0.14290804885639893 3
370 0.18183317920160028 0
366 0.2857089182611915 2
353 0.11107562439007197 1
352 0.0836687310192745 0
348 0.10037226235709527 1
336 0.10080239390623486 3
336 0.1528864268447602 0
334 0.0 13
333 0.2000176647235471 3
318 0.2222382131827506 2
316 0.09123903445152515 2
312 0.16651996289093063 4
311 0.2218826743622622 3
294 1.0 0
289 0.42867266127383474 0
286 0.399975024975025 2
278 0.09993648850211123 4
274 0.08352024668273478 2
270 0.13338207105192035 5
260 0.18187068966421194 2
258 0.09114399812074231 1
256 0.22223666064628134 1
254 0.30022926976025227 0
253 0.13341580301495393 0
252 0.0 14
247 0.2500270289546482 4
245 0.0 15
236 0.12500066249032762 4
235 0.2737344834997073 0
233 0.11113836092376864 4
229 0.36283213036462925 0
227 0.0541970169607545 6
227 0.07710526315789473 0
226 0.15453452491849093 4
225 0.3333333333333333 3
224 0.09138119026019499 4
222 0.37495265535806077 0
222 0.08365473077576485 4
219 0.20035592546915454 4
219 0.14324468820580663 4
217 0.18180743987195602 1
216 0.1541288375773025 2
210 0.29955093869904753 1
208 0.07151760276760276 2
206 0.0 16
204 0.29952865583099775 2
202 0.374993805686875 2
199 0.05588006667864159 2
197 0.1819552243009363 3
194 0.08367162545781999 3
190 0.059185238775022055 5
190 0.15370828599090938 11
186 0.10116148580897304 5
185 0.2227345740347314 4
184 0.75 0
184 0.06084209375449785 3
182 0.18190925883233577 4
180 0.2855834859584859 3
179 0.37504816027740323 1
175 0.2735422121629018 2
175 0.29919689896160484 3
174 0.4288926965088884 1
