robl nobl count
0.7857142857142857 22 1
0.9230769230769231 12 1
1.5454545454545454 17 1
0.7391304347826086 17 1
0.5135135135135135 19 1
0.9 9 2
1.0 8 2
1.1428571428571428 16 2
0.5714285714285714 20 2
0.47368421052631576 18 4
0.4444444444444444 16 4
0.35714285714285715 15 4
0.34146341463414637 14 6
0.34285714285714286 12 7
0.5416666666666666 13 7
0.0 0 9
0.47619047619047616 10 15
0.4074074074074074 11 16
0.20512820512820512 8 35
0.3181818181818182 7 35
0.32142857142857145 9 36
0.14634146341463414 6 46
0.25 5 48
0.13043478260869565 3 51
0.17391304347826086 4 55
0.125 2 58
0.08333333333333333 1 93
