loc hse count
39.0 64546 1
41.0 46455 1
41.0 85022 1
40.0 144563 1
40.0 93760 1
42.0 48853 1
33.0 98136 1
35.0 131594 1
33.0 111982 1
39.0 484043 1
42.0 523094 1
38.0 74525 1
40.0 43201 1
39.0 83514 1
23.0 379639 1
37.0 188513 1
37.0 112493 1
22.0 75115 1
31.0 103367 1
42.0 163334 1
39.0 74408 1
30.0 96797 1
23.0 95769 1
33.0 82998 1
35.0 238666 1
32.0 41030 1
34.0 87126 1
22.0 135544 1
41.0 50252 1
33.0 122758 1
41.0 63446 1
20.0 117242 1
25.0 15327 1
32.0 54259 1
41.0 189841 1
27.0 54849 1
36.0 39860 1
41.0 139153 1
22.0 90819 1
35.0 112689 1
33.0 53813 1
27.0 142764 1
34.0 136638 1
31.0 115410 1
25.0 94193 1
39.0 100730 1
40.0 98976 1
35.0 102749 1
38.0 169071 1
38.0 148958 1
30.0 97557 1
38.0 66985 1
23.0 69732 1
41.0 165156 1
33.0 112086 1
34.0 56176 1
34.0 54030 1
34.0 155700 1
41.0 115604 1
42.0 74663 1
42.0 172391 1
28.0 130479 1
41.0 86836 1
42.0 114570 1
33.0 120645 1
16.0 103697 1
25.0 100508 1
28.0 117543 1
14.0 81134 1
40.0 53677 1
33.0 104649 1
41.0 108420 1
22.0 82245 1
35.0 786492 1
32.0 74781 1
40.0 101102 1
34.0 179151 1
41.0 62377 1
18.0 219419 1
25.0 81521 1
38.0 116265 1
31.0 136484 1
31.0 46976 1
29.0 87013 1
32.0 110968 1
41.0 90182 2
41.0 48567 2
26.0 58947 2
36.0 70457 2
16.0 70664 2
41.0 59777 2
7.0 147 2
37.0 78179 2
34.0 92532 2
39.0 67486 2
21.0 36846 2
33.0 122611 2
34.0 83854 2
30.0 108646 2
32.0 81768 2
41.0 91967 2
26.0 80790 2
39.0 111323 2
26.0 67902 2
34.0 185250 2
35.0 57590 2
40.0 80127 2
40.0 89446 2
27.0 66462 2
30.0 113111 2
27.0 48428 2
40.0 153514 2
26.0 103122 2
34.0 140572 2
27.0 85847 2
41.0 69465 2
32.0 134019 2
39.0 50496 2
18.0 64814 2
40.0 56370 2
42.0 68828 2
30.0 51847 2
41.0 95065 2
33.0 154776 2
38.0 101303 2
39.0 68660 2
19.0 96567 2
37.0 60613 2
41.0 82487 2
34.0 106343 2
33.0 75609 2
34.0 52007 2
42.0 64983 2
28.0 104988 2
32.0 89121 2
39.0 55643 2
18.0 98446 2
34.0 61778 2
31.0 81419 2
40.0 90307 2
27.0 84162 2
21.0 70231 2
34.0 79507 2
32.0 115716 2
33.0 52124 3
36.0 65116 3
39.0 19473 3
25.0 45399 3
31.0 91768 3
37.0 45179 3
32.0 84281 3
28.0 201073 3
40.0 76503 3
41.0 40654 3
42.0 73900 3
41.0 56865 3
42.0 152119 3
42.0 72687 3
26.0 67282 3
41.0 197767 3
42.0 99492 3
35.0 77897 3
36.0 48057 3
27.0 66678 3
40.0 305564 3
39.0 270738 3
27.0 38343 3
38.0 85408 3
32.0 77702 3
24.0 67723 3
22.0 61650 3
29.0 53358 3
30.0 428400 3
36.0 75361 3
38.0 80895 3
41.0 66245 3
38.0 76104 4
36.0 59555 4
33.0 56705 4
38.0 71251 4
37.0 33084 4
36.0 27142 4
36.0 38110 4
32.0 57998 4
33.0 50731 4
37.0 137240 4
38.0 48717 4
40.0 69876 4
25.0 24384 4
39.0 69360 4
40.0 68065 4
28.0 22119 4
35.0 39134 4
32.0 63965 4
38.0 77059 4
41.0 70103 4
31.0 109703 4
26.0 88870 4
41.0 56057 4
33.0 39409 4
40.0 58248 4
39.0 59253 4
34.0 77210 4
15.0 76728 4
35.0 41724 4
31.0 74198 4
40.0 72966 4
33.0 53067 4
26.0 64685 4
33.0 117105 4
39.0 84628 5
41.0 48955 5
41.0 37303 5
31.0 38588 5
40.0 71533 5
38.0 50006 5
29.0 49857 5
39.0 62163 5
19.0 71953 5
31.0 79236 5
37.0 28905 5
40.0 47273 5
38.0 156108 5
38.0 54391 5
40.0 66859 5
29.0 51740 5
40.0 55498 5
38.0 57279 5
31.0 55840 5
38.0 78429 5
41.0 62971 5
36.0 50848 5
22.0 30167 5
41.0 56502 5
42.0 51432 5
29.0 59359 6
32.0 36610 6
38.0 73734 6
41.0 48308 6
36.0 92912 6
22.0 20629 6
40.0 54147 6
40.0 49718 6
41.0 74990 6
42.0 60274 6
35.0 73108 6
38.0 75939 6
26.0 53174 6
37.0 37061 6
14.0 277 6
39.0 58401 6
33.0 45884 6
13.0 16293 6
39.0 78603 6
32.0 63073 6
39.0 18469 7
33.0 54526 7
35.0 68433 7
35.0 63606 7
39.0 71740 7
26.0 32666 7
39.0 65617 7
35.0 61490 7
34.0 46674 7
28.0 17215 7
21.0 49246 7
39.0 44832 7
40.0 62649 7
38.0 50124 8
35.0 42781 8
38.0 41412 8
37.0 69012 8
33.0 73437 8
42.0 37725 8
41.0 55384 8
41.0 61136 8
35.0 55172 8
39.0 46167 8
42.0 44696 8
24.0 67129 8
28.0 66139 9
37.0 84425 9
39.0 125579 9
42.0 61252 9
36.0 64368 9
32.0 49544 9
28.0 65973 9
31.0 57749 9
38.0 52864 9
35.0 42039 9
36.0 26817 9
37.0 51216 10
37.0 64164 10
37.0 60767 10
39.0 54748 10
35.0 55009 10
40.0 53548 10
39.0 49418 10
36.0 43726 10
35.0 43311 10
40.0 57065 10
35.0 44266 10
33.0 35295 11
22.0 44429 11
42.0 43432 11
40.0 46557 11
32.0 36367 11
41.0 52351 11
30.0 1 11
25.0 43910 11
42.0 101805 12
35.0 53918 12
6.0 902 12
35.0 51026 12
32.0 29386 12
30.0 29778 12
31.0 47411 12
34.0 36039 12
35.0 47087 12
42.0 43094 13
29.0 17589 13
42.0 58840 13
35.0 33795 13
27.0 34898 13
39.0 44557 13
24.0 30758 13
32.0 45519 13
33.0 41826 13
20.0 47590 13
42.0 48167 14
33.0 45297 14
40.0 51619 14
25.0 58604 14
24.0 49138 14
35.0 42303 14
41.0 68218 15
26.0 39759 15
33.0 40767 15
29.0 40928 15
26.0 40002 15
21.0 40375 15
39.0 57449 16
41.0 46293 16
34.0 34292 16
42.0 38854 16
29.0 28347 16
28.0 42146 16
34.0 62024 17
32.0 45069 17
41.0 45998 17
29.0 39524 17
30.0 50605 18
40.0 50385 18
29.0 15983 18
6.0 517 19
38.0 47956 19
31.0 42647 19
19.0 9518 20
38.0 52571 20
36.0 27886 20
28.0 27373 20
31.0 24918 20
33.0 47762 20
23.0 26421 21
28.0 32424 22
36.0 46859 23
16.0 41170 24
31.0 45720 24
39.0 42958 25
26.0 37604 25
22.0 17908 25
21.0 25832 25
36.0 21716 25
16.0 13180 26
34.0 44092 26
34.0 40185 26
42.0 23467 27
23.0 19147 27
20.0 11425 27
14.0 5137 28
34.0 36216 28
6.0 390 28
37.0 38010 28
42.0 37191 28
42.0 33509 28
40.0 31398 29
35.0 38219 29
37.0 42445 30
20.0 41583 30
28.0 23003 30
21.0 6330 30
39.0 37832 30
32.0 29893 31
34.0 35417 31
25.0 23833 31
39.0 26575 32
36.0 38465 32
41.0 36482 32
36.0 35166 32
36.0 34788 32
25.0 33369 32
28.0 43614 33
42.0 34466 33
29.0 41290 33
37.0 36741 33
40.0 29007 33
22.0 40554 34
36.0 36952 35
25.0 32299 35
35.0 33988 36
27.0 35030 36
24.0 35590 36
25.0 8592 37
16.0 28604 38
17.0 26929 38
18.0 32982 39
33.0 34668 39
39.0 39254 40
37.0 35734 42
22.0 29116 42
32.0 39030 43
25.0 32113 43
35.0 28075 45
21.0 19837 45
32.0 33193 45
25.0 22220 45
21.0 32839 45
31.0 31729 46
41.0 39651 46
25.0 38694 47
33.0 27496 47
25.0 34186 47
13.0 3006 48
39.0 31570 49
28.0 33682 50
30.0 37478 50
39.0 30467 51
33.0 25375 51
