loc nocl count
41 0 1
25 5 1
12 0 1
7 0 1
35 0 1
17 4 1
35 5 1
19 2 1
32 10 1
25 8 1
8 1 1
14 4 1
13 6 1
25 4 1
21 3 1
23 6 1
36 1 1
37 2 1
33 2 1
17 3 1
24 12 1
42 11 1
9 5 1
37 11 1
42 1 1
10 4 1
42 2 1
19 7 1
41 2 1
19 20 1
33 4 1
23 4 1
26 0 1
20 2 1
28 0 1
38 22 1
39 4 1
28 6 1
34 2 1
42 8 1
22 6 1
34 7 1
17 9 1
9 21 1
41 6 1
22 22 1
10 5 1
13 3 1
30 2 1
8 2 1
29 9 1
11 5 1
8 6 1
17 1 1
33 15 1
6 6 1
33 6 1
29 35 1
18 13 1
15 6 1
31 18 1
9 3 1
39 9 1
28 2 1
37 14 1
36 10 1
27 2 1
14 15 1
26 11 1
15 3 1
17 5 1
12 7 1
37 8 1
21 16 1
23 19 1
12 22 1
7 4 1
20 19 1
30 14 1
32 8 1
12 3 1
38 9 1
39 3 1
9 18 1
14 10 1
37 10 1
8 4 1
16 13 1
20 12 1
15 75 1
17 14 1
6 12 1
40 11 1
6 7 1
15 19 1
23 1 1
17 39 1
28 14 1
14 21 1
17 48 1
30 8 1
28 23 1
28 1 1
23 5 1
14 17 1
16 10 1
9 9 1
35 11 1
10 7 1
42 14 1
25 30 1
10 23 1
17 7 1
41 3 1
37 19 1
19 4 1
37 1 1
27 15 1
18 10 1
34 22 1
38 4 1
23 13 1
15 5 1
16 18 1
15 30 1
9 22 1
28 7 1
23 12 1
21 7 1
21 10 1
27 18 1
11 7 1
6 8 1
8 23 1
6 1 1
30 31 1
35 8 1
11 9 1
6 5 1
32 5 1
11 6 1
34 11 1
20 18 1
8 10 1
22 13 1
34 25 1
23 32 1
10 15 1
30 10 1
38 41 1
25 11 1
12 4 1
13 8 1
40 15 1
26 14 1
38 6 1
22 62 1
7 3 1
17 33 1
24 13 1
8 14 1
8 11 1
26 6 1
39 14 1
18 23 1
37 6 1
33 5 1
7 10 1
22 17 1
42 7 1
35 16 1
29 11 1
24 9 1
33 82 1
32 20 1
39 13 1
30 12 1
25 10 1
15 8 1
30 5 1
40 13 1
22 15 1
37 26 1
21 15 1
31 16 1
16 11 1
22 2 1
31 14 1
26 19 1
35 7 1
21 18 1
24 0 2
14 1 2
29 5 2
10 1 2
21 2 2
35 2 2
18 3 2
11 1 2
16 1 2
34 0 2
39 10 2
30 1 2
25 0 2
28 5 2
20 4 2
18 2 2
6 4 2
37 5 2
10 0 2
37 0 2
22 3 2
27 3 2
26 1 2
9 2 2
34 1 2
9 7 2
33 8 2
36 3 2
32 30 2
35 3 2
18 5 2
42 3 2
40 0 2
33 3 2
28 9 2
12 1 2
13 4 2
17 12 2
30 6 2
28 4 2
28 11 2
35 4 2
9 4 2
27 4 2
16 6 2
40 3 2
31 11 2
28 3 2
19 6 2
13 5 2
14 5 2
39 0 2
31 9 2
20 6 2
24 7 2
22 7 2
26 20 2
24 3 2
10 28 2
7 5 2
20 17 2
27 9 2
10 9 2
39 8 2
31 2 2
24 4 2
20 3 2
14 7 2
14 12 2
30 4 2
16 7 2
20 9 2
17 35 2
18 25 2
19 8 2
27 5 2
36 0 2
36 4 2
36 12 2
16 48 2
33 12 2
42 4 2
38 8 2
31 3 2
41 11 2
31 12 2
22 10 2
39 12 2
30 7 2
22 61 2
24 15 2
33 10 2
20 8 2
34 4 2
32 27 2
27 20 2
35 14 2
32 6 2
25 9 2
16 0 3
16 2 3
20 0 3
32 4 3
19 0 3
42 0 3
13 2 3
15 1 3
22 5 3
15 2 3
39 2 3
33 0 3
18 1 3
10 2 3
29 1 3
21 0 3
7 2 3
24 1 3
29 2 3
29 3 3
25 2 3
14 0 3
31 8 3
30 9 3
23 3 3
40 6 3
29 0 3
13 1 3
25 16 3
34 3 3
22 4 3
41 4 3
21 13 3
32 3 3
25 17 3
32 7 3
42 10 3
10 8 3
28 22 3
26 2 3
27 6 3
7 13 3
8 16 3
15 29 3
11 11 3
29 7 3
37 15 3
37 18 3
15 13 3
25 36 3
32 11 3
27 17 3
11 29 3
24 6 3
21 1 4
23 2 4
8 0 4
22 1 4
38 0 4
27 0 4
30 0 4
6 0 4
31 0 4
32 0 4
26 3 4
18 6 4
29 4 4
21 6 4
22 0 4
21 53 4
35 1 4
23 10 4
8 3 4
18 4 4
35 6 4
9 11 4
21 9 4
16 5 5
13 0 5
11 0 5
39 6 5
39 1 5
19 1 5
11 2 5
41 1 5
9 0 5
40 1 5
21 8 5
31 1 5
17 0 6
28 10 6
24 2 6
18 0 6
17 2 6
20 1 6
26 4 6
30 3 6
23 0 7
25 1 7
15 0 7
7 1 7
28 8 8
27 1 8
