count nobl hsd
342 2.0 13
272 2.0 11
270 2.0 8
268 2.0 10
254 2.0 10
245 2.0 8
240 2.0 11
232 2.0 7
207 2.0 9
193 2.0 10
192 2.0 9
187 2.0 11
187 2.0 8
186 2.0 5
185 2.0 14
181 2.0 13
174 2.0 13
171 2.0 7
167 2.0 10
166 2.0 8
165 2.0 10
162 2.0 9
160 2.0 8
159 2.0 9
158 2.0 8
157 3.0 12
155 2.0 12
152 2.0 7
150 2.0 9
150 2.0 7
146 2.0 12
145 2.0 10
144 2.0 6
140 2.0 6
140 2.0 8
139 2.0 8
135 2.0 10
135 3.0 9
132 2.0 8
132 2.0 9
131 2.0 8
131 2.0 9
131 2.0 7
130 2.0 10
130 2.0 12
130 2.0 5
129 2.0 8
129 3.0 12
128 2.0 17
127 2.0 10
126 2.0 12
125 2.0 15
125 2.0 10
125 2.0 13
124 2.0 11
124 2.0 9
123 2.0 13
123 2.0 12
122 2.0 9
122 3.0 12
122 3.0 11
121 2.0 10
121 2.0 11
121 2.0 10
119 2.0 7
119 3.0 9
118 3.0 9
117 2.0 11
116 3.0 11
114 2.0 11
114 2.0 9
113 2.0 11
113 2.0 9
112 3.0 14
112 2.0 14
110 2.0 9
110 2.0 11
109 2.0 12
108 2.0 11
107 2.0 11
106 2.0 11
105 3.0 10
105 2.0 11
105 3.0 10
105 2.0 10
105 2.0 8
104 2.0 13
104 2.0 11
104 3.0 8
104 2.0 13
102 2.0 13
102 2.0 10
101 3.0 15
101 2.0 7
99 3.0 12
99 3.0 9
98 2.0 13
98 3.0 12
97 3.0 7
96 4.0 11
96 2.0 14
96 3.0 8
95 2.0 13
94 3.0 13
94 2.0 10
93 3.0 11
92 2.0 12
92 2.0 9
91 3.0 11
91 3.0 19
91 3.0 11
90 3.0 9
90 2.0 8
90 4.0 9
89 3.0 13
89 2.0 19
89 3.0 16
89 2.0 16
88 2.0 14
88 2.0 14
87 2.0 12
87 2.0 6
87 3.0 8
86 3.0 12
86 2.0 15
86 2.0 12
85 2.0 13
85 2.0 7
85 4.0 11
84 3.0 14
84 4.0 9
84 2.0 16
84 3.0 14
83 4.0 9
83 2.0 7
83 3.0 12
83 2.0 8
83 3.0 12
82 3.0 11
82 3.0 12
82 2.0 6
81 2.0 9
81 3.0 8
81 2.0 12
81 2.0 6
80 3.0 13
80 3.0 8
79 3.0 9
79 2.0 10
79 2.0 18
79 2.0 7
78 3.0 14
78 2.0 7
78 2.0 6
77 3.0 10
77 3.0 15
76 3.0 13
76 3.0 22
76 2.0 16
76 2.0 6
76 2.0 8
76 3.0 12
76 2.0 16
76 2.0 15
75 5.0 14
75 3.0 13
75 4.0 13
75 4.0 12
74 2.0 13
74 3.0 10
74 2.0 11
74 2.0 7
74 3.0 10
74 2.0 4
74 3.0 10
74 4.0 13
73 3.0 10
73 2.0 14
72 2.0 17
