nobl ncl count
4 8 1
4 10 1
2 8 1
4 6 1
8 9 1
2 11 1
8 2 1
10 3 1
14 10 1
8 5 1
11 11 1
7 9 1
10 13 1
10 22 1
8 10 1
12 5 1
7 12 1
9 3 1
6 13 1
6 23 1
9 10 1
3 17 1
2 4 1
4 11 1
6 4 1
15 8 1
10 8 1
12 11 1
8 6 1
5 10 1
4 16 1
13 1 1
12 17 1
10 5 1
8 4 1
8 8 1
3 18 1
9 20 1
11 10 1
15 35 1
7 5 1
4 22 1
2 16 1
4 9 1
3 14 1
16 2 1
9 13 1
11 12 1
11 1 1
14 57 1
4 12 1
17 15 1
16 0 1
12 46 1
14 5 1
8 35 1
13 13 1
16 14 1
19 2 1
8 13 1
14 38 1
19 4 1
17 3 1
6 22 1
9 34 1
6 16 1
5 11 1
10 16 1
15 14 1
5 28 1
17 19 1
14 34 1
18 4 1
8 18 1
11 8 1
5 132 1
8 14 1
14 2 1
4 20 1
6 12 1
20 50 1
9 9 1
12 47 1
2 23 1
2 25 1
11 14 1
12 0 1
3 13 1
11 3 1
5 20 1
12 51 1
20 1 1
10 20 1
2 18 1
15 6 1
6 28 1
14 16 1
7 14 1
11 21 1
16 56 1
29 91 1
5 29 1
8 40 1
20 18 1
18 73 1
8 16 1
3 1 2
6 0 2
8 1 2
4 2 2
9 2 2
6 3 2
7 7 2
4 1 2
3 3 2
5 22 2
3 5 2
7 16 2
7 2 2
4 7 2
7 17 2
9 5 2
8 12 2
7 20 2
13 0 2
9 12 2
5 2 2
9 1 2
9 18 2
2 12 2
3 21 2
7 30 2
6 14 2
8 21 2
9 19 2
10 11 2
7 39 2
5 32 2
18 0 2
3 15 2
27 73 2
6 1 2
14 18 2
15 7 2
6 6 2
5 24 2
6 30 2
13 27 2
6 17 2
9 37 2
13 2 2
3 42 2
12 33 2
3 9 2
9 15 2
13 6 2
9 27 2
5 21 2
2 9 2
11 20 2
7 4 2
5 16 2
5 6 3
5 4 3
6 5 3
4 5 3
9 0 3
5 1 3
10 0 3
6 2 3
6 9 3
7 6 3
8 0 3
7 1 3
5 8 3
6 7 3
8 3 3
7 11 3
12 10 3
16 16 3
6 29 3
2 17 3
5 5 3
11 2 3
5 7 3
12 3 3
8 11 3
5 39 3
12 19 3
6 10 4
9 8 4
4 4 4
5 0 4
11 0 4
10 12 4
8 20 4
6 53 4
7 15 4
14 3 4
3 0 5
4 0 5
2 1 5
2 5 5
3 4 5
2 3 5
7 10 5
9 6 5
7 3 5
10 1 5
11 9 5
8 17 5
2 2 6
3 8 6
3 2 8
2 0 11
