count robl hse
424 0.3333333333333333 5318
389 0.5 1657
388 0.4 3063
363 0.4 2274
362 0.3333333333333333 2510
335 0.25 3856
334 0.25 3139
330 0.5 2369
324 0.39999999999999997 1656
318 0.3333025033912936 3695
311 0.4 961
294 0.2222222222222222 3448
285 0.25 4720
278 0.5 902
278 0.28569373072970194 3100
277 0.2222222222222222 4546
277 0.6666666666666666 747
264 0.2857142857142857 2363
257 0.13337447460073606 7136
252 0.28573790627362056 3809
251 0.3333333333333333 3068
250 0.3333333333333333 4488
246 0.25 2396
238 0.25 5756
235 0.6666666666666666 1660
229 0.14292488733350756 9396
226 0.3333333333333333 1820
218 0.15390767359864416 4542
216 0.16671988080034056 5285
214 0.2 4889
207 0.16666666666666666 3983
206 0.2857142857142857 1689
204 0.3333333333333333 6672
203 0.2857142857142857 1012
203 0.5 3227
203 0.2 3111
199 0.20002955956251847 4054
197 1.0 795
193 0.16666666666666666 6609
192 0.18165106951871657 4052
187 0.2221717289143469 5724
184 0.2 5754
183 0.2857468123861566 4649
182 0.25 6775
182 0.39995222169135214 4197
178 0.2221330479757446 2459
178 0.20003874467260754 6690
177 0.1814556331006979 4986
176 0.3333333333333333 1075
173 0.15359340993658002 7430
170 0.2 7590
169 0.18109177857358066 5944
165 0.25004329004329007 7805
161 0.2857142857142857 5721
157 0.13371353794247443 10355
157 0.25 1459
156 0.0801162424492384 16473
155 0.13347349785517798 8765
150 0.3333333333333333 7901
150 0.27374773374773376 6369
147 0.18179609506140118 8391
146 0.2998791297340854 3276
146 0.16666666666666666 7833
144 0.154441914080072 8532
143 0.29979432332373507 4314
142 0.13410570274776745 12314
140 0.181660391429299 3140
139 0.15402819444848978 5482
139 0.18186662790979338 7070
139 0.14285714285714285 7302
138 0.2857846609276815 7080
137 0.20005033979360684 8624
136 0.2997195134738387 5119
136 0.22240790255496137 7009
135 0.4 5384
134 0.2982813977851577 6319
133 0.375 1840
133 0.36347211158449777 6854
133 0.27264608752812014 4009
132 0.7501114081996435 1385
128 0.23218260599694424 7759
128 0.3750751201923077 3819
127 0.14285714285714285 6163
125 0.375 7437
125 0.1535676113360324 9696
121 0.5 4066
120 0.31224716292479454 6529
119 0.37524240465416936 2944
119 0.2324922235451153 6525
117 0.15333722940560546 6466
117 0.2721751932278248 2662
117 0.22189349112426035 1463
117 0.10809486384199027 9726
116 0.1430883490931053 8362
116 0.1817574012363566 2196
116 0.4285714285714285 4085
115 0.13533708449246104 13751
113 0.19994290608050244 9614
112 0.16666666666666666 11049
111 0.25 8900
110 0.42788790157211204 2267
109 0.16661734240899673 2491
108 0.25 9779
107 0.2 1887
107 0.21323065893095192 7781
106 0.2739184295788069 7728
105 0.10341037322369964 11465
105 0.14265677709607005 10970
105 1.0 2514
105 0.16644557921977274 8993
104 0.3333333333333333 9438
103 0.18891234431087237 7207
103 0.1431268300200339 12243
103 0.21400258243752054 4851
103 0.16656227163587015 10047
103 0.18899853553784027 10431
102 0.0660735423355522 33136
102 0.29942329873125717 7358
102 0.15392950702548225 3595
102 0.6 1698
101 0.37504267668146124 4967
101 0.21356063388688293 6344
101 0.5 5167
100 0.1883788665038665 8705
99 0.23286056908347932 10073
99 0.1177813732528745 13757
98 0.18068701620543412 14167
98 0.14285714285714285 4991
97 0.15326916243560304 13196
97 0.125 6131
97 0.1136981676096291 15693
96 0.12555469257330026 28168
96 0.15559136553970224 11899
96 0.133463713219148 4969
96 0.20006127450980393 10698
95 0.2328389299039454 8843
94 0.17587389033893566 8828
93 0.15223784578623287 10877
93 0.375 6183
93 0.09873367854738559 10313
92 0.11196171861133497 17652
91 0.23172894763069293 5484
91 0.2981395605436526 8627
91 0.12596712544117872 11474
91 0.17948348496616703 12929
90 0.2730812397479064 5155
90 0.11756245062127416 6643
89 0.222397398508781 8111
89 0.10844745751656577 8321
89 0.12567620997542048 9873
89 0.2131510383188063 9221
89 0.18160200182672095 9777
88 0.22251916397173313 10515
88 0.05668310708548449 28468
88 0.125 8639
88 0.14285714285714285 4053
87 0.14281153074256522 2718
87 0.6 3057
87 0.2857170224411604 8283
87 0.09805263922146666 8951
87 0.22291884360849878 9147
87 0.3333333333333333 13592
86 0.10923777860742365 7259
86 0.13346612077653533 6056
86 0.09690544592316909 7259
86 0.3104447572011832 7824
85 0.16647691334598355 12108
84 0.2 11867
84 0.2375671877946581 12323
83 0.3333333333333333 10872
83 0.21162875403817197 14225
83 0.1821912469502831 11468
81 0.23467363831051957 13595
81 0.13324822406948011 3559
81 0.23154683612199953 4377
81 0.16500493324866086 13163
80 0.2858462941628264 9921
79 0.2124115697024862 10231
79 0.1773264625030291 15538
79 0.15387914467278224 2457
79 0.12276099718284124 16215
79 0.4 7062
79 0.12124593245109745 18502
79 0.10367387174917786 12975
78 0.4285714285714285 3145
78 0.17609068768783032 7070
78 0.21149960516587932 12815
78 0.25 12841
78 0.11756352245040028 8041
78 0.1439268571023712 13696
78 0.2636267413348957 14240
78 0.09216052463953833 11193
78 0.14258903010572727 15379
78 0.5 6415
78 0.6666666666666666 3311
78 0.17583774370087096 10353
77 0.1272599334739896 17443
77 0.12505236698785085 7319
77 0.3000799711797154 2199
77 0.25 14328
76 0.21304828909968515 11537
75 0.11550098877157701 5368
75 0.11790165912518855 9243
74 0.21701936567222263 25537
73 0.3633695072051236 1405
72 0.12553035834351045 14484
72 0.11780969575087223 11984
72 0.08722886730998942 18283
71 0.14354083649433247 23471
71 0.0926684370332593 16798
71 0.13993407193989998 17121
71 0.09626953960848754 21807
71 0.13386718459344574 18498
71 0.3111514459442043 9308
71 0.3085084392997662 4680
71 0.16673392931520115 17162
71 0.09807717271370156 14930
70 0.10752904116269425 21861
70 0.13362806775230446 16309
70 0.25 11584
70 0.12525105703086067 12938
70 0.1661663968115581 19175
70 0.15071814895344307 14883
70 0.10618457340261851 6166
69 0.13353647164782675 19850
69 0.23614022479187421 16753
69 0.11118880466706553 11005
69 0.08787833057264836 13910
69 0.09095504629405549 12427
68 0.3007373139650859 13351
68 0.22226330627452645 12075
68 0.1885539920407093 12347
67 0.2 13328
67 0.11788430474997638 10476
67 0.36569898287101743 5586
67 0.1571960814612159 16043
67 0.25 16007
66 0.0878054803188493 9790
66 0.1875341775660755 18099
66 0.42857142857142855 5021
66 0.23351321226996016 25177
65 0.11341565423013386 19875
65 0.18949051476967108 15055
65 0.1890870039247341 13522
64 0.44401041666666663 4334
64 0.15664254882205725 18008
64 0.09712852776423844 13673
64 0.75 2801
64 0.09924856667180455 26097
64 0.15634794292861462 20911
64 0.16743328886000666 21295
64 0.10675185087475242 14616
63 0.13108199170923326 21741
63 0.31105628289838816 10676
63 0.25011337868480726 10616
63 0.21205529678266993 15845
63 0.275834260992307 13010
63 0.1176290749399993 22001
62 0.0914753817881877 23622
62 0.1335476320215932 15061
62 0.19999310725117178 14536
62 0.10384631917475427 16317
62 0.27267087750958713 9399
62 0.23681484022657737 15077
62 0.189231472119363 16607
62 0.16855282036401154 14150
62 0.3831285202252944 5084
61 0.4001490312965723 9556
61 0.3750553832521046 9357
61 0.10037058197683534 18172
61 0.2854742388758782 11924
