robl nobl count
0.8333333333333334 10 1
0.9 9 1
0.6538461538461539 17 1
0.7777777777777778 7 2
0.6111111111111112 22 2
0.4878048780487805 20 2
0.4444444444444444 16 2
0.47368421052631576 18 3
0.39473684210526316 15 3
0.3888888888888889 14 4
0.40625 13 6
0.2777777777777778 10 12
0.34285714285714286 12 13
0.4074074074074074 11 22
0.20512820512820512 8 36
0.2692307692307692 7 40
0.32142857142857145 9 43
0.17391304347826086 4 52
0.18518518518518517 5 59
0.17142857142857143 6 59
0.11764705882352941 2 68
0.2727272727272727 3 73
