loc coco count
6.0 0 1
7.0 3 1
70.0 17 1
24.0 7 1
14.0 8 1
20.0 7 1
34.0 10 1
68.0 12 1
80.0 28 1
36.0 12 1
4.0 2 1
124.0 115 1
75.0 3 1
28.0 0 1
14.0 12 1
25.0 14 1
96.0 26 1
46.0 19 1
59.0 48 1
41.0 29 1
72.0 52 1
104.0 28 1
43.0 31 1
75.0 7 1
56.0 13 1
30.0 14 1
39.0 13 1
46.0 15 1
29.0 25 1
32.0 16 1
120.0 55 1
21.0 12 1
40.0 6 1
58.0 31 1
43.0 17 1
43.0 18 1
42.0 22 1
36.0 18 1
13.0 5 1
86.0 69 1
59.0 26 1
27.0 7 1
33.0 10 1
29.0 12 1
10.0 10 1
198.0 84 1
20.0 14 1
41.0 18 1
28.0 33 1
37.0 24 1
139.0 39 1
34.0 22 1
105.0 25 1
45.0 25 1
38.0 7 1
49.0 12 1
55.0 2 1
58.0 8 1
41.0 8 1
47.0 25 1
37.0 11 1
29.0 22 1
24.0 6 1
43.0 35 1
39.0 5 1
77.0 28 1
41.0 21 1
36.0 22 1
40.0 8 1
90.0 69 1
24.0 4 1
60.0 1 1
24.0 11 1
141.0 78 1
46.0 9 1
26.0 3 1
28.0 13 1
17.0 21 1
46.0 14 1
31.0 24 1
46.0 6 1
14.0 11 1
32.0 22 1
38.0 8 1
69.0 2 1
31.0 5 1
258.0 204 1
76.0 56 1
20.0 9 1
28.0 15 1
45.0 10 1
55.0 14 1
29.0 17 1
21.0 16 1
113.0 74 1
39.0 12 1
47.0 20 1
83.0 18 1
129.0 77 1
243.0 9 1
22.0 16 1
92.0 4 1
62.0 0 1
59.0 14 1
22.0 15 1
38.0 13 1
54.0 22 1
125.0 15 1
36.0 5 1
109.0 37 1
170.0 57 1
65.0 4 1
60.0 18 1
100.0 11 1
47.0 5 1
81.0 25 1
60.0 11 1
65.0 15 1
51.0 38 1
71.0 0 1
33.0 4 1
35.0 12 1
66.0 39 1
49.0 26 1
41.0 17 1
67.0 25 1
101.0 54 1
55.0 46 1
58.0 12 1
32.0 20 1
20.0 16 1
57.0 0 1
74.0 0 1
54.0 2 1
50.0 11 1
75.0 4 1
92.0 27 1
27.0 16 1
51.0 30 1
64.0 0 1
59.0 20 1
186.0 63 1
31.0 21 1
61.0 44 1
84.0 24 1
36.0 14 1
83.0 63 1
50.0 15 1
51.0 28 1
70.0 79 1
41.0 26 1
145.0 63 1
39.0 0 1
30.0 20 1
53.0 11 1
66.0 32 1
40.0 23 1
157.0 33 1
44.0 13 1
205.0 7 1
42.0 7 1
27.0 26 1
46.0 17 1
86.0 22 1
58.0 28 1
87.0 9 1
61.0 14 1
37.0 3 1
50.0 36 1
78.0 44 1
3.0 5 1
95.0 18 1
