loc hsd count
95.0 21 1
73.0 17 1
86.0 82 1
92.0 28 1
27.0 43 1
98.0 27 1
56.0 44 1
131.0 19 1
76.0 24 1
125.0 36 1
79.0 38 1
186.0 31 1
88.0 24 1
117.0 36 1
51.0 33 1
92.0 23 1
14.0 33 1
23.0 52 1
61.0 13 1
205.0 40 1
64.0 7 1
62.0 54 1
207.0 20 1
13.0 29 1
75.0 23 1
215.0 27 1
63.0 31 1
50.0 36 1
60.0 40 1
25.0 45 1
191.0 40 1
35.0 8 1
73.0 24 1
31.0 26 1
32.0 35 1
53.0 31 1
65.0 29 1
56.0 32 1
9.0 3 1
230.0 42 1
99.0 18 1
36.0 27 1
113.0 31 1
72.0 27 1
42.0 8 1
83.0 12 1
28.0 42 1
95.0 31 1
131.0 26 1
35.0 7 1
24.0 27 1
121.0 30 1
9.0 29 1
68.0 35 1
96.0 23 1
81.0 20 1
74.0 52 1
44.0 59 1
69.0 13 1
99.0 27 1
164.0 40 1
77.0 18 1
53.0 14 1
28.0 36 1
44.0 28 1
57.0 21 1
32.0 41 1
44.0 50 1
15.0 27 1
68.0 43 1
131.0 58 1
30.0 29 1
22.0 30 1
45.0 35 1
92.0 50 1
200.0 106 1
64.0 18 1
6.0 4 1
94.0 23 1
34.0 59 1
144.0 24 1
40.0 26 1
146.0 46 1
107.0 40 1
59.0 41 1
107.0 34 1
87.0 44 1
81.0 26 1
240.0 32 1
37.0 46 1
75.0 38 1
27.0 7 1
46.0 39 1
39.0 61 1
92.0 45 1
2.0 8 1
94.0 15 1
55.0 30 1
33.0 5 1
140.0 31 1
85.0 30 1
158.0 57 1
56.0 38 1
39.0 35 1
77.0 25 1
118.0 37 1
23.0 28 1
99.0 15 1
42.0 42 1
47.0 44 1
95.0 32 1
110.0 29 1
36.0 32 1
64.0 33 1
128.0 32 1
109.0 51 1
214.0 58 1
72.0 31 1
5.0 17 1
67.0 8 1
61.0 24 1
209.0 14 1
49.0 52 1
73.0 56 1
23.0 4 1
59.0 11 1
60.0 13 1
90.0 20 1
82.0 79 1
26.0 26 1
123.0 74 1
25.0 39 1
119.0 29 1
47.0 13 1
92.0 20 1
126.0 35 1
14.0 28 1
104.0 17 1
124.0 32 1
102.0 23 1
19.0 6 1
124.0 55 1
222.0 32 1
106.0 28 1
132.0 50 1
89.0 33 1
58.0 28 1
61.0 27 1
4.0 18 1
60.0 30 1
68.0 16 1
308.0 9 1
83.0 30 1
91.0 56 1
141.0 24 1
38.0 63 1
637.0 86 1
10.0 31 1
39.0 50 1
213.0 53 1
65.0 32 1
39.0 36 1
68.0 45 1
110.0 41 1
62.0 42 1
58.0 15 1
53.0 58 1
63.0 9 1
183.0 33 1
31.0 21 1
736.0 103 1
52.0 10 1
77.0 41 1
15.0 37 1
41.0 10 1
127.0 18 1
62.0 15 1
88.0 43 1
115.0 51 1
72.0 40 1
8.0 36 1
29.0 40 1
86.0 37 1
134.0 35 1
128.0 24 1
122.0 33 1
107.0 51 1
134.0 34 1
19.0 0 1
56.0 33 1
85.0 19 1
53.0 18 1
58.0 27 1
25.0 49 1
8.0 34 1
131.0 41 1
18.0 4 1
6.0 3 1
55.0 22 1
47.0 38 1
28.0 33 1
138.0 41 1
80.0 21 1
40.0 70 1
42.0 40 1
55.0 28 1
38.0 37 1
109.0 32 1
118.0 35 1
44.0 40 1
43.0 9 1
128.0 25 1
50.0 28 1
78.0 42 1
98.0 23 1
57.0 39 1
34.0 36 1
111.0 24 1
88.0 33 1
308.0 6 1
28.0 57 1
1958.0 45 1
88.0 20 1
29.0 26 1
32.0 26 1
84.0 33 1
35.0 38 1
15.0 31 1
45.0 26 1
84.0 26 1
3.0 20 1
68.0 50 1
131.0 28 1
165.0 25 1
586.0 82 1
108.0 27 1
161.0 45 1
32.0 68 1
46.0 47 1
60.0 34 1
87.0 28 1
16.0 31 1
84.0 22 1
51.0 22 1
93.0 29 1
11.0 30 1
123.0 29 1
60.0 48 1
21.0 43 1
63.0 37 1
76.0 15 1
242.0 65 1
41.0 42 1
13.0 34 1
104.0 39 1
80.0 42 1
20.0 39 1
84.0 24 1
106.0 25 1
112.0 30 1
29.0 31 1
44.0 12 1
96.0 33 1
35.0 37 1
19.0 24 1
110.0 38 1
156.0 31 1
61.0 33 1
167.0 46 1
351.0 94 1
642.0 91 1
49.0 38 1
130.0 36 1
227.0 36 1
17.0 31 1
412.0 36 1
23.0 33 1
94.0 29 1
70.0 32 1
181.0 32 1
84.0 48 1
100.0 30 1
108.0 29 1
607.0 90 1
95.0 25 1
7.0 22 1
99.0 70 1
12.0 40 1
69.0 25 1
28.0 6 1
207.0 52 1
447.0 76 1
45.0 60 1
113.0 54 1
79.0 40 1
38.0 32 1
45.0 50 1
41.0 12 1
50.0 0 1
31.0 31 1
73.0 29 1
276.0 52 1
75.0 20 1
43.0 60 1
94.0 31 1
74.0 15 1
78.0 19 1
66.0 15 1
162.0 3 1
60.0 44 1
5.0 24 1
53.0 8 1
107.0 21 1
13.0 44 1
417.0 73 1
65.0 21 1
71.0 17 1
34.0 46 1
30.0 38 1
34.0 39 1
68.0 34 1
75.0 63 1
165.0 31 1
81.0 57 1
36.0 33 1
52.0 25 1
94.0 33 1
68.0 39 1
54.0 35 1
12.0 23 1
104.0 26 1
14.0 36 1
104.0 32 1
147.0 28 1
142.0 45 1
80.0 16 1
120.0 52 1
64.0 34 1
128.0 39 1
74.0 22 1
47.0 34 1
37.0 56 1
89.0 20 1
118.0 51 1
97.0 25 1
103.0 19 1
90.0 22 1
14.0 47 1
91.0 30 1
33.0 4 1
202.0 49 1
114.0 32 1
7.0 32 1
37.0 10 1
5.0 26 1
123.0 16 1
44.0 45 1
39.0 8 1
41.0 37 1
40.0 34 1
92.0 18 1
128.0 45 1
103.0 28 1
125.0 63 1
91.0 38 1
41.0 25 1
243.0 52 1
48.0 8 1
104.0 13 1
415.0 37 1
103.0 30 1
158.0 35 1
52.0 49 1
101.0 38 1
23.0 40 1
67.0 46 1
89.0 29 1
68.0 13 1
49.0 8 1
70.0 13 1
74.0 41 1
6.0 24 1
52.0 7 1
47.0 24 1
66.0 26 1
63.0 21 1
68.0 52 1
31.0 4 1
143.0 18 1
11.0 38 1
180.0 97 1
3.0 28 1
55.0 34 1
144.0 41 1
47.0 41 1
51.0 29 1
34.0 0 1
6.0 27 2
114.0 40 2
104.0 24 2
34.0 29 2
74.0 40 2
318.0 121 2
48.0 22 2
30.0 9 2
66.0 24 2
14.0 30 2
66.0 14 2
35.0 25 2
12.0 33 2
161.0 54 2
66.0 45 2
108.0 26 2
16.0 35 2
32.0 33 2
91.0 33 2
64.0 31 2
44.0 34 2
22.0 27 2
54.0 39 2
113.0 25 2
76.0 17 2
44.0 14 2
83.0 23 2
33.0 37 2
72.0 24 2
18.0 38 2
64.0 20 2
70.0 16 2
27.0 34 2
106.0 32 2
76.0 45 2
126.0 23 2
22.0 47 2
74.0 18 2
44.0 32 2
54.0 21 2
103.0 21 2
11.0 22 2
52.0 50 2
42.0 34 2
6.0 26 2
70.0 24 2
77.0 21 2
82.0 44 2
35.0 30 2
170.0 38 2
108.0 75 2
134.0 81 2
138.0 52 2
40.0 5 2
34.0 5 2
71.0 41 2
87.0 46 2
27.0 4 2
78.0 24 2
143.0 22 2
12.0 30 2
42.0 5 2
70.0 20 2
156.0 39 2
68.0 31 2
39.0 10 2
19.0 13 2
69.0 40 2
122.0 47 2
70.0 23 2
95.0 36 2
38.0 36 2
25.0 29 2
258.0 82 2
82.0 21 2
23.0 26 2
115.0 16 2
7.0 3 2
71.0 26 2
38.0 45 2
160.0 40 2
41.0 8 2
32.0 18 2
145.0 43 2
45.0 55 2
364.0 51 2
48.0 38 2
15.0 21 2
27.0 41 2
95.0 34 2
78.0 27 2
53.0 43 2
74.0 24 2
797.0 92 2
10.0 40 2
44.0 7 2
64.0 23 2
80.0 20 2
16.0 28 2
5.0 22 2
149.0 23 2
15.0 30 2
97.0 44 2
335.0 45 2
55.0 29 2
48.0 25 2
27.0 27 2
20.0 142 2
42.0 32 2
49.0 30 2
56.0 28 2
56.0 50 2
101.0 14 2
215.0 54 2
11.0 4 2
40.0 56 2
48.0 19 2
147.0 58 2
186.0 43 2
31.0 37 2
90.0 26 2
18.0 37 2
118.0 33 2
66.0 40 2
50.0 23 2
83.0 27 2
77.0 30 2
45.0 12 2
35.0 29 2
89.0 17 2
268.0 67 2
50.0 45 2
16.0 4 2
34.0 28 2
85.0 13 2
22.0 35 2
139.0 96 2
68.0 57 2
127.0 48 2
23.0 6 2
24.0 6 2
60.0 22 2
120.0 27 2
265.0 37 2
69.0 64 2
28.0 30 2
131.0 30 2
30.0 41 2
33.0 15 2
67.0 28 2
79.0 21 2
54.0 41 2
164.0 48 2
21.0 29 2
96.0 21 2
38.0 38 2
42.0 9 2
53.0 27 2
118.0 29 2
157.0 29 2
42.0 23 2
177.0 41 2
111.0 37 2
153.0 39 2
33.0 33 2
48.0 12 2
87.0 42 2
58.0 14 2
1001.0 47 2
73.0 15 2
112.0 35 2
45.0 6 2
51.0 13 2
60.0 38 2
91.0 47 2
69.0 15 2
4.0 22 2
69.0 44 2
186.0 33 2
76.0 23 2
51.0 24 2
47.0 9 2
11.0 28 2
657.0 64 2
52.0 27 2
17.0 5 2
76.0 30 2
86.0 30 2
155.0 51 2
97.0 30 2
71.0 15 2
66.0 20 2
107.0 29 2
81.0 28 2
24.0 42 2
10.0 26 2
81.0 25 2
21.0 35 2
150.0 39 2
102.0 24 2
67.0 35 2
57.0 16 2
28.0 15 2
37.0 29 2
97.0 20 2
73.0 21 2
3.0 10 3
61.0 30 3
31.0 23 3
53.0 25 3
105.0 30 3
129.0 28 3
93.0 35 3
37.0 9 3
67.0 38 3
187.0 31 3
228.0 54 3
70.0 11 3
109.0 22 3
1.0 9 3
243.0 43 3
30.0 5 3
32.0 27 3
221.0 44 3
133.0 37 3
42.0 43 3
52.0 46 3
117.0 41 3
121.0 26 3
36.0 7 3
20.0 23 3
106.0 33 3
52.0 20 3
168.0 17 3
17.0 40 3
42.0 27 3
67.0 20 3
95.0 18 3
56.0 46 3
58.0 12 3
41.0 26 3
37.0 58 3
67.0 15 3
65.0 18 3
54.0 18 3
41.0 29 3
58.0 40 3
91.0 25 3
54.0 28 3
74.0 16 3
139.0 19 3
24.0 31 3
70.0 29 3
84.0 17 3
43.0 32 3
34.0 44 3
63.0 27 3
95.0 30 3
149.0 22 3
31.0 6 3
255.0 30 3
81.0 34 3
49.0 22 3
80.0 24 3
91.0 40 3
34.0 45 3
31.0 39 3
62.0 17 3
49.0 33 3
69.0 21 3
79.0 19 3
79.0 43 3
49.0 21 3
88.0 22 3
116.0 29 3
138.0 25 3
43.0 16 3
68.0 23 3
73.0 19 3
24.0 41 3
26.0 38 3
14.0 45 3
67.0 17 3
109.0 39 3
95.0 29 3
30.0 37 3
57.0 28 3
76.0 28 3
75.0 35 3
41.0 36 3
33.0 28 3
71.0 33 3
30.0 30 3
42.0 80 3
110.0 27 3
33.0 7 3
47.0 53 3
89.0 19 3
25.0 32 3
27.0 37 3
96.0 37 3
26.0 10 3
51.0 41 3
60.0 27 3
92.0 25 3
101.0 21 3
77.0 33 3
103.0 32 3
37.0 26 3
56.0 25 3
75.0 30 3
126.0 39 3
70.0 19 3
60.0 15 3
77.0 22 3
47.0 28 3
62.0 33 3
19.0 33 3
20.0 18 3
53.0 28 3
54.0 14 3
67.0 26 3
59.0 16 3
62.0 16 3
79.0 25 3
65.0 33 4
59.0 32 4
74.0 28 4
121.0 17 4
17.0 28 4
50.0 38 4
28.0 45 4
56.0 9 4
1.0 13 4
65.0 30 4
11.0 26 4
7.0 14 4
84.0 45 4
74.0 27 4
116.0 32 4
44.0 36 4
19.0 31 4
120.0 26 4
90.0 91 4
41.0 34 4
16.0 37 4
86.0 23 4
61.0 32 4
86.0 26 4
66.0 36 4
32.0 25 4
53.0 34 4
75.0 28 4
85.0 18 4
165.0 16 4
123.0 22 4
80.0 28 4
3.0 60 4
22.0 39 4
72.0 14 4
62.0 19 4
115.0 23 4
64.0 16 4
40.0 46 4
121.0 19 4
53.0 17 4
100.0 28 4
25.0 37 4
50.0 18 4
62.0 30 4
74.0 38 4
78.0 34 4
52.0 31 4
115.0 19 4
41.0 43 4
125.0 27 4
64.0 36 4
53.0 41 4
234.0 37 4
28.0 26 4
88.0 18 4
51.0 27 4
38.0 31 4
69.0 19 4
