loc ncl count
52 2 1
10 4 1
45 6 1
22 5 1
43 7 1
8 3 1
28 9 1
21 5 1
49 4 1
44 7 1
12 4 1
31 7 1
21 2 1
9 3 1
80 6 1
62 5 1
79 5 1
39 6 1
99 7 1
31 11 1
51 12 1
125 19 1
79 0 1
34 4 1
74 3 1
318 42 1
12 5 1
39 0 1
73 0 1
37 3 1
47 11 1
17 12 1
35 3 1
42 4 1
55 4 1
42 8 1
38 6 1
19 8 1
59 11 1
86 14 1
189 5 1
45 5 1
319 0 1
43 2 1
44 4 1
23 6 1
10 3 1
22 7 1
146 6 1
36 8 1
86 0 1
20 9 1
63 7 1
21 6 1
11 0 1
6 5 1
38 7 1
27 8 1
50 11 1
32 25 1
49 2 1
126 8 1
89 2 1
19 6 1
27 13 1
31 9 1
145 2 1
68 3 1
21 14 1
71 0 1
31 18 1
21 9 1
68 7 1
9 6 1
38 4 1
51 3 1
70 5 1
16 46 1
79 13 1
83 5 1
29 11 1
43 12 1
55 16 1
55 2 1
23 32 1
58 2 1
58 10 1
14 17 1
37 14 1
38 8 1
188 0 1
82 2 1
95 2 1
137 1 1
78 16 1
146 0 1
39 10 1
33 8 1
74 2 1
75 12 1
37 15 1
15 8 1
21 25 1
275 10 1
10 23 1
39 4 1
36 38 1
80 0 1
11 14 1
168 0 1
16 18 1
33 82 1
15 16 1
84 3 1
128 21 1
16 11 1
13 16 1
51 14 1
170 17 1
57 11 1
15 75 1
95 3 1
77 7 1
20 13 1
84 0 1
20 20 1
75 4 1
21 3 1
91 4 1
16 14 1
44 30 1
54 10 1
71 2 1
139 8 1
68 6 1
24 18 1
77 1 1
101 1 1
100 2 1
66 3 1
70 3 1
32 11 1
31 4 1
16 19 1
85 0 1
41 7 1
71 10 1
57 4 1
82 3 1
35 9 1
114 31 1
2 13 1
81 0 1
32 9 1
123 1 1
14 34 1
56 10 1
69 2 1
16 50 1
95 41 1
8 9 1
18 10 1
102 20 1
78 2 1
18 9 1
85 25 1
21 18 1
25 17 1
35 8 1
11 29 1
134 13 1
65 7 1
21 13 1
92 8 1
65 31 1
57 19 1
60 9 1
48 12 1
50 7 1
9 12 1
123 0 1
42 10 1
88 0 1
12 8 1
112 4 1
115 33 1
40 13 1
25 26 1
21 11 1
60 10 1
46 11 1
82 20 1
62 0 1
27 15 1
139 0 1
39 8 1
35 6 1
144 1 1
22 8 1
27 22 1
112 0 1
50 3 1
109 4 1
20 10 1
45 7 1
30 10 1
35 4 1
19 14 1
53 2 1
47 3 1
48 2 1
119 8 1
90 32 1
80 16 1
45 13 1
64 10 1
13 10 1
17 35 1
100 8 1
17 55 1
70 16 1
139 32 1
43 13 1
30 7 1
118 6 1
101 0 1
13 8 1
71 7 1
50 18 1
167 0 1
80 24 1
63 17 1
9 25 1
21 23 1
95 6 1
48 18 1
106 11 1
65 20 1
14 3 1
15 3 1
