loc nocl count
10 1 1
137 15 1
41 0 1
81 6 1
11 5 1
43 2 1
26 2 1
3 4 1
43 4 1
10 3 1
21 53 1
17 6 1
43 8 1
46 4 1
7 2 1
29 12 1
19 6 1
44 5 1
32 2 1
36 6 1
2 2 1
12 24 1
27 2 1
33 2 1
26 4 1
6 3 1
39 8 1
31 5 1
41 4 1
33 8 1
27 6 1
45 3 1
54 6 1
49 3 1
52 8 1
8 21 1
120 0 1
48 7 1
86 0 1
21 3 1
95 1 1
15 30 1
29 5 1
77 0 1
66 0 1
27 5 1
32 30 1
77 2 1
94 3 1
40 6 1
43 1 1
55 0 1
99 7 1
49 0 1
103 4 1
117 11 1
82 2 1
140 3 1
11 29 1
73 1 1
36 7 1
58 15 1
56 2 1
76 30 1
17 7 1
24 10 1
55 1 1
58 3 1
30 3 1
38 8 1
59 11 1
7 10 1
27 17 1
16 47 1
95 9 1
35 8 1
7 8 1
89 20 1
95 3 1
42 11 1
27 11 1
110 0 1
37 22 1
53 2 1
56 4 1
79 5 1
78 1 1
2 18 1
17 8 1
15 16 1
16 18 1
45 14 1
49 4 1
48 0 1
171 78 1
47 24 1
38 3 1
9 9 1
157 19 1
114 1 1
22 8 1
33 91 1
12 8 1
15 8 1
63 3 1
21 14 1
53 28 1
98 10 1
24 4 1
133 1 1
75 2 1
48 4 1
9 18 1
85 4 1
102 24 1
83 7 1
81 1 1
9 22 1
13 5 1
25 26 1
53 12 1
78 2 1
82 0 1
198 19 1
58 8 1
40 1 1
49 19 1
31 10 1
13 7 1
33 5 1
26 7 1
31 11 1
198 5 1
52 10 1
63 6 1
40 13 1
32 12 1
83 0 1
43 11 1
12 11 1
64 0 1
38 18 1
76 7 1
87 1 1
111 13 1
118 22 1
69 5 1
60 0 1
175 27 1
29 13 1
67 1 1
72 4 1
2 13 1
66 21 1
36 10 1
45 10 1
26 14 1
64 23 1
36 14 1
143 12 1
14 28 1
28 23 1
21 17 1
107 0 1
81 0 1
12 7 1
94 25 1
10 15 1
86 1 1
40 15 1
18 23 1
28 18 1
122 23 1
67 9 1
78 0 1
71 1 1
205 17 1
170 7 1
107 12 1
110 19 1
78 33 1
59 18 1
32 7 1
52 32 1
37 17 1
91 9 1
27 12 1
78 5 1
50 4 1
120 17 1
246 68 1
141 4 1
62 8 1
57 4 1
9 25 1
66 8 1
49 1 1
66 3 1
453 0 1
60 2 1
38 12 1
23 15 1
2 6 1
111 1 1
60 4 1
79 3 1
5 14 1
32 8 1
156 5 1
27 43 1
63 1 1
74 35 1
52 18 1
52 6 1
20 18 1
104 6 1
47 2 1
23 7 1
57 3 1
64 5 1
86 2 1
61 15 1
108 3 1
214 2 1
40 3 1
92 10 1
50 1 1
54 0 1
45 13 1
34 49 1
42 10 1
51 11 1
96 2 1
67 2 1
85 14 1
59 10 1
72 15 1
15 13 1
81 2 1
134 2 1
102 20 1
83 6 1
131 11 1
37 19 1
47 20 1
99 5 1
10 28 1
66 1 1
95 4 1
61 18 1
26 8 1
14 14 1
38 1 1
135 58 1
102 6 1
21 9 1
157 0 1
47 10 1
30 16 1
68 9 1
43 14 1
60 9 1
87 36 1
72 2 1
70 9 1
95 11 1
27 14 1
10 7 1
45 12 1
31 16 1
56 15 1
35 10 1
49 12 1
85 5 1
77 11 1
164 0 1
81 23 1
71 21 1
40 16 1
108 25 1
75 40 1
38 7 1
139 38 1
19 12 1
23 8 1
68 5 1
33 82 1
38 27 1
8 23 1
161 0 1
257 30 1
140 4 1
55 8 1
35 20 1
150 10 1
20 12 1
171 18 1
6 11 1
289 32 1
32 5 1
3 5 1
49 13 1
199 3 1
57 1 1
84 7 1
127 4 1
140 59 1
34 15 1
21 23 1
94 9 1
749 0 1
124 46 1
102 10 1
93 5 1
62 4 1
80 21 1
68 8 1
3 21 1
66 22 1
58 10 1
70 15 1
30 4 1
31 2 1
59 16 1
81 3 1
68 6 1
87 5 1
23 23 1
143 0 1
27 16 1
116 8 1
64 2 1
118 0 1
59 8 1
73 5 1
178 46 1
66 10 1
59 3 1
72 5 1
61 10 1
31 12 1
9 17 1
42 18 1
48 1 1
26 20 1
36 12 1
66 13 1
42 3 1
18 8 1
138 0 1
219 15 1
14 59 1
63 14 1
19 7 1
55 6 1
186 8 1
118 6 1
129 13 1
150 0 1
55 11 1
48 16 1
107 8 1
58 9 1
78 13 1
43 9 1
19 9 1
96 7 1
65 13 1
126 3 1
97 5 1
20 10 1
60 26 1
157 17 1
69 4 1
69 26 1
28 16 1
61 8 1
11 9 1
94 0 1
35 134 1
4 14 1
57 20 1
45 25 1
370 37 1
63 8 1
71 11 1
64 13 1
24 18 1
32 11 1
1682 181 1
88 8 1
47 23 1
15 10 1
47 4 1
119 18 1
63 2 1
40 17 1
96 5 1
26 15 1
22 12 1
736 84 1
107 3 1
72 8 1
135 3 1
188 0 1
21 13 1
