nobl ncl count
0 0 490591
1 0 26680
2 0 15909
0 1 15180
3 0 6828
0 2 4358
4 0 3712
1 1 3301
2 1 2274
5 0 2059
0 3 1834
1 2 1796
2 2 1522
3 1 1376
6 0 1282
3 2 1086
0 4 998
4 1 893
2 3 819
7 0 777
3 3 684
1 3 683
4 2 665
5 1 622
4 3 565
0 5 552
8 0 551
3 4 516
5 2 494
6 1 411
2 4 401
1 4 368
4 4 365
5 3 362
9 0 346
0 6 305
6 2 299
10 0 280
5 4 279
6 3 244
7 1 233
4 5 226
1 5 224
2 5 219
6 4 212
3 5 202
6 5 197
7 2 196
8 1 188
7 3 183
11 0 182
0 7 178
5 5 174
4 6 156
1 6 155
2 6 154
0 8 152
7 5 150
6 6 144
7 4 144
3 6 140
5 6 138
12 0 134
8 3 131
8 2 130
8 5 130
9 1 118
13 0 116
8 4 114
5 7 111
4 7 108
6 7 105
2 7 105
7 6 99
9 5 97
9 2 92
3 7 92
1 7 92
3 9 89
5 8 88
9 3 85
0 9 84
11 1 80
7 8 77
8 7 76
0 10 74
4 8 74
7 7 71
8 6 71
14 0 70
10 1 70
10 2 69
9 4 69
1 8 67
7 25 66
3 12 65
6 8 63
10 6 57
1 9 56
8 10 56
3 8 56
5 9 56
9 6 55
2 9 53
9 8 52
1 11 52
11 2 52
10 4 51
0 12 50
8 11 50
8 8 49
10 3 49
9 7 48
9 13 48
10 5 47
1 10 47
4 9 47
16 0 46
6 23 45
2 8 45
11 12 45
15 0 44
9 9 44
11 7 44
6 9 43
11 3 43
12 1 41
4 10 41
0 11 40
7 9 40
10 8 38
4 11 36
6 10 36
7 16 36
3 10 35
3 15 35
14 1 35
5 32 35
11 4 35
5 16 34
17 0 34
8 23 33
8 9 33
5 10 33
12 5 33
10 19 32
12 2 32
0 13 31
7 12 31
10 11 30
13 1 30
12 6 30
11 9 30
12 4 29
7 11 29
11 10 29
12 8 29
13 2 29
11 5 29
5 11 28
0 14 28
19 0 28
2 10 27
12 49 27
11 36 26
11 11 26
12 9 26
6 12 26
13 8 26
1 12 26
10 7 25
10 9 24
7 10 24
13 5 24
10 10 24
4 12 23
3 11 23
11 6 23
15 4 22
12 10 22
11 8 22
13 6 22
2 11 22
18 0 21
14 5 21
5 12 21
13 3 21
15 1 21
9 11 21
12 3 20
12 7 19
13 7 19
9 12 19
12 46 19
6 13 18
13 9 18
15 8 18
9 10 18
14 3 18
3 13 18
2 12 17
4 14 17
6 11 17
13 4 17
7 13 17
14 2 17
13 11 16
10 13 16
2 14 16
14 10 16
20 0 16
9 16 16
14 6 16
16 2 16
8 14 16
12 11 16
9 17 16
11 14 15
2 13 14
5 13 14
8 12 14
11 13 14
5 14 14
14 31 14
10 12 14
15 11 14
8 21 14
18 2 14
16 3 14
5 15 13
15 2 13
9 18 13
13 10 13
0 17 13
3 14 13
14 8 13
17 28 13
1 15 13
5 22 13
2 16 12
14 4 12
4 13 12
4 15 12
12 14 12
12 12 12
17 4 12
0 18 12
10 16 12
15 12 12
13 13 12
16 9 12
15 10 11
14 7 11
18 1 11
15 7 11
14 61 11
17 3 11
19 4 11
1 14 11
21 0 11
18 6 10
22 0 10
7 15 10
8 17 10
23 0 10
18 5 10
14 12 10
14 13 10
0 15 10
6 16 9
17 9 9
19 5 9
10 14 9
4 22 9
6 14 9
20 11 9
14 14 9
15 13 9
15 6 9
0 16 9
1 13 9
16 7 9
1 18 9
8 15 9
7 17 9
1 16 8
14 17 8
21 3 8
13 14 8
17 13 8
15 5 8
8 13 8
5 18 8
3 18 8
2 15 8
13 12 8
7 14 8
21 2 8
16 4 8
10 17 8
9 15 8
20 1 8
17 1 8
18 73 8
14 11 8
15 35 8
10 20 8
19 3 8
3 16 7
8 18 7
8 16 7
18 4 7
16 16 7
12 13 7
16 11 7
22 1 7
0 22 7
21 1 7
3 17 7
4 17 7
14 9 7
9 27 7
16 13 7
10 15 7
16 10 7
16 6 7
10 18 7
15 3 7
19 11 7
10 23 7
10 21 7
18 9 6
21 5 6
23 8 6
21 6 6
18 7 6
21 15 6
7 21 6
15 18 6
22 19 6
4 21 6
15 9 6
19 2 6
22 10 6
18 12 6
16 1 6
9 14 6
19 1 6
17 2 6
23 6 6
16 5 6
5 19 6
14 20 6
20 18 6
6 17 6
19 15 6
25 0 6
30 81 6
6 18 6
8 19 6
18 3 6
2 20 6
24 19 6
17 15 6
6 15 6
19 8 6
17 8 6
17 5 6
4 16 6
20 13 6
14 16 6
21 14 5
2 19 5
19 10 5
22 7 5
19 14 5
22 9 5
12 15 5
16 15 5
0 26 5
20 2 5
20 3 5
14 15 5
20 9 5
22 5 5
18 13 5
9 22 5
15 20 5
2 18 5
19 17 5
20 14 5
1 20 5
18 10 5
24 8 5
1 24 5
3 19 5
24 0 5
9 20 5
9 19 5
16 18 5
20 20 5
5 17 5
0 21 5
7 23 5
11 21 5
17 7 5
4 20 5
0 19 4
6 22 4
11 15 4
6 19 4
10 22 4
20 6 4
4 18 4
17 6 4
13 24 4
11 19 4
11 18 4
4 23 4
11 20 4
33 0 4
26 0 4
9 23 4
