nobl ncl count
3 0 1
13 0 1
7 3 1
1 7 1
2 9 1
7 7 1
10 12 1
2 1 1
8 20 1
21 25 1
17 1 1
0 17 1
9 5 1
3 17 1
8 8 1
16 5 1
40 10 1
4 7 1
18 0 1
15 7 1
9 18 1
7 13 1
71 0 1
9 4 1
2 26 1
47 80 1
7 15 1
2 7 1
9 6 1
10 3 1
3 7 1
24 29 1
10 6 1
4 20 1
20 50 1
24 13 1
30 81 1
13 1 1
12 2 1
11 75 1
9 9 1
9 16 1
13 4 1
13 20 1
4 1 1
16 1 1
5 32 1
4 6 1
0 18 1
13 5 1
6 30 1
27 73 1
23 6 1
16 13 1
7 11 1
11 5 1
5 12 1
6 11 1
3 14 1
5 19 1
15 11 1
8 35 1
3 13 1
9 20 1
10 59 1
21 18 1
49 24 1
20 17 1
3 93 1
0 15 1
12 1 1
23 4 1
13 48 1
7 18 1
18 21 1
1 5 1
9 25 1
1 15 1
12 15 1
7 14 1
12 47 1
7 8 1
24 18 1
25 33 1
0 32 1
12 17 1
18 47 1
1 16 1
6 39 1
15 35 1
24 0 1
14 25 1
28 0 1
25 13 1
10 22 1
22 30 1
10 19 1
8 6 1
13 7 1
13 10 1
20 1 1
17 8 1
4 9 1
43 18 1
26 15 1
8 25 1
0 62 1
36 41 1
20 6 1
10 16 1
53 42 1
26 19 1
21 6 1
3 15 1
89 38 1
26 23 1
7 45 1
17 5 1
7 21 1
21 23 1
17 24 1
10 1 1
7 25 1
13 38 1
7 30 1
3 22 1
8 75 1
20 0 1
11 8 1
4 30 1
14 11 1
11 15 1
0 36 1
33 32 1
12 20 1
8 13 1
17 15 1
12 68 1
0 24 1
2 17 1
69 56 1
41 12 1
118 107 1
18 3 1
12 4 1
15 8 1
28 15 1
14 32 1
14 12 1
6 9 1
0 14 1
22 18 1
3 16 1
6 14 1
32 1 1
6 34 1
7 17 1
43 49 1
14 57 1
26 5 1
3 35 1
5 20 1
20 15 1
25 21 1
82 64 1
17 2 1
19 30 1
2 23 1
54 102 1
28 8 1
1 27 1
3 24 1
2 29 1
14 27 1
18 4 1
9 54 1
5 27 1
24 38 1
6 3 1
13 19 1
127 68 1
30 48 1
0 22 1
12 3 1
64 88 1
18 73 1
6 24 1
14 61 1
46 23 1
38 11 1
37 21 1
47 26 1
11 0 1
23 18 1
8 29 1
18 35 1
28 16 1
27 13 1
51 24 1
19 70 1
21 10 1
0 10 1
52 26 1
4 21 1
57 15 1
20 18 1
37 12 1
12 21 1
80 35 1
65 35 1
203 139 1
13 2 1
23 8 1
8 3 1
42 29 1
14 5 1
32 0 1
9 11 1
25 38 1
26 0 1
19 0 1
46 31 1
0 25 1
22 11 1
8 28 1
73 50 1
43 100 1
17 9 1
16 17 1
16 69 1
4 17 1
5 17 1
118 61 1
9 21 1
41 25 1
25 15 1
119 78 1
70 54 1
7 40 1
30 6 1
22 7 1
19 28 1
12 37 1
32 22 1
6 21 1
5 14 1
21 35 1
18 8 1
22 26 1
21 50 1
3 3 1
21 1 1
27 3 1
16 25 1
13 11 1
81 46 1
13 16 1
11 18 1
15 4 1
108 115 1
22 5 1
19 26 1
21 15 1
21 27 1
16 19 1
19 7 1
18 16 1
55 24 1
33 12 1
15 15 1
26 26 1
27 14 1
23 9 1
18 15 1
10 17 1
3 33 1
9 13 1
1 28 1
24 35 1
13 8 1
14 15 1
23 15 1
25 6 1
38 10 1
9 36 1
68 29 1
16 9 1
81 50 1
132 95 1
112 84 1
125 89 1
3 36 1
18 27 1
41 60 1
6 35 1
38 14 1
16 35 1
11 23 1
14 19 1
22 22 1
27 7 1
20 25 1
31 2 1
1 10 2
0 6 2
3 5 2
16 15 2
24 22 2
8 7 2
5 8 2
12 19 2
