nobl ncl count
6 5 1
3 3 1
9 1 1
9 2 1
7 7 1
7 3 1
2 9 1
4 7 1
5 22 1
14 13 1
1 9 1
4 3 1
6 9 1
1 3 1
8 2 1
0 6 1
6 17 1
10 13 1
7 15 1
2 13 1
6 14 1
14 10 1
1 12 1
4 22 1
12 2 1
9 10 1
7 6 1
6 13 1
9 4 1
7 18 1
3 17 1
9 7 1
2 16 1
12 11 1
0 13 1
8 7 1
9 5 1
5 24 1
4 17 1
7 20 1
9 18 1
5 13 1
18 73 1
12 12 1
10 22 1
0 26 1
12 36 1
3 26 1
15 35 1
8 0 1
9 16 1
10 10 1
14 38 1
5 3 1
6 34 1
10 17 1
6 8 1
2 20 1
10 2 1
14 20 1
12 46 1
3 14 1
7 2 1
20 50 1
17 19 1
6 7 1
11 5 1
13 0 1
16 56 1
3 42 1
4 6 1
3 16 1
11 13 1
4 10 1
18 1 1
6 16 1
13 56 1
1 15 1
18 82 1
5 7 1
16 0 1
22 9 1
16 11 1
13 48 1
11 2 1
7 25 1
12 19 1
10 11 1
0 14 1
3 11 1
11 6 1
7 16 1
3 21 1
11 3 1
3 10 1
1 18 1
11 8 1
11 55 1
12 4 1
9 23 1
6 18 1
13 5 1
16 15 1
4 21 1
6 12 1
8 10 1
9 14 1
12 0 1
17 0 1
5 12 1
14 34 1
1 31 1
14 9 1
1 27 1
2 26 1
17 8 1
15 13 1
10 14 1
0 24 1
8 13 1
14 3 1
4 8 1
11 21 1
17 5 1
4 11 1
4 16 1
1 19 1
20 21 1
2 25 1
4 30 1
3 33 1
5 16 1
0 8 1
4 24 1
0 15 1
5 17 1
5 21 1
2 0 2
5 1 2
8 4 2
6 1 2
9 6 2
4 0 2
4 5 2
2 6 2
8 5 2
3 6 2
1 7 2
1 6 2
0 17 2
4 9 2
11 9 2
0 11 2
8 14 2
6 53 2
5 8 2
7 12 2
4 13 2
0 10 2
7 17 2
6 4 2
15 12 2
6 23 2
1 8 2
3 18 2
7 8 2
8 3 2
5 14 2
7 10 2
16 14 2
11 12 2
5 9 2
5 32 2
6 11 2
11 14 2
14 1 2
8 15 2
8 17 2
10 16 2
12 48 2
4 23 2
8 21 2
6 22 2
12 10 2
8 35 2
1 24 2
15 8 2
3 12 2
9 15 2
11 7 2
11 36 2
9 3 2
10 5 2
9 22 2
7 5 2
7 4 2
0 9 3
6 0 3
1 2 3
5 2 3
6 10 3
3 1 3
3 2 3
1 5 3
1 4 3
1 1 3
1 10 3
9 8 3
10 0 3
18 0 3
4 4 3
1 25 3
3 5 3
10 8 3
8 12 3
2 7 3
8 9 3
9 13 3
11 10 3
1 16 3
11 75 3
2 4 3
11 0 4
7 0 4
4 1 4
5 4 4
3 4 4
3 7 4
10 4 4
11 1 4
2 8 4
10 3 4
0 0 5
6 2 5
2 2 5
5 0 5
1 0 5
5 6 5
0 1 5
0 3 5
9 0 5
10 1 5
6 6 5
5 5 5
2 1 5
12 5 5
0 5 6
2 5 6
0 4 7
0 2 7
8 1 7
0 7 8
3 0 8
