count robl hsv
6966 0.0 85
6916 0.0 61
5413 0.0 118
5412 0.0 125
5137 0.0 104
5010 0.0 158
4991 0.0 150
4882 0.0 77
4873 0.0 111
4825 0.0 142
4689 0.0 134
4564 0.0 68
4099 0.0 166
3991 0.0 292
3887 0.0 97
3784 0.0 173
3743 0.0 181
3683 0.0 196
3646 0.0 188
3616 0.0 204
3563 0.0 213
3434 0.0 222
3393 0.0 91
3286 0.0 280
3241 0.0 231
3177 0.0 240
3131 0.0 258
3027 0.0 249
2955 0.0 306
2810 0.0 269
2540 0.0 317
2498 0.0 360
2410 1.9758940920766644e-05 52
2146 0.0 348
2081 0.0 337
1894 0.0 327
1792 0.0 434
1753 0.0 449
1649 0.0 395
1646 0.0 373
1645 0.0 419
1630 0.0 383
1593 0.0 406
1547 0.0 464
1273 0.0 479
1222 0.0 571
1199 0.0 552
1173 0.0 519
1142 0.0 534
1034 0.0 505
1003 0.0 607
977 0.0 493
944 0.0 589
823 0.0 643
814 0.0 625
653 0.0 660
633 0.0 710
602 0.0 746
596 0.0 676
592 0.0 728
588 0.0 692
523 0.0 888
519 0.0 800
514 0.0 843
506 0.0 821
486 0.0 978
480 0.0 945
469 0.0 916
458 0.25 166
455 0.0 765
451 0.0 781
446 0.33329936132626714 368
435 0.25 222
431 0.0 865
413 0.0 1012
408 0.2000544662309368 137
398 0.1673765440392694 212
388 0.25 337
385 0.0 1045
383 0.5 127
382 0.25 191
375 0.25 115
360 0.3333333333333333 192
359 0.16683548577698995 244
355 0.2 222
352 0.5 159
352 0.5 98
347 0.3333333333333333 142
344 0.0 1079
340 0.25004901960784315 294
339 0.3332886385983731 279
336 0.2500496031746032 255
335 0.16698326549072817 180
335 0.25 140
334 0.19999999999999998 194
330 0.3333333333333333 317
329 0.16665032519528059 308
315 0.2 250
315 0.0 1112
310 0.25 382
307 0.5 191
300 0.3333333333333333 219
299 0.1426978818283166 316
298 0.2 280
289 0.5 224
284 0.2 166
282 0.5 266
282 0.3333333333333333 166
280 0.5 76
279 0.5 56
279 0.14439127181062664 387
279 0.25 87
278 0.08898984708337226 396
277 0.16666666666666666 276
276 0.12536231884057972 341
275 0.20003827751196174 376
263 0.14431955876822797 352
262 0.16663318601848132 347
260 0.09603896103896103 467
259 0.1430325144610859 281
257 0.1305705336224707 591
256 0.19996995192307693 337
255 0.14287242169595107 554
253 0.3333333333333333 248
251 0.0 1172
250 0.14095064935064935 459
244 0.09541728763040239 286
242 0.0 1231
241 0.4 211
241 0.0966804979253112 323
238 0.33338720103425984 410
238 0.2857415693550147 177
236 0.0 1201
235 0.0780389681240745 516
235 0.12517730496453902 181
232 0.09815830721003135 214
231 0.0 1324
229 0.06998192047318685 548
229 0.3333333333333333 111
228 0.37114823386108214 387
227 0.16655073807867685 385
227 0.14368010843781767 246
227 0.2500478835472132 461
225 0.12518518518518518 304
225 0.12514814814814815 270
218 0.1261408252970115 406
218 0.0 1264
217 0.0 1293
216 0.1835127519204139 667
215 0.0 1145
215 0.09813953488372093 254
215 0.11112391100871193 380
214 0.20020768431983388 98
214 0.1111480827779546 306
214 0.1110661021253886 340
214 0.2234107481436401 470
213 0.22213788995282913 561
213 0.166880068288519 151
213 0.08778604874746944 560
210 0.12666512033008198 639
210 0.20005012531328323 417
209 0.20015109544195417 457
208 0.09995662232504338 361
207 0.20000000000000004 309
205 0.13570798624771638 815
205 0.1431251675154114 214
205 0.22241648051037097 514
205 0.1254330151997172 373
203 0.33333333333333326 466
202 0.08863929871247994 363
200 0.15388663967611335 310
199 0.1509121610020843 636
198 0.09578651248952462 533
197 0.4000000000000001 236
196 0.08703236334059314 601
196 0.14573334828436868 422
195 0.16668831576114776 499
194 0.4 267
194 0.059769358754988 734
194 0.22282573904769173 359
193 0.08426292938119927 683
192 0.0798786464139725 437
191 0.0 1360
191 0.07953910612653713 952
191 0.4 302
189 0.0658174670614055 682
187 0.09792334506660429 505
187 0.10000268049803655 404
186 0.06737864847638673 480
186 0.055443944697290345 661
185 0.2849420849420849 228
185 0.14275886275886274 507
184 0.11137471769791057 423
183 0.2844106357390699 299
181 0.08850359745147159 493
181 0.16681009596975283 544
181 0.5 308
180 0.07228622264637591 620
180 0.16675084175084173 120
180 0.28346120002199854 266
179 0.2857142857142857 336
178 0.16651882515276956 422
178 0.07450585246400822 776
177 0.24979822437449556 426
176 0.05587486951804957 774
176 0.0803277972027972 471
175 0.22184033471074605 396
175 0.07289628466771324 651
174 0.4 153
174 0.12580596877399378 479
172 0.15113647069836364 789
172 0.10469352057479353 658
171 0.3342656157301466 517
170 0.16580535048027306 455
170 0.1377736330418623 722
170 0.08945981554677207 426
170 0.0493562712582613 702
169 0.24876104287868994 540
168 0.12500583566760037 237
167 0.06318441548275998 584
166 0.0 1431
166 0.1250677184058784 681
165 0.4 183
165 0.1395467437473707 610
163 0.08738857638664255 732
162 0.2008690708252112 659
161 0.22312871636949094 430
159 0.11186584140611829 498
159 0.15947458499081013 684
158 0.2857142857142857 372
158 0.10673827159111478 618
158 0.12745826453861675 549
157 0.073992673992674 391
157 0.28582133490338807 454
157 0.11124772764259266 461
157 0.1033501700912729 748
156 0.30137542004529183 442
156 0.1272610889477939 1260
156 0.18289482168158638 539
155 0.1434883537886875 682
154 0.6666666666666666 135
153 0.05807484195227188 627
153 0.05142111897882403 814
152 0.07292828298272945 721
152 0.18240313860097815 586
151 0.05009346870797745 853
151 0.14285714285714285 179
150 0.37306027306027306 329
150 0.19987728937728938 496
150 0.06786858076563959 437
149 0.3333333333333333 79
149 0.12799824919754887 513
149 0.20040639049676204 537
149 0.12550364178352988 441
147 0.11770138824760674 790
147 0.1384817399750888 953
147 0.15828146517217986 738
146 0.15165330343773026 581
146 0.07803326810176126 338
146 0.10361113233813654 699
146 0.20338227021716568 614
145 0.18209939148073023 410
145 0.11208479669032674 536
145 0.0 1466
144 0.06747161938160856 820
144 0.28566241311339347 412
144 0.24950883131030188 499
143 0.0 1539
143 0.17410867506675218 710
142 0.07443125992421766 585
142 0.18249418698677553 489
141 0.09529501577328524 1160
141 0.11087470449172576 184
140 0.060591741419914795 516
140 0.13720915977769693 763
140 0.5 344
140 0.0 1395
139 0.18343627106577037 801
139 0.2501628423751137 579
139 0.18275039941491947 852
139 0.17373629646751443 906
139 0.3991192566308944 419
138 0.18273125354327402 450
138 0.1191916178840238 850
138 0.22221701761343704 291
138 0.18340528530977585 750
138 0.058111431815858754 1302
137 0.1984813563722205 712
136 0.10016217013121038 438
135 0.20445709270506823 885
135 0.1111111111111111 267
134 0.11106746966919785 228
134 0.06401802035833366 1726
134 0.08755178090350058 641
133 0.09854299897250382 955
133 0.18267913452686446 628
132 0.150781395532117 913
131 0.05279548328544944 405
130 0.14192098804650133 1097
130 0.13115030130691824 1006
130 0.16563237141342463 825
130 0.1806057780400698 968
130 0.3708282102512872 236
130 0.2282033964898415 606
129 0.1264984473060592 899
129 0.16622768583068726 593
129 0.039756030758894084 1067
128 0.0 1503
128 0.1074526283422041 898
127 0.22278097590742332 327
127 0.21647969776089201 684
127 0.2221577003480864 639
127 0.16221126219881282 958
126 0.22843177519284708 813
126 0.05982123356165078 359
125 0.16714081671843578 1024
125 0.10000184221550945 581
124 0.052680217379889135 1104
124 0.06719490449702605 1056
123 0.08555179917244043 902
123 0.40229555236728837 339
121 0.19992957600613104 578
121 0.0 1718
121 0.2512301434706261 741
121 0.42726133515607195 393
120 0.16192091678999326 871
120 0.03591118285651699 1119
120 0.15439237516869095 532
120 0.3020376875446535 483
119 0.10523829406296978 824
119 0.09717977536064158 864
119 0.09629442281340057 779
118 0.3333333333333333 665
118 0.2297550968539362 895
118 0.2716599536849314 649
118 0.19395361908246642 1019
117 0.08132181209104286 295
116 0.6666666666666666 176
116 0.1667502539053054 638
115 0.6666666666666666 87
115 0.11328186340974064 577
115 0.08817373162044018 815
115 0.11820820725168552 717
115 0.2703060173998389 603
115 0.08187609491957318 249
114 0.16764410945386077 774
114 0.0 1676
114 0.14722219403659845 845
113 0.1816407174293692 364
113 0.0 1634
113 0.11841151484072093 974
112 0.038026126631436084 1208
112 0.3336767399267399 569
112 0.3998626373626374 373
111 0.0 1755
111 0.0 1601
111 0.20425756029204306 807
110 0.0680880181912895 919
110 0.16334862826502147 1436
110 0.12148845573204124 752
110 0.28592118665648075 491
110 0.03643079425456665 1347
110 0.30509438974225206 831
110 0.1019412355483841 1002
110 0.14911895509657397 997
109 0.2169547772084806 733
109 0.040656451993103235 966
109 0.36261890437224886 623
109 0.23224194046644128 671
108 0.058292040343427894 956
108 0.10565183784015765 1086
108 0.03704055657279741 1164
108 0.04978651093650869 924
108 0.03527838534515909 1398
107 0.28620517989127114 632
107 0.14973053326493618 1047
107 0.22047694427954537 1053
107 0.3767085718020297 276
107 0.23316995148282857 854
107 0.2002866169737788 757
106 0.30357677254692267 565
106 0.2505774793834463 689
