loc cc count
17 1 1
16 3 1
13 3 1
18 2 1
42 5 1
17 3 1
25 2 1
15 5 1
29 7 1
32 7 1
19 6 1
36 10 1
38 10 1
26 8 1
14 4 1
20 2 1
13 2 1
15 6 1
18 1 1
26 2 1
11 5 1
20 6 1
23 10 1
38 9 1
23 1 1
37 9 1
35 7 1
36 5 1
11 7 1
29 8 1
28 3 1
21 6 1
42 12 1
15 1 1
31 5 1
42 1 1
38 12 1
40 8 1
37 2 1
28 10 1
34 11 1
23 9 1
25 3 1
30 10 1
28 11 1
30 8 1
19 5 1
9 7 1
25 5 1
36 15 1
8 7 1
6 3 1
32 9 1
33 13 1
34 2 1
40 6 1
22 10 1
22 3 1
27 1 1
36 3 1
22 8 1
20 8 1
13 5 1
39 4 1
41 4 1
30 13 1
8 8 1
36 2 1
41 8 1
18 9 1
39 13 1
42 11 1
27 12 1
37 4 1
42 17 1
22 9 1
28 5 1
31 13 1
18 11 1
40 5 1
39 6 1
32 3 1
11 4 1
42 2 1
38 25 1
42 14 1
39 5 1
34 18 1
12 12 1
10 11 1
30 1 1
37 8 1
41 6 1
37 23 1
23 13 1
37 5 1
33 11 1
32 17 1
39 2 1
34 14 1
28 4 1
25 4 1
36 8 1
31 9 1
26 22 1
30 15 1
21 16 1
40 12 1
26 9 1
41 16 1
23 15 1
40 1 1
34 4 1
38 6 1
34 12 1
41 2 1
35 25 1
26 1 1
22 12 1
9 4 1
41 5 1
40 18 1
26 7 1
39 12 1
22 7 1
27 15 1
25 13 1
34 16 1
38 19 1
7 2 1
34 20 1
42 21 1
33 27 1
24 11 1
24 13 1
42 3 1
8 4 1
39 14 1
41 25 1
36 17 1
29 4 1
6 4 1
36 12 1
28 13 1
30 9 1
7 7 1
25 17 1
31 19 1
35 11 1
30 7 1
12 11 1
34 21 1
29 25 1
40 19 1
32 13 1
21 1 2
23 2 2
10 2 2
12 1 2
23 4 2
8 1 2
9 2 2
10 1 2
12 2 2
23 5 2
25 9 2
30 6 2
17 6 2
27 4 2
33 4 2
36 6 2
33 10 2
23 7 2
14 1 2
30 2 2
15 4 2
22 1 2
16 5 2
28 12 2
34 9 2
25 1 2
35 6 2
19 7 2
42 6 2
22 6 2
27 8 2
27 2 2
37 7 2
41 3 2
13 7 2
29 1 2
22 4 2
9 3 2
38 5 2
35 1 2
10 5 2
22 11 2
39 15 2
38 11 2
14 5 2
37 1 2
30 3 2
32 11 2
31 3 2
15 9 2
33 3 2
18 4 2
38 2 2
27 6 2
39 16 2
33 7 2
31 7 2
42 7 2
25 7 2
11 2 2
25 10 2
27 9 2
37 12 2
38 3 2
26 16 2
12 7 2
37 22 2
31 24 2
25 14 2
39 18 2
16 4 3
19 2 3
35 2 3
19 1 3
7 1 3
33 9 3
16 6 3
31 8 3
26 4 3
6 1 3
21 5 3
33 6 3
12 3 3
42 16 3
33 14 3
12 4 3
29 6 3
24 5 3
31 10 3
32 5 3
7 6 3
14 6 3
6 2 3
16 8 3
42 10 3
29 10 3
31 1 3
39 28 3
25 11 3
36 7 3
34 1 3
32 10 3
29 5 3
35 4 3
37 14 3
38 8 3
10 4 4
20 4 4
23 3 4
8 2 4
18 3 4
9 1 4
10 3 4
25 6 4
39 8 4
17 4 4
24 6 4
26 5 4
35 9 4
39 10 4
36 4 4
14 3 4
33 12 4
12 6 4
7 4 4
40 7 4
19 3 5
20 3 5
39 7 5
30 4 5
22 5 5
13 1 5
41 9 5
29 2 5
32 2 5
26 11 5
32 4 5
18 8 5
13 4 5
15 2 6
24 3 6
27 3 6
18 5 6
28 2 7
28 1 7
16 2 7
26 3 7
11 3 8
17 2 8
20 1 8
22 2 8
