loc coco count
20.0 4 1
17.0 5 1
25.0 2 1
14.0 0 1
33.0 12 1
29.0 4 1
15.0 7 1
24.0 9 1
29.0 7 1
20.0 5 1
31.0 7 1
18.0 5 1
7.0 0 1
39.0 26 1
33.0 22 1
34.0 9 1
23.0 14 1
36.0 4 1
33.0 14 1
24.0 7 1
36.0 12 1
36.0 5 1
35.0 17 1
27.0 5 1
32.0 8 1
37.0 12 1
30.0 8 1
38.0 21 1
27.0 23 1
36.0 17 1
41.0 8 1
39.0 2 1
26.0 0 1
20.0 10 1
15.0 11 1
26.0 9 1
26.0 8 1
21.0 13 1
27.0 0 1
25.0 10 1
9.0 2 1
34.0 10 1
32.0 4 1
39.0 12 1
21.0 11 1
41.0 1 1
39.0 14 1
35.0 8 1
30.0 0 1
27.0 11 1
31.0 5 1
21.0 9 1
42.0 9 1
24.0 4 1
29.0 1 1
34.0 7 1
40.0 4 1
35.0 5 1
11.0 0 1
16.0 7 1
29.0 9 1
22.0 13 1
41.0 9 1
27.0 9 1
40.0 11 1
35.0 11 1
33.0 10 1
13.0 3 1
38.0 5 1
30.0 10 1
26.0 11 1
29.0 2 1
12.0 6 1
13.0 7 1
36.0 9 1
20.0 7 1
35.0 6 1
38.0 0 1
29.0 0 1
17.0 2 1
32.0 21 1
37.0 8 1
40.0 25 1
41.0 12 1
35.0 4 1
37.0 15 1
36.0 0 1
38.0 17 1
32.0 1 1
9.0 1 1
41.0 30 1
21.0 8 1
41.0 29 1
21.0 15 1
34.0 15 1
36.0 8 1
40.0 16 1
41.0 34 1
30.0 16 1
31.0 11 1
11.0 7 1
31.0 15 1
23.0 11 1
42.0 11 1
26.0 1 1
27.0 14 1
34.0 4 1
9.0 3 1
29.0 17 1
31.0 26 1
40.0 14 1
16.0 12 1
38.0 16 1
39.0 5 1
33.0 31 1
31.0 13 1
40.0 5 1
6.0 2 1
38.0 31 1
21.0 5 1
31.0 2 1
22.0 14 1
41.0 20 1
34.0 0 1
28.0 25 1
28.0 15 1
27.0 13 1
37.0 14 1
31.0 10 1
36.0 16 1
29.0 28 1
32.0 16 1
36.0 21 1
25.0 9 1
36.0 27 1
30.0 9 1
20.0 11 1
35.0 13 1
40.0 0 1
17.0 11 1
22.0 19 1
29.0 12 1
29.0 18 1
41.0 22 1
