loc ncl count
19 1 1
25 4 1
39 0 1
8 1 1
6 1 1
30 6 1
34 3 1
28 0 1
9 22 1
19 5 1
9 7 1
36 3 1
7 2 1
17 12 1
21 7 1
26 3 1
13 1 1
28 4 1
11 3 1
24 4 1
42 12 1
33 4 1
26 7 1
38 3 1
28 11 1
41 7 1
35 6 1
26 11 1
17 14 1
21 14 1
19 10 1
16 13 1
34 2 1
21 11 1
28 18 1
35 8 1
30 8 1
28 2 1
42 11 1
37 18 1
29 3 1
39 4 1
40 9 1
37 19 1
17 5 1
36 5 1
16 10 1
26 8 1
22 22 1
29 5 1
33 5 1
20 2 1
15 30 1
35 1 1
10 5 1
36 10 1
12 7 1
40 3 1
25 2 1
27 4 1
31 0 1
32 3 1
25 8 1
24 5 1
12 3 1
13 7 1
31 12 1
39 9 1
20 20 1
24 12 1
42 5 1
30 31 1
18 25 1
21 16 1
20 18 1
14 5 1
35 4 1
22 62 1
32 9 1
19 56 1
28 13 1
33 12 1
17 3 1
31 23 1
17 48 1
35 12 1
40 5 1
16 7 1
36 4 1
16 48 1
9 11 1
33 73 1
7 8 1
20 5 1
17 9 1
24 18 1
32 5 1
27 2 1
15 9 1
13 9 1
36 19 1
10 15 1
26 9 1
31 22 1
18 4 1
39 5 1
17 8 1
20 56 1
16 50 1
20 12 1
10 10 1
22 61 1
25 14 1
8 23 1
39 8 1
29 10 1
15 15 1
40 26 1
32 7 1
26 19 1
27 11 1
13 17 1
26 2 1
20 57 1
25 36 1
11 1 1
29 14 1
6 11 1
27 43 1
23 23 1
34 13 1
30 13 1
23 15 1
31 19 1
30 24 1
41 1 1
22 33 1
11 29 1
42 8 1
22 9 1
25 7 1
41 10 1
14 132 1
37 3 1
11 2 1
40 17 1
41 12 1
25 38 1
34 1 1
7 3 1
14 34 1
25 11 1
8 5 1
20 6 1
38 10 1
14 6 1
27 16 1
24 17 1
28 17 1
11 12 1
7 10 1
16 6 1
33 6 1
35 21 1
18 23 1
12 6 1
20 10 1
22 13 1
17 55 1
23 11 1
17 4 1
27 14 1
27 18 1
16 46 1
15 7 1
27 7 1
21 4 1
13 13 1
33 20 1
40 4 1
18 12 1
13 16 1
23 8 1
12 11 1
14 9 1
17 13 1
34 25 1
37 1 1
10 12 1
7 11 1
14 15 1
37 25 1
15 19 1
19 6 1
18 9 1
40 2 1
18 0 2
16 5 2
25 5 2
7 0 2
25 0 2
32 0 2
32 4 2
36 0 2
18 2 2
14 4 2
28 1 2
42 0 2
33 1 2
18 3 2
21 6 2
41 0 2
39 2 2
38 0 2
6 4 2
23 1 2
23 3 2
29 4 2
31 2 2
15 3 2
38 5 2
10 1 2
33 0 2
40 6 2
9 2 2
13 4 2
16 3 2
19 3 2
39 7 2
42 1 2
33 3 2
27 9 2
20 3 2
31 8 2
34 4 2
27 0 2
9 4 2
33 2 2
40 0 2
26 6 2
15 4 2
21 13 2
25 17 2
34 0 2
32 10 2
42 4 2
17 2 2
18 1 2
37 5 2
21 5 2
14 7 2
32 30 2
21 9 2
11 5 2
14 2 2
38 2 2
39 3 2
31 11 2
26 1 2
29 1 2
9 9 2
11 4 2
17 24 2
32 1 2
29 9 2
10 22 2
38 22 2
41 13 2
14 10 2
38 12 2
41 6 2
24 9 2
20 9 2
30 14 2
15 29 2
8 16 2
31 1 2
24 1 2
31 5 2
15 16 2
25 9 2
22 6 2
42 7 2
25 30 2
12 4 2
8 4 2
16 8 2
38 4 2
34 14 2
27 8 2
37 17 2
38 9 2
8 15 2
37 14 2
37 10 2
8 14 2
35 11 2
12 17 2
24 0 3
13 0 3
16 2 3
23 0 3
21 0 3
21 1 3
39 1 3
19 0 3
8 2 3
22 1 3
30 3 3
14 0 3
42 2 3
37 2 3
32 8 3
16 1 3
26 4 3
40 1 3
7 1 3
28 9 3
27 3 3
35 5 3
35 0 3
33 8 3
15 6 3
35 3 3
6 2 3
18 5 3
29 8 3
28 3 3
27 5 3
10 8 3
25 3 3
32 2 3
29 12 3
9 5 3
19 20 3
13 6 3
19 2 3
27 13 3
30 9 3
35 9 3
6 3 3
29 7 3
21 23 3
15 10 3
26 20 3
28 22 3
22 4 3
30 2 3
13 8 3
20 13 3
19 7 3
18 13 3
28 8 4
27 1 4
24 2 4
26 0 4
15 0 4
9 0 4
25 1 4
39 6 4
37 0 4
38 1 4
9 3 4
21 3 4
36 2 4
11 11 4
33 15 4
31 6 4
41 2 4
24 6 4
37 15 4
34 49 4
28 10 5
16 0 5
35 2 5
23 2 5
14 1 5
28 5 5
12 0 5
29 0 5
10 2 5
20 0 5
13 2 5
10 6 5
11 0 6
30 0 6
20 4 6
15 2 6
22 0 6
6 7 6
22 5 6
23 4 6
8 0 7
20 1 7
17 1 7
18 6 7
10 0 8
17 0 9
