count nobl hse
361 2.0 2921
346 2.0 5193
330 2.0 2786
311 2.0 3517
304 2.0 4510
296 2.0 2675
293 2.0 2475
282 2.0 1451
275 2.0 3624
274 2.0 7062
265 2.0 2017
258 2.0 2117
257 2.0 3403
255 2.0 3854
250 2.0 1573
248 2.0 3742
248 2.0 1897
236 2.0 4092
235 2.0 999
231 2.0 3967
227 2.0 2220
225 2.0 1330
224 2.0 3304
223 2.0 4196
223 2.0 3093
215 2.0 1793
214 2.0 3201
210 2.0 3003
207 2.0 1107
202 2.0 7333
199 2.0 892
198 2.0 1221
195 2.0 2572
194 2.0 1688
190 2.0 2312
189 2.0 4300
187 2.0 4793
183 2.0 6304
180 2.0 4393
179 2.0 478
179 2.0 4698
178 2.0 6697
171 2.0 2393
171 2.0 5506
171 2.0 8086
170 3.0 7271
169 2.0 5092
165 2.0 8262
163 2.0 6170
163 2.0 7751
162 3.0 2012
160 2.0 4996
159 2.0 6949
156 2.0 4894
155 3.0 4904
154 2.0 7909
154 2.0 8439
154 2.0 7609
153 2.0 5623
152 2.0 5382
151 3.0 4121
151 3.0 2892
150 3.0 4633
149 2.0 7184
147 3.0 9115
145 3.0 4495
144 2.0 6576
144 2.0 4596
144 2.0 9297
143 2.0 5290
142 2.0 5734
140 2.0 7470
140 2.0 5929
139 3.0 2238
138 2.0 6439
136 3.0 4253
132 2.0 781
132 2.0 9630
130 2.0 6046
130 3.0 3170
129 2.0 16311
128 2.0 5830
128 2.0 6817
126 3.0 4757
123 2.0 8602
123 2.0 9774
123 3.0 7847
122 3.0 6935
122 2.0 10934
120 3.0 3037
119 3.0 3320
119 2.0 9449
117 3.0 2599
117 3.0 3461
116 3.0 2417
113 3.0 8016
112 3.0 8971
111 3.0 3713
111 3.0 2738
110 2.0 8976
109 3.0 6443
109 2.0 10420
108 2.0 9897
108 4.0 5831
108 3.0 8787
108 2.0 646
108 4.0 6599
107 3.0 5750
107 3.0 8426
106 3.0 8218
106 4.0 7246
105 3.0 3597
105 3.0 4378
104 2.0 9130
104 3.0 6024
102 3.0 8611
102 3.0 9307
101 3.0 7089
101 3.0 1145
101 2.0 10738
100 3.0 5608
97 3.0 3849
97 2.0 11772
97 3.0 6307
96 3.0 6173
95 2.0 13595
95 3.0 1640
94 3.0 7718
94 4.0 3081
94 2.0 11127
94 2.0 10566
94 2.0 8854
93 2.0 10292
93 3.0 6669
92 2.0 11597
91 3.0 5889
90 3.0 6792
90 2.0 8740
90 2.0 11454
88 4.0 4677
88 2.0 10019
87 4.0 5122
87 3.0 5482
87 2.0 13370
86 4.0 7063
86 3.0 5373
85 3.0 1477
85 3.0 5145
85 4.0 6844
84 3.0 5025
84 3.0 3988
83 3.0 5265
82 3.0 1825
82 2.0 11296
81 4.0 12320
81 2.0 13783
81 3.0 9674
81 2.0 11959
81 3.0 12295
80 4.0 7490
79 3.0 13318
78 4.0 4293
77 3.0 9498
77 2.0 12117
77 2.0 14009
77 2.0 14735
77 4.0 10235
77 2.0 13203
76 3.0 9833
76 2.0 12482
76 3.0 7583
75 6.0 6800
74 5.0 12300
74 2.0 12834
74 3.0 28142
74 3.0 14021
72 4.0 14145
72 4.0 3591
72 2.0 10146
72 3.0 10315
71 4.0 4104
71 4.0 1276
71 2.0 33023
71 3.0 6567
70 3.0 9995
70 4.0 6372
70 3.0 11502
70 3.0 13547
69 3.0 11131
69 4.0 9891
69 3.0 18300
