loc hsv count
125.0 7313 1
110.0 6061 1
74.0 5193 1
89.0 4458 1
60.0 5259 1
55.0 8191 1
188.0 7011 1
185.0 11861 1
171.0 8439 1
183.0 8859 1
81.0 4769 1
63.0 1199 1
98.0 4054 1
55.0 4889 1
74.0 1516 1
78.0 6022 1
139.0 4932 1
94.0 4597 1
102.0 3527 1
79.0 1644 1
1.0 138 1
105.0 2394 1
67.0 1936 1
74.0 6711 1
56.0 4313 1
149.0 4964 1
56.0 4540 1
84.0 4168 1
59.0 4518 1
100.0 5265 1
228.0 13078 1
77.0 3685 1
89.0 6802 1
140.0 7690 1
95.0 5466 1
95.0 5022 1
207.0 8851 1
62.0 1355 1
141.0 8544 1
79.0 4812 1
49.0 832 1
150.0 8281 1
68.0 4643 1
97.0 2500 1
105.0 4354 1
115.0 4711 1
141.0 6974 1
215.0 6538 1
43.0 799 1
176.0 6167 1
111.0 5747 1
81.0 2779 1
150.0 3983 1
205.0 13008 1
84.0 6135 1
90.0 2940 1
34.0 2432 1
89.0 3758 1
70.0 4861 1
131.0 9911 1
203.0 10254 1
168.0 4635 1
120.0 4702 1
64.0 2934 1
35.0 10581 1
21.0 152 1
87.0 1759 1
134.0 7277 1
106.0 6991 1
110.0 3306 1
28.0 258 1
52.0 7760 1
123.0 7637 1
95.0 6006 1
505.0 16882 1
132.0 13337 1
34.0 3458 1
160.0 9030 1
49.0 3941 1
113.0 9321 1
145.0 10454 1
118.0 10303 1
150.0 6165 1
146.0 8968 1
160.0 7600 1
106.0 8013 1
60.0 4034 1
111.0 4459 1
47.0 1285 1
657.0 51476 1
68.0 3226 1
117.0 7822 1
52.0 5721 1
64.0 3830 1
51.0 6093 1
52.0 3831 1
65.0 4971 1
23.0 4478 1
118.0 11394 1
148.0 11844 1
70.0 7066 1
139.0 7114 1
200.0 9105 1
66.0 8989 1
44.0 5904 1
44.0 354 1
214.0 14014 1
50.0 3788 1
160.0 7432 1
60.0 3387 1
58.0 1062 1
79.0 4570 1
95.0 4972 1
491.0 33605 1
158.0 7667 1
112.0 6142 1
56.0 7788 1
481.0 37377 1
140.0 10541 1
121.0 7171 1
227.0 47703 1
53.0 5852 1
501.0 39144 1
189.0 14584 1
252.0 15595 1
133.0 5625 1
73.0 2675 1
103.0 5154 1
104.0 6540 1
154.0 9093 1
87.0 4492 1
57.0 5379 1
83.0 7454 1
97.0 3784 1
103.0 6933 1
109.0 7542 1
160.0 9734 1
65.0 2206 1
74.0 2765 1
48.0 1177 1
29.0 2512 1
95.0 6894 1
102.0 2740 1
429.0 30686 1
111.0 5569 1
80.0 4607 1
57.0 588 1
132.0 6247 1
52.0 5919 1
79.0 6499 1
161.0 8051 1
201.0 12905 1
122.0 5611 1
32.0 4278 1
27.0 1672 1
582.0 40917 1
107.0 6335 1
71.0 4736 1
70.0 1425 1
16.0 1499 1
128.0 7812 1
228.0 13978 1
100.0 9059 1
22.0 2360 1
232.0 14829 1
33.0 3720 1
111.0 3723 1
60.0 7393 1
941.0 73206 1
104.0 4275 1
34.0 4210 1
167.0 14557 1
101.0 5253 1
288.0 18324 1
53.0 3362 1
243.0 22999 1
171.0 11745 1
80.0 5465 1
37.0 6361 1
145.0 4729 1
72.0 2 1
120.0 2686 1
28.0 939 1
17.0 2065 1
38.0 3601 1
279.0 18041 1
93.0 5831 1
215.0 13651 1
85.0 5864 1
184.0 11447 1
109.0 7844 1
89.0 4824 1
152.0 9003 1
62.0 6322 1
121.0 3219 1
104.0 3334 1
96.0 6956 1
209.0 48687 1
140.0 6297 1
96.0 7369 1
37.0 371 1
875.0 66320 1
167.0 6464 1
97.0 4749 1
583.0 43301 1
84.0 2642 1
229.0 15296 1
61.0 816 1
387.0 27910 1
58.0 603 1
74.0 3064 1
135.0 10595 1
50.0 734 1
95.0 4401 1
3.0 748 1
243.0 15673 1
50.0 3483 1
45.0 3966 1
227.0 16068 1
133.0 11757 1
533.0 38567 1
557.0 41983 1
560.0 40386 1
94.0 6228 1
29.0 2663 1
41.0 416 1
211.0 14244 1
61.0 4144 1
45.0 5284 1
51.0 528 1
41.0 4382 1
117.0 6317 1
70.0 2169 1
566.0 44312 1
155.0 9505 1
226.0 16345 1
12.0 1752 1
213.0 15817 1
85.0 3530 1
314.0 20382 1
153.0 7266 1
42.0 8429 1
704.0 55258 1
129.0 3717 1
62.0 3901 1
46.0 3926 1
30.0 3148 1
88.0 3825 1
57.0 6539 1
144.0 6926 1
37.0 4581 1
94.0 2706 1
118.0 6737 1
58.0 4336 1
113.0 7674 1
41.0 3303 1
47.0 3906 1
40.0 262 1
113.0 7331 1
55.0 3872 1
104.0 5761 1
49.0 4079 1
83.0 4312 1
24.0 2397 1
128.0 3927 1
45.0 1452 1
87.0 6105 1
74.0 5889 1
34.0 4040 1
92.0 7500 1
34.0 3039 1
308.0 7122 1
101.0 4918 1
155.0 9373 1
11.0 2669 1
138.0 6586 1
207.0 5899 1
211.0 12460 1
103.0 4839 1
73.0 6150 1
28.0 3069 1
80.0 3571 1
121.0 3896 1
78.0 2008 1
85.0 3896 1
87.0 4992 1
149.0 8845 1
149.0 6047 1
72.0 1588 1
510.0 38649 1
39.0 4092 1
61.0 4167 1
84.0 3496 1
29.0 3182 1
316.0 21099 1
1958.0 115059 1
98.0 4829 1
93.0 1612 1
33.0 771 1
146.0 8749 1
249.0 15585 1
96.0 8999 1
173.0 11804 1
244.0 15317 1
105.0 6786 1
104.0 5458 1
64.0 6599 1
81.0 3416 1
210.0 18978 1
50.0 16170 1
75.0 5597 1
147.0 7247 1
49.0 5782 1
135.0 8973 1
783.0 58162 1
158.0 5959 1
94.0 5530 1
198.0 12293 1
92.0 5698 1
77.0 7535 1
60.0 1766 1
113.0 6966 1
107.0 7138 1
55.0 3269 1
134.0 8050 1
205.0 5623 1
259.0 10671 1
355.0 23710 1
104.0 5035 1
83.0 3728 1
133.0 8946 1
132.0 8081 1
43.0 3369 1
87.0 2674 1
194.0 11835 1
59.0 7461 1
3.0 306 1
113.0 3994 1
43.0 2756 1
200.0 11133 1
70.0 2813 1
96.0 5900 1
74.0 1662 1
124.0 8567 1
90.0 5978 1
26.0 2613 1
37.0 3664 1
68.0 4787 1
50.0 4639 1
95.0 4513 1
100.0 5616 1
75.0 2308 1
93.0 3630 1
797.0 62076 1
1402.0 113045 1
107.0 4077 1
116.0 8265 1
174.0 9963 1
178.0 9995 1
89.0 4011 1
116.0 6608 1
79.0 1923 1
134.0 10449 1
76.0 7140 1
86.0 3970 1
127.0 6215 1
296.0 8424 1
73.0 6203 1
68.0 980 1
89.0 2512 1
73.0 3889 1
47.0 750 1
61.0 3219 1
220.0 8949 1
53.0 370 1
184.0 19856 1
106.0 5933 1
65.0 2380 1
130.0 6091 1
199.0 12453 1
13.0 1849 1
106.0 5820 1
40.0 5251 1
126.0 4520 1
57.0 3781 1
750.0 56648 1
52.0 3223 1
1126.0 90817 1
146.0 6457 1
637.0 46743 1
274.0 18412 1
246.0 14911 1
41.0 4462 1
161.0 8371 1
115.0 4735 1
447.0 31874 1
264.0 13237 1
118.0 7027 1
169.0 10556 1
161.0 15053 1
440.0 25802 1
89.0 3952 1
55.0 1854 1
126.0 8510 1
114.0 7231 1
84.0 4747 1
179.0 12375 1
175.0 4339 1
234.0 12705 1
86.0 5103 1
160.0 9792 1
75.0 2897 1
40.0 5262 1
119.0 4157 1
59.0 3692 1
74.0 3630 1
120.0 4595 1
124.0 5584 1
30.0 2735 1
228.0 17849 1
97.0 5092 1
164.0 9347 1
85.0 4690 1
9.0 1099 1
114.0 6904 1
48.0 1440 1
40.0 7854 1
25.0 2333 1
646.0 49002 1
105.0 1888 1
82.0 12443 1
147.0 7877 1
122.0 4049 1
11.0 2254 1
191.0 11775 1
178.0 10458 1
29.0 9035 1
120.0 4632 1
74.0 4417 1
348.0 15064 1
187.0 7638 1
104.0 5478 1
41.0 3767 1
37.0 4626 1
90.0 2632 1
94.0 6605 1
38.0 3582 1
75.0 4030 1
23.0 6828 1
52.0 462 1
49.0 2546 1
93.0 3339 1
75.0 4457 1
30.0 2492 1
240.0 11603 1
115.0 16263 1
88.0 2992 1
81.0 5755 1
51.0 3816 1
29.0 2652 1
97.0 2298 1
68.0 4239 1
128.0 3691 1
142.0 7337 1
281.0 20765 1
74.0 2508 1
81.0 4901 1
337.0 22419 1
89.0 2494 1
236.0 15252 1
478.0 36983 1
185.0 15422 1
89.0 3220 1
86.0 2181 1
16.0 1474 1
100.0 5878 1
49.0 1074 1
47.0 3544 1
78.0 4841 1
38.0 436 1
141.0 7083 1
153.0 6622 1
115.0 7942 1
139.0 9133 1
132.0 5160 1
96.0 8594 1
239.0 15111 1
40.0 4977 1
139.0 6327 1
77.0 1199 1
43.0 4341 1
178.0 8085 1
94.0 3504 1
152.0 5176 1
127.0 4553 1
172.0 6875 1
92.0 8917 1
166.0 8962 1
49.0 5010 1
48.0 1749 1
53.0 3998 1
234.0 15100 1
156.0 6941 1
139.0 12505 1
81.0 4667 1
83.0 3043 1
112.0 5219 1
144.0 8113 1
18.0 1332 1
207.0 13581 1
98.0 4896 1
93.0 6072 1
365.0 24739 1
75.0 1553 1
189.0 5350 1
222.0 10227 1
23.0 2968 1
247.0 7519 1
65.0 5433 1
119.0 8086 1
39.0 2209 1
60.0 4920 1
56.0 484 1
124.0 5917 1
365.0 25505 1
83.0 2558 1
180.0 12259 1
284.0 16646 1
93.0 5378 1
75.0 2593 1
67.0 4659 1
