count nobl hsv
64581 0.0 34
41387 0.0 51
33650 0.0 45
28646 0.0 30
20986 0.0 68
20335 0.0 61
16921 0.0 40
16724 0.0 84
13839 0.0 49
13372 0.0 25
11933 0.0 78
10672 0.0 106
10546 0.0 73
10406 0.0 90
10235 0.0 54
9619 0.0 100
9612 0.0 58
9513 0.0 119
8524 0.0 95
8134 0.0 112
7786 0.0 126
6680 0.0 141
6115 0.0 133
5895 0.0 156
5435 0.0 148
5125 0.0 164
4631 0.0 186
4422 0.0 229
4150 0.0 178
4124 0.0 171
3938 0.0 219
3933 0.0 250
3818 0.0 194
3816 0.0 210
3676 0.0 239
3523 0.0 201
3497 0.0 290
2809 0.0 320
2713 0.0 260
2693 0.0 279
2548 0.0 269
2466 0.0 309
2163 0.0 300
2008 0.0 350
1896 0.0 331
1855 0.0 340
1725 0.0 404
1725 0.0 417
1722 0.0 360
1691 0.0 381
1690 0.0 445
1653 0.0 370
1625 0.0 431
1582 0.0 392
1442 1.0 27
1369 0.0 459
1218 0.0 499
1206 1.0 167
1194 0.0 514
1191 1.0 185
1184 0.0 485
1160 1.0 217
1149 0.0 471
1116 0.0 529
1029 1.0 251
995 1.0 134
994 0.0 592
981 0.0 574
976 0.0 559
956 1.0 150
948 0.0 544
943 1.0 355
932 1.0 51
925 1.0 76
916 0.0 609
913 1.0 234
906 1.0 269
903 0.0 627
897 1.0 201
888 1.0 115
868 1.0 396
845 1.0 376
842 1.0 286
823 1.0 319
821 1.0 97
818 1.0 302
814 1.0 336
801 1.0 417
789 1.0 440
745 0.0 663
738 0.0 645
704 2.0 312
695 1.0 485
694 1.0 463
694 0.0 681
685 2.0 369
651 2.0 422
648 0.0 700
639 2.0 209
605 2.0 448
603 0.0 752
599 2.0 265
594 1.0 508
591 0.0 819
589 0.0 795
572 0.0 774
571 1.0 530
568 1.0 554
565 0.0 734
558 2.0 185
557 2.0 350
549 2.0 162
544 2.0 228
544 2.0 331
534 0.0 718
534 2.0 544
528 0.0 843
528 1.0 579
516 0.0 888
507 1.0 604
500 2.0 593
496 2.0 401
468 2.0 246
463 2.0 640
463 2.0 296
461 2.0 569
445 1.0 654
445 2.0 281
443 2.0 521
440 1.0 629
439 0.0 865
437 3.0 379
429 1.0 677
428 2.0 502
427 2.0 483
414 2.0 616
412 3.0 321
410 0.0 913
408 0.0 938
406 1.0 730
404 2.0 465
398 2.0 384
389 2.0 688
383 1.0 823
380 3.0 558
373 2.0 135
372 3.0 482
368 2.0 739
366 2.0 713
365 0.0 964
360 1.0 761
353 3.0 404
353 1.0 791
352 2.0 663
350 1.0 703
341 0.0 1221
338 0.0 987
334 2.0 764
328 2.0 816
327 2.0 788
327 2.0 946
327 0.0 1182
324 3.0 434
320 2.0 848
319 3.0 672
313 3.0 288
311 3.0 642
307 3.0 586
303 3.0 350
303 0.0 1012
303 3.0 456
301 3.0 533
301 0.0 1036
297 1.0 858
295 3.0 614
295 2.0 881
290 3.0 809
290 3.0 700
286 3.0 230
284 0.0 1114
283 3.0 735
282 2.0 982
279 3.0 260
278 3.0 952
275 3.0 771
275 0.0 1061
274 2.0 912
270 0.0 1087
267 1.0 926
264 0.0 1148
260 1.0 890
257 1.0 960
255 3.0 877
254 3.0 843
250 4.0 662
248 3.0 508
247 0.0 1324
243 0.0 1259
240 0.0 1291
239 4.0 734
236 2.0 1145
235 2.0 1097
235 4.0 809
234 3.0 912
232 2.0 1299
228 3.0 992
222 1.0 996
222 2.0 1021
222 4.0 770
220 4.0 624
218 4.0 588
217 4.0 698
216 3.0 1033
212 1.0 1106
208 3.0 1256
208 0.0 1360
204 2.0 111
204 2.0 1240
202 5.0 857
200 2.0 1190
198 4.0 557
197 4.0 879
195 2.0 1056
194 1.0 1067
194 5.0 813
192 3.0 200
192 4.0 474
190 3.0 1079
187 4.0 1060
183 1.0 1030
182 4.0 405
179 4.0 441
