count robl cc
393910 5.8723867881137456e-08 1
59094 3.6804766953415807e-07 2
21623 1.5246139956213468e-06 3
10697 0.0 4
5848 0.0 5
3342 3.937131878169391e-06 6
2615 0.49999533647344124 1
2454 0.33330770323078096 1
2295 5.126233499935922e-06 7
1953 0.25001633950904684 1
1809 0.20000920103397465 2
1757 0.24997857941563137 2
1530 1.0 1
1512 0.19998227341931768 1
1406 0.1666458017162531 2
1388 0.0 8
1264 0.1666789578968988 1
1064 0.3332993130481032 2
1035 0.14284241578991042 1
957 0.1429096427363519 2
908 0.0 9
901 0.12504960618346728 3
852 0.24996068958747195 3
826 0.16667506667918672 3
800 0.3999614092048303 1
733 0.40012673472578814 2
732 0.2000147642412102 3
727 0.28565145760714106 1
706 0.11111853290485427 3
682 0.0 10
675 0.14284667406369844 3
674 0.12498029455535146 1
646 0.12503533533639247 2
572 0.28567013470464614 2
559 0.09994476269838419 1
557 0.09995162470059199 3
556 0.6666546762589928 1
531 1.793561115595014e-05 11
507 0.11113587427172138 1
504 0.28579180088037726 3
504 0.09114784739174298 3
497 0.3333136822573442 3
494 0.09140814991625441 1
485 0.22222902938823885 1
467 0.09990404967913276 4
447 0.09109317831254163 2
439 0.11111078858583137 2
435 0.09994134109664385 2
430 0.22224005059484045 3
426 0.16668245141873217 4
416 0.2500013673726909 4
412 0.5 2
395 0.13360598719423766 5
393 0.20002866746194678 4
382 0.0 12
375 0.1817839423424387 1
374 0.11115096309599123 4
372 0.12504016669547463 4
356 0.08367958296999496 1
348 0.1429180919839646 4
342 0.1528450763346462 1
335 0.0 13
335 0.2222348679712353 2
331 0.08357238952772002 3
318 0.08366978025019298 4
317 0.09154245483339603 4
317 0.18185772214312865 3
306 0.2501496425596771 5
304 0.18189254467632412 2
290 0.07711119201503751 3
288 0.4286730127762736 1
286 0.39996392496392497 3
285 0.1528768543246675 3
285 0.06955386048131021 1
283 0.052870156096862436 4
280 0.18203900594594352 4
277 0.2992180295518213 3
274 0.07723692667665687 4
269 0.15293537062115892 4
266 0.3754620910332652 3
263 0.08380043780251283 5
253 0.3333026932622484 4
250 0.2996485465279974 2
246 0.2735267088014902 1
245 0.07155054394685678 3
245 0.22226006539515886 4
241 0.14265798525658854 5
239 0.07152853190773528 4
238 0.30000506926267423 1
237 0.07691242389014005 1
235 0.13353843919482755 4
232 0.2133092571646037 4
232 0.09212313539139097 5
228 0.15410696018762116 2
227 0.16665899814883386 5
227 0.20011009138199734 5
