robl ncl count
1.1428571428571428 15 1
1.25 20 1
0.8787878787878788 91 1
1.8 12 1
2.3333333333333335 7 1
3.0 3 1
0.2409090909090909 73 1
0.13815789473684212 52 1
1.5 5 1
0.14285714285714285 67 1
0.0 33 1
0.75 47 1
0.05904059040590406 69 1
0.15789473684210525 125 1
0.13739376770538245 63 1
0.14027630180658873 95 1
0.3058823529411765 44 1
0.12559467174119887 108 1
0.7142857142857143 16 1
4.5 3 1
0.9473684210526315 35 1
0.11428571428571428 59 1
0.7 57 1
0.1839080459770115 70 1
0.0234375 29 1
0.047619047619047616 92 1
0.14733542319749215 96 1
0.2857142857142857 65 1
0.9230769230769231 10 2
0.7333333333333333 75 2
1.25 50 2
1.2222222222222223 9 2
2.0 3 2
0.8181818181818182 73 2
1.5 7 2
0.5882352941176471 81 2
0.7058823529411765 8 2
2.3333333333333335 16 2
0.5 7 2
0.06951871657754011 119 2
0.28735632183908044 48 2
0.15087719298245614 100 2
0.5454545454545454 82 2
0.5 26 2
0.6363636363636364 61 2
0.05625 54 2
0.13850415512465375 60 2
0.22857142857142856 134 2
0.1821705426356589 80 3
1.0 14 3
2.0 5 3
1.25 6 3
0.7777777777777778 25 3
0.8125 48 3
0.7142857142857143 59 3
0.08860759493670886 45 3
0.16535433070866143 50 3
0.2857142857142857 53 4
0.625 15 4
0.08771929824561403 78 4
0.008064516129032258 46 4
0.11851851851851852 58 4
0.13522012578616352 42 5
0.6666666666666666 11 5
0.6666666666666666 5 5
0.8421052631578947 56 5
1.0 4 5
0.04697986577181208 40 5
0.04090909090909091 47 5
0.03837471783295711 51 5
0.2826086956521739 38 5
1.25 3 6
0.038461538461538464 43 6
0.0 62 6
0.8461538461538461 21 6
3.0 4 6
0.0 41 7
0.125 37 7
0.045454545454545456 22 7
0.5454545454545454 29 7
0.3252032520325203 68 7
0.5294117647058824 9 7
0.7692307692307693 13 8
0.4117647058823529 39 8
0.7 6 9
0.48 36 9
1.0 7 10
0.38636363636363635 28 11
0.75 3 13
0.2 34 13
0.75 1 13
0.38636363636363635 35 13
0.06951871657754011 27 14
1.0 0 15
0.0 26 17
0.5454545454545454 33 17
0.5 4 20
0.21875 30 20
0.15 32 20
0.6 2 23
0.16666666666666666 25 23
0.4666666666666667 31 24
0.29411764705882354 24 29
0.125 21 38
0.5555555555555556 22 43
0.2857142857142857 23 43
0.32926829268292684 20 46
0.208 19 60
0.14622641509433962 16 64
0.5 0 79
0.45454545454545453 18 83
0.24 17 90
0.11678832116788321 15 91
0.17777777777777778 14 92
0.016666666666666666 13 126
0.018518518518518517 12 153
0.06666666666666667 11 186
0.0 9 204
0.21428571428571427 10 219
0.0 7 292
0.13157894736842105 8 293
0.1919191919191919 6 374
0.125 5 438
0.0 4 497
0.0625 3 542
0.0 2 547
0.10526315789473684 1 720
0.0 0 1341
