loc coco count
7 1 1
20 0 1
23 6 1
34 5 1
19 8 1
29 15 1
17 3 1
24 0 1
22 0 1
13 1 1
31 9 1
20 10 1
17 5 1
26 7 1
29 24 1
28 0 1
15 4 1
13 6 1
14 12 1
7 0 1
18 11 1
37 12 1
16 11 1
26 2 1
36 11 1
12 3 1
25 8 1
21 9 1
8 6 1
8 3 1
37 15 1
31 3 1
27 8 1
22 3 1
10 4 1
22 12 1
21 14 1
22 7 1
27 1 1
12 5 1
31 13 1
19 5 1
29 8 1
34 15 1
13 12 1
9 5 1
20 9 1
33 15 1
26 4 1
34 0 1
23 12 1
34 1 1
20 8 1
26 12 1
21 10 1
17 10 1
33 24 1
30 17 1
7 5 1
19 11 1
39 21 1
19 3 1
29 13 1
13 5 1
16 16 1
38 5 1
42 18 1
16 8 1
24 6 1
18 9 1
15 8 1
30 10 1
40 14 1
41 2 1
27 19 1
18 8 1
10 7 1
29 7 1
33 9 1
35 20 1
28 22 1
24 12 1
30 14 1
20 24 1
40 16 1
38 3 1
36 13 1
28 1 1
21 5 1
34 6 1
14 9 1
27 7 1
42 7 1
27 21 1
38 33 1
31 8 1
15 11 1
28 15 1
38 29 1
30 23 1
17 11 1
31 0 1
34 23 1
38 8 1
25 12 1
38 4 1
36 1 1
31 10 1
33 10 1
25 14 1
40 5 1
40 17 1
27 22 1
23 14 1
26 18 1
27 10 1
31 5 1
37 9 1
18 1 1
32 12 1
27 31 1
32 13 1
29 9 1
35 17 1
10 6 1
36 4 1
30 18 1
8 5 1
38 17 1
33 1 1
36 12 1
36 3 1
19 14 1
15 5 1
38 31 1
12 8 1
27 15 1
31 29 1
20 7 1
26 6 1
28 18 1
18 21 1
15 7 1
29 26 1
27 17 1
33 5 1
36 15 1
27 16 1
37 7 1
33 3 1
21 12 1
19 13 1
42 34 1
26 19 1
13 11 1
25 17 1
32 6 1
28 13 1
26 22 1
11 10 1
30 4 1
30 21 1
17 9 1
20 12 1
40 12 1
41 38 1
29 14 1
21 17 1
17 36 1
33 21 1
40 31 1
29 32 1
42 16 1
39 3 1
41 21 1
41 26 1
25 6 1
27 6 1
32 11 1
26 20 1
34 21 1
31 12 1
16 17 1
8 8 1
17 21 1
41 11 1
29 25 1
19 15 1
38 0 1
40 6 1
31 33 1
27 4 1
31 1 1
41 20 1
28 33 1
39 28 1
28 19 1
35 27 1
29 11 1
12 6 1
29 12 1
26 17 1
25 19 1
24 7 1
31 15 1
35 11 1
38 37 1
18 10 1
34 25 1
40 7 1
13 8 1
39 0 1
33 23 1
15 20 1
42 41 1
38 23 1
37 28 1
40 15 1
33 20 1
39 5 1
42 12 1
34 10 1
37 27 1
33 35 1
30 7 1
15 9 1
42 22 1
23 22 1
14 15 1
34 8 1
27 20 1
42 3 1
31 4 1
40 29 1
17 2 1
41 12 1
41 10 1
28 11 1
7 6 1
34 29 1
39 23 1
42 6 1
35 33 1
41 5 1
33 13 1
24 20 1
39 38 1
23 17 1
39 36 1
34 26 1
40 50 1
28 4 1
32 9 1
39 22 1
36 6 1
30 37 1
25 22 1
32 14 1
35 31 1
42 38 1
15 6 1
15 17 1
6 11 1
39 7 1
35 23 1
39 19 1
17 15 1
36 22 1
10 10 1
14 0 2
10 0 2
27 2 2
20 4 2
12 2 2
23 1 2
40 2 2
28 5 2
21 4 2
29 10 2
6 1 2
16 1 2
9 2 2
19 0 2
15 0 2
22 4 2
26 8 2
9 0 2
32 1 2
25 0 2
11 4 2
12 4 2
27 9 2
38 30 2
16 12 2
29 1 2
18 6 2
36 7 2
28 3 2
29 4 2
20 6 2
35 1 2
27 11 2
19 9 2
18 3 2
23 3 2
39 27 2
10 3 2
30 8 2
36 23 2
27 23 2
39 26 2
20 3 2
21 8 2
22 9 2
11 6 2
30 0 2
41 29 2
37 1 2
28 7 2
41 7 2
35 9 2
26 0 2
24 22 2
21 7 2
14 19 2
31 16 2
38 14 2
25 9 2
16 5 2
37 8 2
39 15 2
25 11 2
19 7 2
40 11 2
6 3 2
41 6 2
24 1 2
37 13 2
39 41 2
34 3 2
41 24 2
22 13 2
31 6 2
38 21 2
27 12 2
21 1 2
18 0 2
17 6 2
29 3 2
24 21 2
16 13 2
35 19 2
25 15 2
15 12 2
9 6 2
22 5 2
24 15 2
34 22 2
41 25 2
35 12 2
38 1 2
23 0 2
40 0 2
14 6 2
28 20 2
39 16 2
33 25 2
25 7 2
26 5 2
22 15 2
38 9 2
37 19 2
37 4 2
20 16 2
18 7 2
16 15 2
41 30 2
13 10 2
22 10 2
33 26 2
12 15 2
42 1 2
36 17 2
32 15 2
37 32 2
28 14 2
42 9 2
41 41 2
40 8 2
24 5 2
12 7 2
29 28 2
34 24 2
15 15 2
36 2 3
6 0 3
17 4 3
16 3 3
9 3 3
14 3 3
18 4 3
24 2 3
13 4 3
39 17 3
24 3 3
22 2 3
15 3 3
7 4 3
11 2 3
25 2 3
12 0 3
28 9 3
25 3 3
24 9 3
24 8 3
10 2 3
38 12 3
22 18 3
36 8 3
6 2 3
35 7 3
34 9 3
37 0 3
23 7 3
21 0 3
24 16 3
32 5 3
34 12 3
25 18 3
19 6 3
14 5 3
30 2 3
42 8 3
9 4 3
22 6 3
30 11 3
34 7 3
14 11 3
32 3 3
29 21 3
29 6 3
33 22 3
39 2 3
29 0 3
17 7 3
38 25 3
32 10 3
28 8 3
33 7 3
32 0 3
11 1 3
35 13 3
12 1 4
29 2 4
7 2 4
16 0 4
30 3 4
20 1 4
39 6 4
23 4 4
41 13 4
14 1 4
20 2 4
22 8 4
23 10 4
39 13 4
24 13 4
30 5 4
7 3 4
42 26 4
11 5 4
25 4 4
11 3 4
18 5 4
24 11 4
20 11 4
38 6 4
19 10 4
20 14 4
17 8 4
34 18 4
24 10 4
32 20 4
9 1 5
25 1 5
15 2 5
17 1 5
16 2 5
35 8 5
14 2 5
10 1 5
31 2 5
18 2 5
16 4 5
19 4 5
42 2 5
25 5 5
16 6 5
38 22 5
23 9 5
27 0 5
32 2 6
28 2 6
13 2 6
27 3 6
35 5 6
10 5 6
13 0 7
19 2 7
19 1 7
22 1 7
17 0 8
8 1 9
11 0 9
8 0 11
