loc ncl count
28.0 0 1
35.0 2 1
16.0 2 1
29.0 1 1
28.0 5 1
30.0 5 1
25.0 2 1
6.0 5 1
18.0 1 1
15.0 3 1
36.0 1 1
42.0 3 1
17.0 3 1
33.0 8 1
21.0 53 1
29.0 4 1
21.0 1 1
28.0 9 1
31.0 7 1
9.0 22 1
13.0 3 1
37.0 3 1
31.0 0 1
42.0 0 1
17.0 7 1
8.0 3 1
13.0 9 1
6.0 7 1
23.0 0 1
32.0 6 1
37.0 5 1
9.0 7 1
38.0 3 1
17.0 5 1
10.0 3 1
17.0 15 1
14.0 8 1
37.0 0 1
27.0 9 1
7.0 10 1
13.0 10 1
22.0 22 1
14.0 9 1
8.0 12 1
15.0 10 1
9.0 11 1
38.0 4 1
14.0 15 1
31.0 11 1
42.0 5 1
28.0 13 1
20.0 12 1
30.0 2 1
12.0 7 1
27.0 17 1
8.0 21 1
33.0 0 1
36.0 3 1
34.0 5 1
24.0 2 1
12.0 3 1
37.0 7 1
22.0 13 1
14.0 20 1
16.0 3 1
18.0 25 1
28.0 10 1
31.0 6 1
10.0 7 1
42.0 7 1
34.0 16 1
8.0 11 1
22.0 4 1
22.0 6 1
37.0 19 1
26.0 19 1
8.0 20 1
32.0 12 1
22.0 7 1
20.0 13 1
18.0 8 1
12.0 6 1
40.0 13 1
32.0 8 1
31.0 12 1
38.0 2 1
10.0 23 1
41.0 4 1
41.0 7 1
14.0 14 1
36.0 35 1
13.0 7 1
31.0 3 1
16.0 9 1
11.0 11 1
34.0 11 1
20.0 19 1
28.0 18 1
26.0 6 1
22.0 8 1
26.0 12 1
14.0 34 1
18.0 5 1
16.0 47 1
7.0 13 1
24.0 17 1
37.0 11 1
12.0 11 1
32.0 30 1
37.0 14 1
28.0 23 1
9.0 18 1
17.0 35 1
34.0 8 1
14.0 21 1
25.0 38 1
36.0 12 1
19.0 56 1
31.0 22 1
17.0 24 1
13.0 16 1
28.0 14 1
21.0 17 1
16.0 48 1
7.0 11 1
28.0 22 1
26.0 10 1
7.0 8 1
19.0 6 1
41.0 11 1
33.0 91 1
6.0 11 1
39.0 9 1
29.0 11 1
9.0 5 1
33.0 9 1
15.0 8 1
21.0 5 1
27.0 11 1
20.0 10 1
41.0 8 1
19.0 16 1
15.0 1 1
27.0 21 1
40.0 7 1
36.0 38 1
25.0 11 1
42.0 12 1
36.0 8 1
22.0 61 1
25.0 36 1
33.0 4 1
10.0 8 1
21.0 4 1
27.0 5 1
34.0 0 1
6.0 8 1
18.0 19 1
32.0 27 1
12.0 13 1
9.0 12 1
14.0 59 1
40.0 16 1
27.0 7 1
10.0 22 1
6.0 12 1
34.0 12 1
19.0 12 1
8.0 4 1
18.0 9 1
27.0 4 1
37.0 9 1
39.0 14 1
41.0 19 1
32.0 19 1
16.0 18 1
35.0 12 1
26.0 5 1
16.0 1 1
40.0 5 1
10.0 16 1
22.0 15 1
15.0 19 1
32.0 17 1
12.0 1 1
35.0 21 1
14.0 13 1
34.0 27 1
6.0 9 1
11.0 3 1
23.0 15 1
26.0 1 1
42.0 13 1
21.0 21 1
24.0 18 1
22.0 29 1
21.0 25 1
34.0 4 1
38.0 15 1
23.0 18 1
19.0 33 1
26.0 20 1
29.0 22 1
27.0 18 1
20.0 6 1
13.0 17 1
12.0 22 1
16.0 5 2
25.0 0 2
24.0 0 2
15.0 0 2
36.0 4 2
19.0 1 2
39.0 6 2
7.0 1 2
39.0 1 2
29.0 0 2
20.0 1 2
23.0 2 2
10.0 1 2
36.0 0 2
8.0 6 2
39.0 10 2
36.0 2 2
30.0 1 2
26.0 3 2
30.0 0 2
19.0 2 2
39.0 0 2
32.0 1 2
9.0 1 2
10.0 4 2
19.0 4 2
35.0 1 2
8.0 10 2
38.0 1 2
42.0 2 2
40.0 2 2
33.0 6 2
32.0 4 2
12.0 9 2
31.0 1 2
14.0 5 2
11.0 6 2
30.0 3 2
39.0 2 2
29.0 3 2
25.0 3 2
16.0 4 2
12.0 5 2
28.0 4 2
39.0 7 2
34.0 1 2
34.0 7 2
25.0 17 2
22.0 2 2
41.0 2 2
25.0 1 2
28.0 2 2
18.0 4 2
14.0 3 2
27.0 6 2
17.0 6 2
8.0 5 2
40.0 6 2
41.0 13 2
21.0 6 2
19.0 7 2
23.0 3 2
42.0 4 2
32.0 5 2
6.0 2 2
11.0 4 2
20.0 9 2
21.0 14 2
38.0 12 2
40.0 8 2
23.0 10 2
36.0 17 2
23.0 6 2
11.0 5 2
34.0 3 2
33.0 2 2
28.0 11 2
35.0 4 2
20.0 3 2
30.0 9 2
20.0 17 2
15.0 30 2
10.0 28 2
31.0 4 2
34.0 2 2
24.0 7 2
33.0 7 2
26.0 8 2
26.0 21 2
25.0 9 2
39.0 8 2
42.0 8 2
18.0 32 2
33.0 12 2
11.0 29 2
24.0 10 2
14.0 4 2
32.0 10 2
13.0 6 2
18.0 7 2
30.0 14 2
39.0 3 2
30.0 7 2
9.0 21 2
8.0 14 2
31.0 19 2
6.0 4 2
8.0 9 2
25.0 26 2
33.0 15 2
26.0 11 2
39.0 12 2
32.0 9 2
36.0 20 2
35.0 14 2
29.0 10 2
9.0 28 2
9.0 6 2
28.0 24 2
15.0 9 2
15.0 7 2
9.0 8 2
24.0 16 2
10.0 0 3
17.0 0 3
35.0 0 3
7.0 4 3
17.0 2 3
26.0 0 3
11.0 2 3
38.0 9 3
14.0 1 3
27.0 1 3
8.0 2 3
13.0 5 3
41.0 0 3
18.0 3 3
21.0 0 3
42.0 1 3
32.0 2 3
10.0 6 3
22.0 0 3
37.0 1 3
21.0 3 3
15.0 4 3
31.0 2 3
9.0 4 3
37.0 2 3
6.0 3 3
6.0 6 3
39.0 5 3
22.0 3 3
34.0 6 3
30.0 6 3
12.0 2 3
19.0 8 3
13.0 2 3
22.0 1 3
12.0 24 3
14.0 2 3
42.0 11 3
21.0 9 3
35.0 3 3
20.0 5 3
35.0 11 3
33.0 5 3
29.0 12 3
28.0 3 3
12.0 4 3
23.0 19 3
35.0 9 3
20.0 56 3
16.0 7 3
14.0 12 3
20.0 8 3
