loc nocl count
35 2 1
30 0 1
21 1 1
22 0 1
28 1 1
28 5 1
16 3 1
19 0 1
10 4 1
22 5 1
34 3 1
42 1 1
39 0 1
24 1 1
38 1 1
12 3 1
16 6 1
8 1 1
18 4 1
40 1 1
25 8 1
30 3 1
20 1 1
31 5 1
25 4 1
20 3 1
27 5 1
33 15 1
16 13 1
30 6 1
30 5 1
25 16 1
11 9 1
24 5 1
39 4 1
28 6 1
40 9 1
31 4 1
27 9 1
34 2 1
19 10 1
7 1 1
37 11 1
41 5 1
19 20 1
7 10 1
27 7 1
36 5 1
37 18 1
23 3 1
22 4 1
9 6 1
22 3 1
9 22 1
32 2 1
9 11 1
13 9 1
36 17 1
37 17 1
37 1 1
12 7 1
30 14 1
32 6 1
34 22 1
19 8 1
36 8 1
7 5 1
14 12 1
35 12 1
42 4 1
26 9 1
27 17 1
14 15 1
40 2 1
17 39 1
14 5 1
12 2 1
23 19 1
23 5 1
37 19 1
15 9 1
13 10 1
17 12 1
33 11 1
22 6 1
31 3 1
15 30 1
20 4 1
33 5 1
6 7 1
9 25 1
34 0 1
29 11 1
15 8 1
28 3 1
24 18 1
36 38 1
21 12 1
21 3 1
25 17 1
18 23 1
31 9 1
8 14 1
7 2 1
37 4 1
42 7 1
34 11 1
33 7 1
35 7 1
23 11 1
36 35 1
31 12 1
33 13 1
41 11 1
6 2 1
40 15 1
28 2 1
13 17 1
36 9 1
35 18 1
40 5 1
13 12 1
19 39 1
42 8 1
10 23 1
14 28 1
10 28 1
9 17 1
14 21 1
25 30 1
27 10 1
30 4 1
27 3 1
22 42 1
12 22 1
35 3 1
27 8 1
40 17 1
36 12 1
24 6 1
41 18 1
21 18 1
16 50 1
7 16 1
16 4 1
38 24 1
29 12 1
20 8 1
39 12 1
40 13 1
13 7 1
18 16 1
8 7 1
12 11 1
21 21 1
17 14 1
32 14 1
38 26 1
41 19 1
9 5 1
33 91 1
6 6 1
24 21 1
28 4 1
15 15 1
15 75 1
6 11 1
19 14 1
22 35 1
27 16 1
28 17 1
31 16 1
27 14 1
40 11 1
23 14 1
37 20 1
37 30 1
6 8 1
40 16 1
39 15 1
28 13 1
10 8 1
14 27 1
8 17 1
34 19 1
25 13 1
28 24 1
37 10 1
35 15 1
20 7 1
30 12 1
38 41 1
30 13 1
26 13 1
18 8 1
14 10 1
22 7 1
32 11 1
35 0 2
13 4 2
16 0 2
19 5 2
39 1 2
39 6 2
23 2 2
32 4 2
42 0 2
19 1 2
14 1 2
29 5 2
16 1 2
25 1 2
33 3 2
13 3 2
38 0 2
37 0 2
6 5 2
12 9 2
42 12 2
8 6 2
10 6 2
37 2 2
29 4 2
10 7 2
15 5 2
6 1 2
21 5 2
14 3 2
8 2 2
8 21 2
8 12 2
29 7 2
19 3 2
35 5 2
17 5 2
24 4 2
37 5 2
42 3 2
42 2 2
19 6 2
34 1 2
30 7 2
10 5 2
14 2 2
41 6 2
38 7 2
10 3 2
26 6 2
35 6 2
26 11 2
41 1 2
15 4 2
32 3 2
17 9 2
20 9 2
41 7 2
21 13 2
27 13 2
31 7 2
33 6 2
23 6 2
24 7 2
21 53 2
19 7 2
40 3 2
26 5 2
11 11 2
17 15 2
26 3 2
29 2 2
27 2 2
38 2 2
9 9 2
17 24 2
20 6 2
16 7 2
11 0 2
25 7 2
32 7 2
17 3 2
18 32 2
15 6 2
8 16 2
26 8 2
10 9 2
26 20 2
14 8 2
41 3 2
34 17 2
18 1 2
11 12 2
13 16 2
36 3 2
21 8 2
42 6 2
30 2 2
26 19 2
25 36 2
10 16 2
25 3 2
36 16 2
8 9 2
17 10 2
32 10 2
13 13 2
24 15 2
32 13 2
22 2 2
42 10 2
36 7 2
38 12 2
25 14 2
20 12 2
12 5 2
33 20 2
41 8 2
41 12 2
17 0 3
25 0 3
7 0 3
36 4 3
38 9 3
15 1 3
27 0 3
40 0 3
31 0 3
25 5 3
30 1 3
8 10 3
36 0 3
27 1 3
39 10 3
10 1 3
7 4 3
38 5 3
23 1 3
21 2 3
11 5 3
35 1 3
19 4 3
13 2 3
33 8 3
26 0 3
23 4 3
36 1 3
17 6 3
29 8 3
14 4 3
12 4 3
15 3 3
11 3 3
13 6 3
38 3 3
8 5 3
11 4 3
33 4 3
26 4 3
32 30 3
21 0 3
40 8 3
35 9 3
9 7 3
40 6 3
29 9 3
15 29 3
27 11 3
37 6 3
28 18 3
27 18 3
34 9 3
42 14 3
42 24 3
28 9 3
41 14 3
32 0 4
28 8 4
13 0 4
11 2 4
14 0 4
17 2 4
15 2 4
41 0 4
12 1 4
9 2 4
31 8 4
24 2 4
28 0 4
10 2 4
18 6 4
17 4 4
15 0 4
20 0 4
15 7 4
18 5 4
25 2 4
39 2 4
7 3 4
24 0 4
6 4 4
32 8 4
9 3 4
32 27 4
14 7 5
12 0 5
11 7 5
17 1 5
20 2 5
29 3 5
29 1 5
13 5 5
24 3 5
41 2 5
27 4 5
33 2 5
32 1 5
10 0 6
36 2 6
8 0 7
9 0 7
6 0 7
29 0 7
23 0 7
22 1 7
35 4 7
18 0 9
