count nobl hse
5568 0.0 459
4653 0.0 505
4475 0.0 1132
4284 0.0 641
3490 0.0 549
3484 0.0 871
3357 0.0 971
3284 0.0 746
3241 0.0 696
2824 0.0 264
2823 0.0 1500
2819 0.0 903
2791 0.0 588
2697 0.0 1243
2687 0.0 790
2687 0.0 1937
2677 0.0 1441
2640 0.0 1386
2560 0.0 1617
2507 0.0 832
2454 0.0 1333
2427 0.0 938
2417 0.0 369
2300 0.0 1558
2208 0.0 1286
2180 0.0 1015
2166 0.0 1673
2153 0.0 2073
2107 0.0 1054
2104 0.0 1201
2098 0.0 1729
2074 0.0 1092
1967 0.0 2003
1859 0.0 2256
1841 0.0 1836
1814 0.0 1782
1781 0.0 1165
1749 0.0 2137
1749 0.0 415
1680 0.0 324
1640 0.0 2199
1588 0.0 2310
1560 0.0 1888
1526 0.0 2381
1487 0.0 2520
1459 0.0 2589
1456 0.0 3181
1454 0.0 2451
1426 0.0 2728
1421 0.0 3274
1388 0.0 3090
1384 0.0 3366
1362 0.0 3459
1358 0.0 2659
1349 0.0 2795
1303 0.0 2932
1292 0.0 3007
1217 0.0 2865
1203 0.0 195
1144 0.0 3550
1132 0.0 3738
1107 0.0 3646
982 0.0 4280
973 0.0 3822
940 0.0 4962
923 0.0 5083
880 0.0 4197
827 1.0 1412
822 0.0 4842
807 0.0 4111
789 0.0 4379
785 0.0 3899
783 0.0 4471
778 0.0 4559
778 0.0 4651
766 0.0 4742
766 0.0 3966
764 0.0 4033
749 1.0 1528
727 0.0 5203
714 0.0 5315
702 0.0 5430
646 1.0 875
638 1.0 1188
636 1.0 1299
635 0.0 6996
612 1.0 1090
605 0.0 5544
604 1.0 786
593 0.0 5648
575 1.0 672
570 1.0 978
549 1.0 1650
530 0.0 6864
528 1.0 1830
523 1.0 2321
521 1.0 2215
519 0.0 6304
494 0.0 7544
491 0.0 5747
491 0.0 6619
486 0.0 6412
481 1.0 2021
475 1.0 1740
473 0.0 7262
473 0.0 7134
472 2.0 2957
469 2.0 5186
465 0.0 6025
