loc cl_ratio count
14.0 0 1
15.0 0 1
35.0 0 1
16.0 0 1
9.0 0 1
30.0 0 1
36.0 0 1
31.0 0 1
21.0 0 1
8.0 0 1
7.0 0 1
26.0 0 1
9.0 0 1
14.0 0 1
19.0 0 1
33.0 0 1
17.0 2 1
11.0 0 1
23.0 0 1
14.0 0 1
21.0 1 1
12.0 0 1
14.0 1 1
10.0 0 1
7.0 0 1
40.0 0 1
19.0 0 1
10.0 2 1
13.0 0 1
33.0 0 1
20.0 0 1
17.0 0 1
14.0 0 1
6.0 2 1
37.0 0 1
15.0 1 1
33.0 2 1
22.0 0 1
37.0 0 1
33.0 2 1
9.0 0 1
20.0 0 1
26.0 0 1
7.0 0 1
14.0 1 1
14.0 0 1
8.0 1 1
6.0 0 1
23.0 0 1
32.0 0 1
6.0 0 1
36.0 0 1
23.0 0 1
33.0 0 1
24.0 0 1
18.0 0 1
17.0 0 1
27.0 0 1
30.0 0 1
14.0 1 1
21.0 0 1
17.0 1 1
25.0 0 1
28.0 0 1
17.0 2 1
17.0 0 1
8.0 2 1
21.0 0 1
23.0 1 1
15.0 2 1
18.0 0 1
8.0 0 1
24.0 0 1
37.0 0 1
11.0 1 1
15.0 5 1
14.0 0 1
15.0 0 1
22.0 1 1
9.0 2 1
7.0 1 1
32.0 0 1
32.0 0 1
41.0 0 1
30.0 0 1
19.0 1 1
16.0 0 1
35.0 0 1
6.0 0 1
35.0 0 1
34.0 0 1
9.0 0 1
25.0 0 1
10.0 2 1
42.0 0 1
6.0 1 1
15.0 0 1
12.0 1 1
8.0 0 1
25.0 0 1
14.0 4 1
13.0 0 1
37.0 1 1
30.0 0 1
11.0 0 1
16.0 0 1
19.0 1 1
20.0 2 1
21.0 0 1
18.0 0 1
22.0 0 1
14.0 0 1
23.0 0 1
19.0 0 1
28.0 0 1
17.0 0 1
8.0 2 1
7.0 2 1
33.0 0 1
39.0 0 1
16.0 0 1
8.0 0 2
11.0 0 2
15.0 0 2
17.0 0 2
39.0 0 2
7.0 0 2
6.0 0 2
31.0 0 2
13.0 0 2
16.0 0 2
20.0 0 2
11.0 0 2
19.0 0 2
25.0 0 2
9.0 0 2
12.0 0 2
25.0 0 2
17.0 0 2
38.0 0 2
14.0 0 2
20.0 0 2
32.0 0 2
13.0 0 2
36.0 0 2
27.0 0 2
26.0 0 2
8.0 0 2
18.0 0 2
20.0 0 2
14.0 1 2
32.0 0 2
9.0 1 2
15.0 1 2
36.0 0 2
22.0 0 2
40.0 0 2
18.0 1 2
17.0 0 2
22.0 0 2
12.0 1 2
31.0 0 2
9.0 0 2
29.0 1 2
18.0 0 2
16.0 0 2
29.0 0 2
39.0 0 2
27.0 0 2
33.0 0 2
14.0 2 2
41.0 0 2
28.0 0 2
28.0 0 2
17.0 2 2
41.0 0 2
40.0 0 2
13.0 0 2
41.0 0 2
10.0 0 2
18.0 0 2
34.0 0 2
16.0 1 2
40.0 0 2
12.0 0 2
23.0 2 2
10.0 0 3
16.0 0 3
13.0 0 3
6.0 1 3
18.0 0 3
36.0 0 3
6.0 0 3
11.0 0 3
20.0 0 3
16.0 0 3
19.0 0 3
17.0 0 3
11.0 0 3
36.0 0 3
21.0 0 3
10.0 0 3
34.0 0 3
12.0 0 3
37.0 0 3
15.0 0 3
25.0 0 3
17.0 0 3
20.0 0 3
30.0 0 3
41.0 0 3
40.0 0 3
29.0 0 3
42.0 0 3
19.0 0 3
22.0 1 3
23.0 0 3
42.0 0 3
19.0 0 3
13.0 1 3
37.0 0 3
15.0 0 3
40.0 0 3
8.0 0 3
9.0 2 3
27.0 0 3
17.0 0 3
36.0 0 3
28.0 0 3
12.0 0 3
36.0 0 3
24.0 0 3
39.0 0 3
21.0 0 3
15.0 0 4
24.0 0 4
8.0 0 4
18.0 0 4
21.0 0 4
23.0 0 4
10.0 0 4
29.0 0 4
32.0 0 4
29.0 0 4
19.0 0 4
12.0 0 4
40.0 0 4
38.0 0 4
17.0 0 4
9.0 0 4
15.0 0 4
31.0 0 4
26.0 0 4
16.0 0 5
28.0 0 5
38.0 0 5
34.0 0 5
33.0 0 5
30.0 0 5
22.0 0 5
21.0 2 5
24.0 0 5
26.0 0 5
37.0 0 5
21.0 0 5
23.0 0 6
22.0 0 6
31.0 0 6
25.0 0 6
20.0 0 6
32.0 0 6
37.0 0 6
32.0 0 6
27.0 0 6
29.0 0 6
21.0 0 6
35.0 0 6
24.0 0 6
26.0 0 7
25.0 0 7
7.0 0 7
28.0 0 7
31.0 0 7
17.0 0 8
19.0 0 8
26.0 0 8
28.0 0 8
39.0 0 9
41.0 0 9
11.0 0 10
35.0 0 10
27.0 0 10
38.0 0 10
24.0 0 11
28.0 0 12
30.0 0 12
39.0 0 13
42.0 0 13
