loc hsd count
28.0 6 1
38.0 8 1
40.0 41 1
20.0 32 1
23.0 4 1
15.0 29 1
37.0 34 1
14.0 43 1
10.0 22 1
26.0 7 1
34.0 31 1
35.0 25 1
25.0 28 1
30.0 31 1
27.0 19 1
12.0 29 1
14.0 3 1
32.0 35 1
13.0 4 1
42.0 20 1
41.0 42 1
18.0 6 1
9.0 20 1
16.0 37 1
16.0 32 1
22.0 31 1
23.0 24 1
37.0 4 1
39.0 50 1
25.0 24 1
26.0 42 1
41.0 30 1
41.0 28 1
34.0 27 1
34.0 33 1
38.0 35 1
40.0 38 1
31.0 42 1
18.0 20 1
27.0 35 1
22.0 8 1
11.0 29 1
34.0 0 1
19.0 33 1
20.0 30 1
13.0 26 1
22.0 24 1
29.0 23 1
38.0 46 1
26.0 39 1
14.0 33 1
24.0 42 1
15.0 4 1
21.0 30 1
6.0 18 1
17.0 5 1
18.0 25 1
16.0 30 1
37.0 46 1
24.0 28 1
39.0 61 1
12.0 24 1
17.0 29 1
16.0 50 1
22.0 42 1
19.0 43 1
40.0 58 1
13.0 5 1
31.0 38 1
20.0 28 1
16.0 26 1
41.0 31 1
20.0 37 1
38.0 45 1
29.0 6 1
19.0 29 1
19.0 0 1
20.0 34 1
10.0 30 1
20.0 28 1
40.0 44 1
29.0 38 1
42.0 42 1
6.0 16 1
22.0 34 1
39.0 4 1
29.0 21 1
30.0 40 1
34.0 39 1
40.0 39 1
25.0 45 1
41.0 25 1
24.0 38 1
25.0 33 1
35.0 20 1
24.0 6 1
18.0 66 1
38.0 67 1
17.0 34 1
39.0 26 1
28.0 39 1
22.0 32 1
14.0 27 1
19.0 26 1
39.0 10 1
37.0 39 1
34.0 9 1
38.0 9 1
39.0 21 1
24.0 23 1
28.0 19 1
6.0 16 1
39.0 32 1
24.0 24 1
37.0 37 1
7.0 20 1
16.0 28 1
25.0 34 1
36.0 10 1
33.0 41 1
9.0 19 1
36.0 12 1
42.0 29 1
27.0 6 1
17.0 20 1
28.0 38 1
37.0 32 1
10.0 19 1
30.0 38 1
38.0 38 1
42.0 32 1
30.0 7 1
27.0 6 1
40.0 11 1
37.0 27 1
42.0 34 1
11.0 6 1
35.0 36 1
6.0 13 1
41.0 10 1
36.0 25 1
41.0 9 1
31.0 34 1
41.0 40 1
38.0 10 1
7.0 15 1
34.0 21 1
39.0 15 1
18.0 37 1
38.0 31 1
41.0 39 1
35.0 3 1
26.0 28 1
8.0 31 1
34.0 35 1
11.0 13 1
37.0 40 1
37.0 10 1
34.0 42 1
40.0 31 1
37.0 31 1
29.0 26 1
40.0 35 1
38.0 49 1
29.0 28 1
31.0 36 1
15.0 38 1
29.0 66 1
42.0 24 1
6.0 4 1
22.0 25 1
27.0 32 1
41.0 43 1
39.0 30 1
11.0 19 1
34.0 8 1
21.0 14 1
39.0 40 1
36.0 38 1
39.0 77 1
30.0 37 1
35.0 28 1
37.0 38 1
27.0 46 1
7.0 24 1
24.0 40 1
24.0 32 1
8.0 12 1
38.0 20 1
13.0 15 1
10.0 32 1
17.0 5 1
38.0 24 1
33.0 36 1
13.0 29 1
40.0 8 1
11.0 25 1
30.0 32 1
34.0 36 1
20.0 55 1
18.0 16 1
32.0 32 1
36.0 6 1
38.0 30 2
27.0 7 2
17.0 4 2
26.0 8 2
19.0 34 2
39.0 27 2
27.0 25 2
41.0 29 2
26.0 11 2
25.0 26 2
6.0 19 2
26.0 29 2
12.0 22 2
7.0 18 2
19.0 5 2
31.0 4 2
22.0 47 2
37.0 9 2
10.0 19 2
26.0 7 2
28.0 28 2
11.0 7 2
24.0 27 2
25.0 22 2
31.0 39 2
24.0 26 2
42.0 28 2
34.0 34 2
8.0 17 2
21.0 7 2
27.0 24 2
18.0 31 2
9.0 12 2
12.0 24 2
18.0 28 2
19.0 30 2
41.0 14 2
29.0 37 2
38.0 27 2
42.0 38 2
38.0 37 2
29.0 35 2
23.0 30 2
22.0 39 2
34.0 22 2
24.0 34 2
30.0 37 2
30.0 66 2
9.0 21 2
23.0 32 2
27.0 26 2
26.0 34 2
33.0 32 2
10.0 25 2
