loc hsv count
36.0 2188 1
42.0 1093 1
10.0 920 1
18.0 1627 1
35.0 210 1
24.0 2841 1
30.0 6479 1
39.0 4272 1
42.0 2268 1
37.0 3812 1
37.0 3711 1
42.0 757 1
25.0 2755 1
38.0 3081 1
37.0 4581 1
42.0 1698 1
19.0 2144 1
37.0 6361 1
39.0 3482 1
33.0 470 1
21.0 2086 1
35.0 610 1
29.0 2977 1
10.0 1101 1
39.0 4172 1
16.0 1333 1
35.0 3522 1
40.0 5262 1
24.0 2454 1
19.0 2445 1
7.0 648 1
10.0 1312 1
31.0 3103 1
16.0 1955 1
23.0 2011 1
10.0 1850 1
24.0 2123 1
21.0 2934 1
18.0 1894 1
39.0 4796 1
24.0 2923 1
40.0 5251 1
28.0 2779 1
34.0 4016 1
22.0 2288 1
38.0 3242 1
18.0 100 1
19.0 204 1
28.0 2694 1
41.0 4382 1
29.0 2652 1
42.0 878 1
38.0 3832 1
24.0 225 1
30.0 2628 1
18.0 1508 1
41.0 1825 1
42.0 2142 1
21.0 2480 1
42.0 932 1
17.0 1719 1
13.0 1981 1
30.0 2492 1
41.0 4462 1
19.0 1968 1
35.0 397 1
28.0 4709 1
41.0 3160 1
32.0 480 1
13.0 1285 1
24.0 699 1
14.0 899 1
23.0 2073 1
27.0 3082 1
41.0 3354 1
26.0 1714 1
41.0 3111 2
6.0 242 2
40.0 1721 2
29.0 1505 2
42.0 3854 2
19.0 1176 2
41.0 3051 2
20.0 339 2
30.0 1884 2
40.0 1007 2
34.0 4210 2
35.0 3227 2
9.0 788 2
34.0 3458 2
32.0 630 2
8.0 734 2
34.0 358 2
29.0 911 2
8.0 510 2
7.0 66 2
40.0 960 2
38.0 3202 2
40.0 4063 2
22.0 1748 2
37.0 535 2
30.0 3141 2
40.0 1867 2
31.0 833 2
34.0 765 2
41.0 2490 2
31.0 3726 2
21.0 316 2
37.0 3380 2
40.0 855 2
34.0 4040 2
42.0 3658 2
18.0 1798 2
30.0 3361 2
25.0 2811 2
42.0 2414 2
18.0 240 2
33.0 3621 2
17.0 1809 2
27.0 432 2
22.0 1860 2
40.0 4526 2
15.0 1785 2
35.0 10581 2
31.0 3436 2
40.0 7854 2
41.0 4355 2
14.0 1373 2
27.0 2237 2
30.0 2878 2
9.0 763 3
9.0 490 3
29.0 548 3
33.0 2828 3
37.0 1164 3
41.0 5654 3
12.0 1425 3
35.0 749 3
8.0 562 3
31.0 723 3
30.0 2605 3
21.0 257 3
42.0 1547 3
34.0 3637 3
19.0 1734 3
22.0 1939 3
36.0 1240 3
34.0 3174 3
27.0 2507 3
31.0 2320 3
36.0 4296 3
19.0 1872 3
12.0 949 3
38.0 3582 3
24.0 2550 3
32.0 2897 3
30.0 2 3
15.0 1296 3
36.0 985 3
39.0 4232 4
16.0 2112 4
34.0 812 4
41.0 2863 4
33.0 3259 4
42.0 2903 4
41.0 3397 4
39.0 2816 4
18.0 1598 4
40.0 2672 4
16.0 1026 4
41.0 2931 4
13.0 981 4
36.0 3034 4
41.0 1892 4
15.0 1221 4
36.0 2739 4
6.0 103 4
31.0 291 4
15.0 2003 4
26.0 325 4
24.0 2572 4
41.0 2851 4
42.0 2765 4
32.0 3128 4
20.0 279 4
27.0 3336 4
18.0 1573 4
20.0 1535 4
32.0 2436 4
7.0 593 5
41.0 2956 5
37.0 2158 5
40.0 3122 5
12.0 836 5
41.0 3274 5
27.0 2061 5
19.0 1458 5
27.0 1774 5
42.0 2794 5
36.0 3188 5
36.0 1033 5
13.0 970 5
29.0 654 5
15.0 1671 5
28.0 1673 5
23.0 2247 5
31.0 2639 5
41.0 1677 5
6.0 53 5
24.0 2223 5
28.0 2258 5
