count nobl coco
6834 2.0 0
3359 2.0 1
2686 2.0 2
2482 3.0 0
1857 2.0 3
1511 3.0 1
1426 4.0 0
1365 2.0 4
1351 3.0 2
1093 3.0 3
1005 2.0 5
918 3.0 4
789 5.0 0
670 3.0 5
665 2.0 6
658 4.0 1
643 4.0 2
605 4.0 3
602 4.0 4
514 2.0 7
512 3.0 6
463 4.0 6
461 6.0 0
446 5.0 1
438 4.0 5
436 3.0 7
390 2.0 9
365 2.0 8
335 5.0 4
328 7.0 0
324 5.0 2
319 5.0 3
317 3.0 8
305 2.0 11
294 8.0 0
292 6.0 1
290 4.0 7
282 5.0 5
265 2.0 10
252 5.0 6
251 3.0 10
233 5.0 7
230 6.0 2
230 4.0 8
228 3.0 9
215 2.0 13
202 5.0 8
199 7.0 1
190 6.0 3
185 6.0 6
178 6.0 4
176 6.0 5
174 4.0 10
169 2.0 12
164 9.0 0
164 4.0 9
159 3.0 11
144 5.0 9
143 8.0 1
134 3.0 12
129 5.0 10
129 6.0 7
124 6.0 9
115 7.0 4
113 7.0 2
112 6.0 8
109 3.0 13
105 4.0 12
102 4.0 14
102 4.0 11
102 3.0 20
101 2.0 14
101 7.0 3
99 3.0 17
98 6.0 10
95 5.0 11
95 8.0 2
95 4.0 13
93 7.0 8
92 7.0 6
91 10.0 0
88 2.0 16
85 3.0 14
83 11.0 0
80 7.0 7
76 2.0 25
75 2.0 15
73 7.0 5
71 3.0 15
70 7.0 10
69 5.0 12
67 8.0 3
65 5.0 14
65 6.0 11
65 9.0 1
60 7.0 9
60 4.0 16
59 5.0 13
58 7.0 12
58 2.0 17
58 8.0 7
57 9.0 2
57 3.0 16
57 12.0 0
56 6.0 14
56 6.0 12
56 8.0 4
55 3.0 18
54 8.0 5
53 6.0 13
52 9.0 5
52 6.0 15
51 8.0 6
49 9.0 3
49 7.0 11
49 8.0 8
47 9.0 4
45 12.0 1
44 5.0 16
44 11.0 3
42 5.0 15
42 4.0 15
42 2.0 18
41 7.0 13
41 8.0 9
40 4.0 29
40 7.0 17
37 8.0 10
36 10.0 1
34 3.0 19
34 10.0 5
34 8.0 11
34 8.0 14
34 9.0 6
33 2.0 22
32 9.0 11
32 4.0 18
32 7.0 15
32 2.0 19
31 8.0 12
30 10.0 10
29 10.0 4
29 7.0 14
28 10.0 2
27 5.0 38
27 9.0 7
27 14.0 0
27 3.0 21
26 6.0 16
26 5.0 17
26 5.0 18
26 9.0 8
26 4.0 21
25 11.0 1
25 9.0 9
24 2.0 20
24 6.0 17
24 4.0 19
24 13.0 0
23 9.0 13
22 4.0 17
21 10.0 9
21 2.0 23
21 9.0 10
21 10.0 6
21 5.0 20
20 15.0 0
20 10.0 7
20 9.0 14
20 10.0 15
19 4.0 22
19 4.0 27
19 7.0 16
19 11.0 4
19 10.0 8
19 8.0 13
19 17.0 1
18 10.0 3
18 8.0 15
18 9.0 15
18 7.0 18
18 6.0 18
18 2.0 21
17 5.0 19
17 8.0 16
17 10.0 11
16 3.0 23
