count robl hsd
264 0.3334425094054302 14
224 0.13459787830610967 11
212 0.15305922022798044 14
192 0.2502904284526638 9
191 0.33334521321699195 11
184 0.399807015574835 13
172 0.2812907190450795 9
162 0.14222845447885502 16
162 0.3334124723013612 9
162 0.24985302763080539 9
154 0.14221506322862493 15
150 0.2223539403811273 12
149 0.08202555852154292 17
149 0.16048486532549733 12
145 0.22357958407918724 9
144 0.22488559220512672 11
143 0.27717488416789116 9
138 0.37367965242679196 9
138 0.4998424700693132 9
137 0.2832176887565466 9
137 0.2486786940411912 10
135 0.1817557714681418 13
133 0.3998843262001157 8
133 0.18399166460095637 10
132 0.25152367932903597 9
128 0.22521961759431908 12
128 0.25094896731745864 10
128 0.24959917850870006 12
127 0.18255589706618766 10
126 0.3336445689386866 9
126 0.30270189231470973 11
126 0.2512982154501954 13
126 0.22193136905886238 13
125 0.13039209615254416 13
124 0.22181969571830143 8
123 0.15970608952954465 15
122 0.09612608524057509 13
122 0.16485462916646806 9
122 0.22340370603546153 9
122 0.5 8
121 0.4998032270759543 8
121 0.27882314602940556 12
120 0.14153155713816987 14
120 0.28583333333333333 5
118 0.19423545607894396 12
117 0.1752981518062213 9
117 0.20165280295057922 11
117 0.19806520817057216 10
116 0.2503438463949417 12
116 0.2013120882687147 12
116 0.22335441943873022 9
115 0.14823180085052243 9
115 0.27732592466950595 12
115 0.24966643662295837 10
115 0.22178424760432985 7
115 0.33366102662954233 10
115 0.13055283237687967 11
114 0.1493358321494934 11
114 0.28372699425331005 8
114 0.2220410179655995 11
113 0.3998638529611981 7
113 0.2858582290518782 7
113 0.06402374729163157 19
113 0.2834957800600695 9
113 0.20190858022989724 11
113 0.5008155474579212 7
113 0.14871547048339442 11
112 0.13651240644995352 10
111 0.29144810076182626 10
111 0.39570339570339574 5
110 0.16448768339455358 12
110 0.16162972322179175 14
110 0.2251158270838102 12
109 0.1498370087179841 9
109 0.12652292881927388 12
108 0.11088556688600579 13
108 0.15796381619968364 10
108 0.33337459562949756 7
108 0.11634972528992248 14
108 0.33560840662289937 10
107 0.15056220182142463 8
107 0.14489511631120264 12
107 0.1501631524251976 12
106 0.1331128463604307 15
106 0.3336755456899741 8
106 0.2247141140507249 13
105 0.22155679730050437 10
105 0.16025316000374543 13
105 0.2879718554088302 8
104 0.14000550573826434 13
104 0.22524229899960682 14
104 0.28356365856365856 7
104 0.1822387620929244 12
103 0.1429253803872863 9
103 0.5 7
103 0.11501552864368096 13
103 0.37277419820853647 10
103 0.1839277617788733 14
103 0.39969982646217345 9
102 0.12455217683010236 10
102 0.22403430964713064 10
102 0.22318178502831765 10
102 0.28249820837220907 10
102 0.102552148711726 14
102 0.2002788984105514 10
